Confidence_Cutoff,RMSE,MSE,N_Samples,Method
0.05,0.6382504460553207,0.4073636318898157,6,gp_exact
0.1,0.5674022362038452,0.3219452976491241,12,gp_exact
0.15000000000000002,0.5136339826559433,0.2638198681390058,17,gp_exact
0.2,0.4636448052295488,0.21496650541634624,23,gp_exact
0.25,0.4997772649987417,0.2497773146096225,29,gp_exact
0.3,0.4706876964598549,0.22154690759868453,34,gp_exact
0.35000000000000003,0.44833408841370176,0.20100345483374493,40,gp_exact
0.4,0.4571415952852132,0.20897843813990966,46,gp_exact
0.45,0.4430690940930602,0.19631022214044505,51,gp_exact
0.5,0.5243516834956053,0.2749446879846755,57,gp_exact
0.55,0.5657482077644936,0.3200710345887367,63,gp_exact
0.6000000000000001,0.5913669390230375,0.34971485656947693,68,gp_exact
0.6500000000000001,0.5978409958029735,0.35741385626269095,74,gp_exact
0.7000000000000001,0.6712739971529023,0.4506087792536347,80,gp_exact
0.7500000000000001,0.6774798762248828,0.45897898268968257,85,gp_exact
0.8,0.6698923367027687,0.44875574277309566,91,gp_exact
0.8500000000000001,0.6742924022816116,0.4546702437747067,97,gp_exact
0.9000000000000001,0.689951020011881,0.476032410015435,102,gp_exact
0.9500000000000001,0.6946667111310045,0.4825618395535666,108,gp_exact
1.0,0.7345281902189654,0.5395316622263486,113,gp_exact
0.05,0.21900807731710936,0.04796453793013695,6,gp_nngp
0.1,0.34019379869864,0.11573182067301081,12,gp_nngp
0.15000000000000002,0.3494146400703455,0.12209059069548908,17,gp_nngp
0.2,0.40804041432115307,0.16649697971937827,23,gp_nngp
0.25,0.4222972188046198,0.1783349410101169,29,gp_nngp
0.3,0.4758306183932723,0.22641477740052393,34,gp_nngp
0.35000000000000003,0.5337333396121735,0.2848712778135637,40,gp_nngp
0.4,0.5073931765397053,0.2574478355990525,46,gp_nngp
0.45,0.4968774485597444,0.24688719888724145,51,gp_nngp
0.5,0.4909354409553704,0.24101760718604398,57,gp_nngp
0.55,0.4872316475630575,0.23739467838701145,63,gp_nngp
0.6000000000000001,0.4764939840552408,0.22704651684083604,68,gp_nngp
0.6500000000000001,0.5132281457065716,0.26340312954540585,74,gp_nngp
0.7000000000000001,0.5092202966066667,0.2593053104761816,80,gp_nngp
