Confidence_Cutoff,RMSE,MSE,N_Samples,Method
0.05,0.24664883201752616,0.06083564633560983,6,nn_evd
0.1,0.4858669109609914,0.23606665516677594,12,nn_evd
0.15000000000000002,0.42026858004724144,0.17662567937492457,17,nn_evd
0.2,0.4052257197096323,0.16420788391418945,23,nn_evd
0.25,0.4290645095795339,0.18409635338072594,29,nn_evd
0.3,0.46159166537158464,0.21306686554051296,34,nn_evd
0.35000000000000003,0.44971506022281066,0.2022436353912062,40,nn_evd
0.4,0.44317735828697347,0.19640617089822046,46,nn_evd
0.45,0.45827568589927514,0.21001660428645108,51,nn_evd
0.5,0.4846191148580761,0.23485568648582517,57,nn_evd
0.55,0.4811429289729265,0.2314985181006466,63,nn_evd
0.6000000000000001,0.5006015411014443,0.25060190295314105,68,nn_evd
0.6500000000000001,0.4938563365351843,0.2438940811359532,74,nn_evd
0.7000000000000001,0.5256133081711074,0.2762693497265756,80,nn_evd
0.7500000000000001,0.5449077635694437,0.2969244707982528,85,nn_evd
0.8,0.5360770919476726,0.2873786485110735,91,nn_evd
0.8500000000000001,0.5294223118833085,0.2802879843198672,97,nn_evd
0.9000000000000001,0.5203942199972386,0.2708101442065343,102,nn_evd
0.9500000000000001,0.5254224712756631,0.27606877332142504,108,nn_evd
1.0,0.5195270879451629,0.26990839510878106,113,nn_evd
0.05,0.2342283672999742,0.05486292804801163,6,nn_mc_dropout
0.1,0.5893223747992953,0.34730086143908107,12,nn_mc_dropout
0.15000000000000002,0.6237866817647735,0.3891098243471067,17,nn_mc_dropout
0.2,0.5900596757023491,0.3481704208899613,23,nn_mc_dropout
0.25,0.567369088631304,0.3219076827343165,29,nn_mc_dropout
0.3,0.5330013653460033,0.28409045546070366,34,nn_mc_dropout
0.35000000000000003,0.5304071828033556,0.2813317795693923,40,nn_mc_dropout
0.4,0.5364411854032581,0.2877691453968528,46,nn_mc_dropout
0.45,0.523903523643546,0.2744749020861235,51,nn_mc_dropout
0.5,0.5074997497849453,0.25755599603178203,57,nn_mc_dropout
0.55,0.5481772352105562,0.3004982812030894,63,nn_mc_dropout
0.6000000000000001,0.5475091937375128,0.2997663172271014,68,nn_mc_dropout
0.6500000000000001,0.5360546848220146,0.28735462511962934,74,nn_mc_dropout
0.7000000000000001,0.5360375628121998,0.28733626874564305,80,nn_mc_dropout
0.7500000000000001,0.5308006677287158,0.2817493488612506,85,nn_mc_dropout
0.8,0.5325624642495274,0.28362277832752913,91,nn_mc_dropout
0.8500000000000001,0.5238424772514433,0.27441094097292884,97,nn_mc_dropout
0.9000000000000001,0.5261930687505798,0.2768791456011524,102,nn_mc_dropout
0.9500000000000001,0.5266945896868754,0.2774071908054261,108,nn_mc_dropout
1.0,0.52715971480491,0.27789736491319406,113,nn_mc_dropout
0.05,0.45303929940112825,0.2052446068018651,6,nn_deep_ensemble
0.1,0.4915060943048467,0.24157824073880485,12,nn_deep_ensemble
0.15000000000000002,0.5236343761064224,0.2741929598403622,17,nn_deep_ensemble
0.2,0.5227231130719788,0.27323945293966073,23,nn_deep_ensemble
0.25,0.5068463992902339,0.2568932724734752,29,nn_deep_ensemble
0.3,0.49827331127464447,0.24827629272859872,34,nn_deep_ensemble
0.35000000000000003,0.5019593210985464,0.2519631600377135,40,nn_deep_ensemble
0.4,0.47908554077966464,0.2295229553841437,46,nn_deep_ensemble
0.45,0.4829302898714756,0.23322166487534746,51,nn_deep_ensemble
0.5,0.4884972243597672,0.23862953820719673,57,nn_deep_ensemble
0.55,0.4961131895801889,0.24612829687542845,63,nn_deep_ensemble
0.6000000000000001,0.48899301779365445,0.23911417145094524,68,nn_deep_ensemble
0.6500000000000001,0.4782186138755824,0.22869304265708335,74,nn_deep_ensemble
0.7000000000000001,0.5270386498314846,0.27776973841619423,80,nn_deep_ensemble
0.7500000000000001,0.5195940930976354,0.26997802158195416,85,nn_deep_ensemble
0.8,0.5144049758022601,0.26461247913012376,91,nn_deep_ensemble
0.8500000000000001,0.5098171071847933,0.2599134827782711,97,nn_deep_ensemble
0.9000000000000001,0.5209808612290745,0.27142105776698816,102,nn_deep_ensemble
0.9500000000000001,0.5281559017734135,0.2789486565780877,108,nn_deep_ensemble
1.0,0.5298798219368649,0.2807726256958436,113,nn_deep_ensemble
