Confidence_Cutoff,RMSE,MSE,N_Samples,Method
0.05,0.5172243127342518,0.2675209896834192,21,gp_exact
0.1,0.4967146444086898,0.24672543797005114,42,gp_exact
0.15000000000000002,0.5406691582605204,0.29232313869413973,64,gp_exact
0.2,0.5344714987484747,0.2856597829744407,84,gp_exact
0.25,0.5398557718802007,0.2914442544323673,105,gp_exact
0.3,0.5846140334098365,0.3417735680597174,126,gp_exact
0.35000000000000003,0.570595746858625,0.32557950633315214,147,gp_exact
0.4,0.5677979780008632,0.32239454382186866,168,gp_exact
0.45,0.5661111054465453,0.3204817837099096,189,gp_exact
0.5,0.5654051705378336,0.31968300687091666,210,gp_exact
0.55,0.573180628624209,0.3285360330300435,232,gp_exact
0.6000000000000001,0.5749706275347658,0.33059122252772244,253,gp_exact
0.6500000000000001,0.5808853301068491,0.33742776673334296,274,gp_exact
0.7000000000000001,0.5837306564492926,0.340741479278722,294,gp_exact
0.7500000000000001,0.612077687679008,0.3746390957544813,316,gp_exact
0.8,0.6093370664425471,0.37129166054080914,336,gp_exact
0.8500000000000001,0.6263177222400498,0.3922738891919641,358,gp_exact
0.9000000000000001,0.6341854138401374,0.4021911391275863,379,gp_exact
0.9500000000000001,0.632776251340541,0.40040578426058765,399,gp_exact
1.0,0.6393178964972066,0.4087273727816129,420,gp_exact
0.05,0.8496385772751313,0.7218857119941092,21,gp_nngp
0.1,0.6825964970931936,0.46593797784389823,42,gp_nngp
0.15000000000000002,0.6586842070314263,0.43386488459261885,64,gp_nngp
0.2,0.707704824855749,0.5008461191241065,84,gp_nngp
0.25,0.7172408006013303,0.5144343660472372,105,gp_nngp
0.3,0.7040457551758135,0.4956804253810814,126,gp_nngp
0.35000000000000003,0.7175839220114244,0.514926685129298,147,gp_nngp
0.4,0.7143757122026915,0.5103326581851026,168,gp_nngp
0.45,0.7214537712063951,0.5204955439879294,189,gp_nngp
0.5,0.7224098093081062,0.5218759325845743,210,gp_nngp
0.55,0.729733965531235,0.5325116604499417,232,gp_nngp
0.6000000000000001,0.7212674898176521,0.5202267918678568,253,gp_nngp
0.6500000000000001,0.7249503986826108,0.5255530805500763,274,gp_nngp
0.7000000000000001,0.7136710587813289,0.509326380142063,294,gp_nngp
0.7500000000000001,0.7063185696565363,0.4988859218416553,316,gp_nngp
0.8,0.7087683459488342,0.5023525682190464,336,gp_nngp
0.8500000000000001,0.6970762030666572,0.4859152328818274,358,gp_nngp
0.9000000000000001,0.6966553778562208,0.4853287154959938,379,gp_nngp
0.9500000000000001,0.6883245363200837,0.4737906673002582,399,gp_nngp
1.0,0.6796877411557263,0.4619754254773736,420,gp_nngp
0.05,0.8888394192643246,0.7900355132381419,21,gp_svgp
0.1,0.8791375478941256,0.772882828117296,42,gp_svgp
0.15000000000000002,0.924036058438265,0.8538426372941246,64,gp_svgp
0.2,0.8744431658178791,0.7646508502455946,84,gp_svgp
0.25,0.8688679330210345,0.7549314850322448,105,gp_svgp
0.3,0.8689230288975144,0.7550272301484305,126,gp_svgp
0.35000000000000003,0.8729494430942196,0.7620407301985083,147,gp_svgp
0.4,0.8905008604464667,0.7929917824558975,168,gp_svgp
0.45,0.864933241678398,0.748109512560302,189,gp_svgp
0.5,0.8416561059289577,0.7083850006474969,210,gp_svgp
0.55,0.8630859714784305,0.7449173941628662,232,gp_svgp
0.6000000000000001,0.883701364607613,0.7809281018093572,253,gp_svgp
0.6500000000000001,0.9037404708476922,0.8167468386480082,274,gp_svgp
0.7000000000000001,0.907184949895612,0.8229845333171042,294,gp_svgp
0.7500000000000001,0.9258789252378335,0.8572517841995657,316,gp_svgp
0.8,0.9193878508501084,0.8452740202907811,336,gp_svgp
0.8500000000000001,0.9183377747244399,0.8433442684858362,358,gp_svgp
0.9000000000000001,0.9183281654860543,0.843326619524982,379,gp_svgp
0.9500000000000001,0.9199277731415015,0.8462671077970819,399,gp_svgp
1.0,0.9140881956282506,0.835557229386911,420,gp_svgp
0.05,1.0020029191951152,1.0040098500755323,21,gp_nnsvgp
0.1,0.9328220737299908,0.8701570212379204,42,gp_nnsvgp
0.15000000000000002,0.9073240241152746,0.8232368847367353,64,gp_nnsvgp
0.2,0.8922013402422899,0.7960232315301384,84,gp_nnsvgp
0.25,0.8946798524783687,0.8004520384307154,105,gp_nnsvgp
0.3,0.914232535218285,0.8358211284516527,126,gp_nnsvgp
0.35000000000000003,0.9579825420490038,0.9177305508706712,147,gp_nnsvgp
0.4,0.9438472109314905,0.8908475575831536,168,gp_nnsvgp
0.45,0.9379183743892294,0.8796908770169347,189,gp_nnsvgp
0.5,0.9258754479118613,0.8572453450459897,210,gp_nnsvgp
0.55,0.9049962441200259,0.8190182018713534,232,gp_nnsvgp
0.6000000000000001,0.9150893870314163,0.8373885862575332,253,gp_nnsvgp
0.6500000000000001,0.9249206266211493,0.8554781655492594,274,gp_nnsvgp
0.7000000000000001,0.9270382130262921,0.8593998484109809,294,gp_nnsvgp
0.7500000000000001,0.9383889820157835,0.8805738815686185,316,gp_nnsvgp
0.8,0.9271382737439157,0.8595853786408478,336,gp_nnsvgp
0.8500000000000001,0.9245921307412419,0.8548706082286297,358,gp_nnsvgp
0.9000000000000001,0.9179543952325891,0.8426402717268284,379,gp_nnsvgp
0.9500000000000001,0.917857547559024,0.8424624776110662,399,gp_nnsvgp
1.0,0.9046667704756698,0.8184219656028782,420,gp_nnsvgp
0.05,0.7725121154447102,0.5967749685088614,21,svgp_ensemble_uniform
0.1,0.8104538597537404,0.6568354587897356,42,svgp_ensemble_uniform
0.15000000000000002,0.8999536514491452,0.8099165747566496,64,svgp_ensemble_uniform
0.2,0.8801807477136876,0.7747181486458262,84,svgp_ensemble_uniform
0.25,0.9013976943332456,0.8125178033492911,105,svgp_ensemble_uniform
0.3,0.9319601050621371,0.8685496374274296,126,svgp_ensemble_uniform
0.35000000000000003,0.9137722785546442,0.8349797770549462,147,svgp_ensemble_uniform
0.4,0.8914270476492383,0.7946421812806373,168,svgp_ensemble_uniform
0.45,0.8699797924163201,0.7568648392127433,189,svgp_ensemble_uniform
0.5,0.8546165062075329,0.7303693726823702,210,svgp_ensemble_uniform
0.55,0.8613473029746828,0.74191917634176,232,svgp_ensemble_uniform
0.6000000000000001,0.8750389785273399,0.7656932139421704,253,svgp_ensemble_uniform
0.6500000000000001,0.8662261525087658,0.7503477472901396,274,svgp_ensemble_uniform
0.7000000000000001,0.8967249440252392,0.8041156252370684,294,svgp_ensemble_uniform
0.7500000000000001,0.8976848809070463,0.805838145409098,316,svgp_ensemble_uniform
0.8,0.9125450451845635,0.8327384594908971,336,svgp_ensemble_uniform
0.8500000000000001,0.9173194228184841,0.8414749234800368,358,svgp_ensemble_uniform
0.9000000000000001,0.9240075719162308,0.8537899929585284,379,svgp_ensemble_uniform
0.9500000000000001,0.9310104307158199,0.8667804221016564,399,svgp_ensemble_uniform
1.0,0.9755849653851308,0.951766024685507,420,svgp_ensemble_uniform
0.05,0.7721051869608757,0.5961464197318889,21,svgp_ensemble_precision
0.1,0.8103780262308317,0.6567125453977786,42,svgp_ensemble_precision
0.15000000000000002,0.89979563467929,0.8096321841879064,64,svgp_ensemble_precision
0.2,0.8793787915042278,0.7733070589474361,84,svgp_ensemble_precision
0.25,0.8988860574838486,0.8079961443388569,105,svgp_ensemble_precision
0.3,0.9320342300076669,0.8686878059059846,126,svgp_ensemble_precision
