Confidence_Cutoff,RMSE,MSE,N_Samples,Method
0.05,1.0089180360392642,1.0179156034453258,6,nn_evd
0.1,0.7538124364947554,0.5682331894141596,12,nn_evd
0.15000000000000002,0.7678468172290511,0.5895887347287838,17,nn_evd
0.2,0.8125686097628532,0.660267745571936,23,nn_evd
0.25,0.9138734201155101,0.8351646279936197,29,nn_evd
0.3,0.8616563677323286,0.7424516960536698,34,nn_evd
0.35000000000000003,0.841434730781826,0.7080124061658839,40,nn_evd
0.4,0.8254149344561061,0.6813098140231779,46,nn_evd
0.45,0.7989799922180049,0.6383690279646831,51,nn_evd
0.5,0.8158305277669979,0.6655794500365785,57,nn_evd
0.55,0.806089475103591,0.6497802418727827,63,nn_evd
0.6000000000000001,0.8238845551266308,0.6787857601762064,68,nn_evd
0.6500000000000001,0.830936496297175,0.6904554608786252,74,nn_evd
0.7000000000000001,0.8319615619797377,0.692160040611765,80,nn_evd
0.7500000000000001,0.8449962822247186,0.7140187169735962,85,nn_evd
0.8,0.8298338393953192,0.6886242010055764,91,nn_evd
0.8500000000000001,0.8577123940611735,0.7356705509261499,97,nn_evd
0.9000000000000001,0.8826637626108514,0.7790953178263454,102,nn_evd
0.9500000000000001,0.8671831919069563,0.752006688325937,108,nn_evd
1.0,0.892618180597865,0.7967672163338428,113,nn_evd
0.05,0.5126140605444731,0.2627731750678927,6,nn_mc_dropout
0.1,0.6281005735327012,0.39451033047210826,12,nn_mc_dropout
0.15000000000000002,0.7958267020022499,0.633340139619778,17,nn_mc_dropout
0.2,0.831979906798648,0.6921905653166869,23,nn_mc_dropout
0.25,0.7802482471336941,0.6087873271552022,29,nn_mc_dropout
0.3,0.7465865278880514,0.5573914436239361,34,nn_mc_dropout
0.35000000000000003,0.8107381404198484,0.6572963323314337,40,nn_mc_dropout
0.4,0.8133595424453128,0.6615537452868486,46,nn_mc_dropout
0.45,0.7934987383650498,0.6296402477869258,51,nn_mc_dropout
0.5,0.7713909132978114,0.5950439411184316,57,nn_mc_dropout
0.55,0.7892141710261646,0.6228590077485163,63,nn_mc_dropout
0.6000000000000001,0.7659757452772685,0.5867188423530669,68,nn_mc_dropout
0.6500000000000001,0.7567043504584408,0.5726014740027308,74,nn_mc_dropout
0.7000000000000001,0.7471336968034196,0.5582087608991441,80,nn_mc_dropout
0.7500000000000001,0.7528113647988763,0.5667249509703468,85,nn_mc_dropout
0.8,0.8044634675829109,0.6471614706755211,91,nn_mc_dropout
0.8500000000000001,0.7985399513404855,0.637666053886865,97,nn_mc_dropout
0.9000000000000001,0.8060612534444717,0.6497347443044728,102,nn_mc_dropout
0.9500000000000001,0.8476947850915363,0.7185864486713859,108,nn_mc_dropout
1.0,0.8355220998961023,0.6980971794147923,113,nn_mc_dropout
0.05,0.685952302365965,0.4705305611211683,6,nn_deep_ensemble
0.1,0.6086367115534039,0.37043864665054144,12,nn_deep_ensemble
0.15000000000000002,0.5419913549320019,0.2937546288210272,17,nn_deep_ensemble
0.2,0.606703710833031,0.36808939273857005,23,nn_deep_ensemble
0.25,0.6917194858181528,0.4784758470605297,29,nn_deep_ensemble
0.3,0.8478118781828738,0.718784980787972,34,nn_deep_ensemble
0.35000000000000003,0.8324469706728225,0.692967958982359,40,nn_deep_ensemble
0.4,0.8697003597590578,0.7563787157650345,46,nn_deep_ensemble
0.45,0.8481013085067038,0.7192758294907832,51,nn_deep_ensemble
0.5,0.8275526761409593,0.6848434317880635,57,nn_deep_ensemble
0.55,0.8555861379716475,0.7320276394892391,63,nn_deep_ensemble
0.6000000000000001,0.8395847704585541,0.704902586785943,68,nn_deep_ensemble
0.6500000000000001,0.8108855817021803,0.6575354266124833,74,nn_deep_ensemble
0.7000000000000001,0.8715201893562734,0.7595474404555946,80,nn_deep_ensemble
0.7500000000000001,0.8813457880572398,0.776770398126237,85,nn_deep_ensemble
0.8,0.8595199270810502,0.7387745050494138,91,nn_deep_ensemble
0.8500000000000001,0.8471053131528127,0.7175874115717249,97,nn_deep_ensemble
0.9000000000000001,0.8545735016270548,0.7302958696831258,102,nn_deep_ensemble
0.9500000000000001,0.8383424604418089,0.702818080979626,108,nn_deep_ensemble
1.0,0.8234614165129746,0.6780887044855546,113,nn_deep_ensemble
