Confidence_Cutoff,RMSE,MSE,N_Samples,Method
0.05,0.9889092866597285,0.9779415772418532,35,gp_exact
0.1,0.8380799945819871,0.7023780773185435,69,gp_exact
0.15000000000000002,0.8495141323848633,0.721674261121607,103,gp_exact
0.2,0.8442441811532297,0.7127482374110874,137,gp_exact
0.25,0.8191788907585593,0.6710540550644236,171,gp_exact
0.3,0.8140507516185812,0.662678626210777,205,gp_exact
0.35000000000000003,0.8472006544665803,0.717748948928602,239,gp_exact
0.4,0.8413282472027807,0.7078332195413032,273,gp_exact
0.45,0.8478887261567878,0.7189152919437803,307,gp_exact
0.5,0.8529838627256313,0.7275814700703386,341,gp_exact
0.55,0.845925140888448,0.7155893439871406,376,gp_exact
0.6000000000000001,0.8512785844367123,0.7246752283205727,410,gp_exact
0.6500000000000001,0.8474728483285516,0.7182102286541082,444,gp_exact
0.7000000000000001,0.8456250605589896,0.7150817430453947,478,gp_exact
0.7500000000000001,0.8479832806434286,0.7190756442507918,512,gp_exact
0.8,0.8381579688463578,0.7025087807406523,546,gp_exact
0.8500000000000001,0.8436199013433557,0.7116945379425732,580,gp_exact
0.9000000000000001,0.8515062289536218,0.7250628579468179,614,gp_exact
0.9500000000000001,0.8479260641203422,0.7189786102146146,648,gp_exact
1.0,0.8417014661228776,0.7084613580734016,682,gp_exact
0.05,0.9418101530295491,0.8870063643495426,35,gp_nngp
0.1,1.0920789253160414,1.1926363791194399,69,gp_nngp
0.15000000000000002,1.129461136822412,1.2756824595921752,103,gp_nngp
0.2,1.091372716115202,1.1910944054806734,137,gp_nngp
0.25,1.041947096560488,1.0856537520308311,171,gp_nngp
0.3,1.0230600361517996,1.0466518375709215,205,gp_nngp
0.35000000000000003,1.0285439920567703,1.0579027435960777,239,gp_nngp
0.4,1.0223485846296634,1.045196628494276,273,gp_nngp
0.45,1.0082327802534174,1.0165333391775357,307,gp_nngp
0.5,1.018804947253276,1.0379635205477509,341,gp_nngp
0.55,1.0255680851542726,1.0517898972870015,376,gp_nngp
0.6000000000000001,1.0167639295894435,1.033808888514167,410,gp_nngp
0.6500000000000001,1.0352981092533355,1.0718421750235316,444,gp_nngp
0.7000000000000001,1.034738736035693,1.0706842518527437,478,gp_nngp
0.7500000000000001,1.0311796494187673,1.063331469375412,512,gp_nngp
0.8,1.034493619591066,1.0701770489746247,546,gp_nngp
0.8500000000000001,1.0465141399657147,1.0951918451481797,580,gp_nngp
0.9000000000000001,1.048225517231022,1.0987767349742437,614,gp_nngp
0.9500000000000001,1.0443917826982962,1.0907541957677254,648,gp_nngp
1.0,1.032702803981128,1.066475081350484,682,gp_nngp
0.05,0.8639285381544136,0.746372519037622,35,gp_svgp
0.1,0.8934160147313859,0.798192175378512,69,gp_svgp
0.15000000000000002,0.8267928922770669,0.6835864867198774,103,gp_svgp
0.2,0.8330167042915253,0.6939168296287146,137,gp_svgp
0.25,0.8178248394425215,0.668837468009186,171,gp_svgp
0.3,0.8507392825860736,0.7237573269350672,205,gp_svgp
0.35000000000000003,0.8507832722277178,0.7238321763025028,239,gp_svgp
0.4,0.8825028119082793,0.7788112130260199,273,gp_svgp
0.45,0.8687653328945861,0.7547532036394411,307,gp_svgp
0.5,0.8549705873210214,0.7309747051840523,341,gp_svgp
0.55,0.8582813723491801,0.7366469141215919,376,gp_svgp
0.6000000000000001,0.8679505165206653,0.7533380991284898,410,gp_svgp
0.6500000000000001,0.8746658866200665,0.765040413216867,444,gp_svgp
0.7000000000000001,0.8808333008049698,0.7758673038069784,478,gp_svgp
0.7500000000000001,0.8799786835997558,0.7743624835899592,512,gp_svgp
0.8,0.8740593549680704,0.7639797560071994,546,gp_svgp
0.8500000000000001,0.8629729135535593,0.744722249527119,580,gp_svgp
0.9000000000000001,0.8674406846820963,0.7524533414417441,614,gp_svgp
0.9500000000000001,0.8672758880231115,0.7521674659462767,648,gp_svgp
1.0,0.8648182776163984,0.7479106532993939,682,gp_svgp
0.05,0.9938618241247816,0.9877613254526383,35,gp_nnsvgp
0.1,1.0572209549765543,1.1177161476415374,69,gp_nnsvgp
0.15000000000000002,1.0610574810961113,1.1258429781900248,103,gp_nnsvgp
0.2,1.0515497941747944,1.1057569696290523,137,gp_nnsvgp
0.25,1.0369052739232267,1.0751725470898017,171,gp_nnsvgp
0.3,1.0476752030080618,1.0976233309979837,205,gp_nnsvgp
0.35000000000000003,1.030757899192109,1.0624618467469296,239,gp_nnsvgp
0.4,1.0748904194362445,1.1553894137958258,273,gp_nnsvgp
0.45,1.1003846451776822,1.2108463673428134,307,gp_nnsvgp
0.5,1.10396976565321,1.2187492434764033,341,gp_nnsvgp
0.55,1.127770267166809,1.271865775505496,376,gp_nnsvgp
0.6000000000000001,1.1192473798112252,1.2527146972142933,410,gp_nnsvgp
0.6500000000000001,1.109610743616616,1.2312360023494195,444,gp_nnsvgp
0.7000000000000001,1.1099766326382128,1.2320481250028659,478,gp_nnsvgp
0.7500000000000001,1.1093209645331492,1.2305930023527565,512,gp_nnsvgp
0.8,1.0978027110801525,1.2051707924549326,546,gp_nnsvgp
