Confidence_Cutoff,AUC,Brier_Score,N_Samples,Method
0.05,0.3846153846153846,0.3589522426251431,40,gp_exact
0.1,0.19736842105263153,0.22325526214547226,79,gp_exact
0.15000000000000002,0.5089285714285714,0.2783914853782623,118,gp_exact
0.2,0.3904109589041087,0.2285425856491608,157,gp_exact
0.25,0.30810810810810674,0.18967436540475713,196,gp_exact
0.3,0.6081081081081071,0.2058518763182231,236,gp_exact
0.35000000000000003,0.5642292490118567,0.18739385998070765,275,gp_exact
0.4,0.621602787456445,0.16196314531414646,314,gp_exact
0.45,0.8118123914302253,0.18092050814915742,353,gp_exact
0.5,0.8030085959885381,0.16606461323867708,392,gp_exact
0.55,0.8266318537859001,0.16674400472067888,432,gp_exact
0.6000000000000001,0.8266253869969034,0.1733318694453525,471,gp_exact
0.6500000000000001,0.8348552338530061,0.17295136266292135,510,gp_exact
0.7000000000000001,0.828230653643876,0.18812158672132895,549,gp_exact
0.7500000000000001,0.8192307692307689,0.19257217804806068,589,gp_exact
0.8,0.8103400222965442,0.19970457761482707,628,gp_exact
0.8500000000000001,0.8005093378607817,0.20263260195091098,667,gp_exact
0.9000000000000001,0.7922830374753463,0.2057517574809608,706,gp_exact
0.9500000000000001,0.7814143448584553,0.20985580530530237,745,gp_exact
1.0,0.7687626774847891,0.21278037186407112,784,gp_exact
0.05,0.992063492063492,0.09674286480453813,40,gp_nngp
0.1,0.9437229437229436,0.1431696245465829,79,gp_nngp
0.15000000000000002,0.9058333333333334,0.11991793131670786,118,gp_nngp
0.2,0.8835005574136007,0.154193355334989,157,gp_nngp
0.25,0.8598585322723249,0.1420841592187618,196,gp_nngp
0.3,0.8489010989010983,0.16864710613163286,236,gp_nngp
0.35000000000000003,0.8378600823045261,0.18958512671336594,275,gp_nngp
0.4,0.8168471720818284,0.1789357044262768,314,gp_nngp
0.45,0.8106971153846146,0.19590145698881495,353,gp_nngp
0.5,0.8009832174944899,0.21009476718272604,392,gp_nngp
0.55,0.779487960987503,0.19929381811209435,432,gp_nngp
0.6000000000000001,0.7984449760765544,0.25004773805114766,471,gp_nngp
0.6500000000000001,0.7947506033789213,0.2735580494854909,510,gp_nngp
0.7000000000000001,0.7683673469387747,0.2629079913497247,549,gp_nngp
0.7500000000000001,0.7546936758893281,0.2668998949692828,589,gp_nngp
0.8,0.7468062982768872,0.2545407138832421,628,gp_nngp
0.8500000000000001,0.7410420168067239,0.2433995102641757,667,gp_nngp
0.9000000000000001,0.7261489698890667,0.23948315089273906,706,gp_nngp
0.9500000000000001,0.7324422166527452,0.24283000824529172,745,gp_nngp
1.0,0.7370998862118462,0.24190969237450877,784,gp_nngp
0.05,0.6666666666666666,0.3583897903960672,40,svgp_ensemble_uniform
0.1,0.3513513513513513,0.227551579708245,79,svgp_ensemble_uniform
0.15000000000000002,0.2321428571428572,0.16296240177271581,118,svgp_ensemble_uniform
0.2,0.17687074829931793,0.12919098406134538,157,svgp_ensemble_uniform
0.25,0.5706521739130428,0.19049772798795078,196,svgp_ensemble_uniform
0.3,0.4772727272727263,0.1645035032086383,236,svgp_ensemble_uniform
0.35000000000000003,0.5927367055771716,0.2009556327922614,275,svgp_ensemble_uniform
0.4,0.7048611111111102,0.27055020547554554,314,svgp_ensemble_uniform
0.45,0.7268248992386912,0.3174735366515858,353,svgp_ensemble_uniform
0.5,0.715179968701094,0.3478373765024189,392,svgp_ensemble_uniform
0.55,0.6443880428651984,0.3249219277767089,432,svgp_ensemble_uniform
0.6000000000000001,0.6305361305361287,0.32797463643972724,471,svgp_ensemble_uniform
0.6500000000000001,0.5804721030042901,0.3103356095473671,510,svgp_ensemble_uniform
0.7000000000000001,0.6113333333333324,0.33076333759656246,549,svgp_ensemble_uniform
0.7500000000000001,0.5670995670995675,0.3148283877522397,589,svgp_ensemble_uniform
0.8,0.5306712962962983,0.3011272428108472,628,svgp_ensemble_uniform
0.8500000000000001,0.5702576112412205,0.3164953532602591,667,svgp_ensemble_uniform
0.9000000000000001,0.5940902021772974,0.329251681655875,706,svgp_ensemble_uniform
0.9500000000000001,0.5650887573964543,0.31902993316216205,745,svgp_ensemble_uniform
1.0,0.7496165833869319,0.34565055578656195,784,svgp_ensemble_uniform
0.05,0.1842105263157895,0.3650326437200098,40,svgp_ensemble_mse
0.1,0.0921052631578948,0.2233020653700409,79,svgp_ensemble_mse
0.15000000000000002,0.06306306306306309,0.16448169854549008,118,svgp_ensemble_mse
0.2,0.5675675675675671,0.30618365277850573,157,svgp_ensemble_mse
0.25,0.4590163934426218,0.26307941171684013,196,svgp_ensemble_mse
0.3,0.3783783783783765,0.2274074637619212,236,svgp_ensemble_mse
0.35000000000000003,0.4730769230769214,0.2506280357415418,275,svgp_ensemble_mse
0.4,0.5265306122448967,0.2695294815879608,314,svgp_ensemble_mse
0.45,0.4662650602409625,0.24632701453828199,353,svgp_ensemble_mse
0.5,0.42527472527472365,0.22967929673430637,392,svgp_ensemble_mse
0.55,0.6099246231155768,0.30171929173154427,432,svgp_ensemble_mse
0.6000000000000001,0.6051954732510276,0.3087549809537436,471,svgp_ensemble_mse
0.6500000000000001,0.5967880085653092,0.3140833402365936,510,svgp_ensemble_mse
0.7000000000000001,0.6271580345285517,0.33610906513634686,549,svgp_ensemble_mse
0.7500000000000001,0.6130969402344869,0.3375779713163633,589,svgp_ensemble_mse
0.8,0.6068301225919451,0.33907662942301897,628,svgp_ensemble_mse
0.8500000000000001,0.5727272727272751,0.32657072751852273,667,svgp_ensemble_mse
0.9000000000000001,0.5665628245067528,0.32635959195700015,706,svgp_ensemble_mse
0.9500000000000001,0.5654542097488959,0.32461360925370325,745,svgp_ensemble_mse
1.0,0.7503586800573911,0.30906521938128356,784,svgp_ensemble_mse
0.05,0.8205128205128205,0.3583077268464707,40,svgp_ensemble_nll
0.1,0.43243243243243246,0.22749929569767718,79,svgp_ensemble_nll
0.15000000000000002,0.591743119266055,0.28508363912765206,118,svgp_ensemble_nll
0.2,0.44482758620689544,0.23071049215828107,157,svgp_ensemble_nll
0.25,0.3524590163934408,0.19204986155787235,196,svgp_ensemble_nll
0.3,0.48318042813455486,0.22964554255828815,236,svgp_ensemble_nll
0.35000000000000003,0.5472440944881877,0.25364900666705725,275,svgp_ensemble_nll
0.4,0.5638888888888874,0.2719865555696397,314,svgp_ensemble_nll
0.45,0.5729813664596257,0.2855013221843324,353,svgp_ensemble_nll
0.5,0.6274509803921554,0.322402926874827,392,svgp_ensemble_nll
0.55,0.6118143459915596,0.3249699474591133,432,svgp_ensemble_nll
0.6000000000000001,0.6025641025641011,0.32866169365444703,471,svgp_ensemble_nll
0.6500000000000001,0.5571120689655157,0.3118923774737466,510,svgp_ensemble_nll
0.7000000000000001,0.5581564144438387,0.31391237278070866,549,svgp_ensemble_nll
0.7500000000000001,0.5534941249226971,0.31507588271827364,589,svgp_ensemble_nll
0.8,0.5873846920967357,0.33035535883180456,628,svgp_ensemble_nll
0.8500000000000001,0.5535714285714314,0.3179339166001181,667,svgp_ensemble_nll
0.9000000000000001,0.5563182527301127,0.31878353810360044,706,svgp_ensemble_nll
0.9500000000000001,0.553452732644022,0.31863827295478925,745,svgp_ensemble_nll
1.0,0.7439766486914386,0.3379265594348039,784,svgp_ensemble_nll
0.05,0.0,0.3544678065896035,40,nnsvgp_ensemble_uniform
0.1,0.4666666666666667,0.3617924746373607,79,nnsvgp_ensemble_uniform
0.15000000000000002,0.5105105105105104,0.3642442808802165,118,nnsvgp_ensemble_uniform
0.2,0.5034013605442171,0.3654616621095613,157,nnsvgp_ensemble_uniform
0.25,0.6452648475120376,0.45226633288383183,196,nnsvgp_ensemble_uniform
0.3,0.5367156208277687,0.4079277442355297,236,nnsvgp_ensemble_uniform
0.35000000000000003,0.5099999999999981,0.4026025126948636,275,nnsvgp_ensemble_uniform
0.4,0.4458041958041937,0.37117221132346884,314,nnsvgp_ensemble_uniform
0.45,0.45555555555555377,0.3723216734523832,353,nnsvgp_ensemble_uniform
0.5,0.46384180790960294,0.3732334166068535,392,nnsvgp_ensemble_uniform
0.55,0.41994884910485786,0.3505935692030259,432,nnsvgp_ensemble_uniform
0.6000000000000001,0.38544600938967,0.33156947678131077,471,nnsvgp_ensemble_uniform
0.6500000000000001,0.4544468546637732,0.3543690351867621,510,nnsvgp_ensemble_uniform
0.7000000000000001,0.4633995037220836,0.3558321408077386,549,nnsvgp_ensemble_uniform
0.7500000000000001,0.4694451889573851,0.3562321200229255,589,nnsvgp_ensemble_uniform
0.8,0.43974391162440624,0.3415869558180157,628,nnsvgp_ensemble_uniform
0.8500000000000001,0.41221463873853065,0.3273826447200657,667,nnsvgp_ensemble_uniform
0.9000000000000001,0.38974187805964,0.3153188432900482,706,nnsvgp_ensemble_uniform
0.9500000000000001,0.40955194485475654,0.3168606148632348,745,nnsvgp_ensemble_uniform
1.0,0.6845099688319426,0.3463126628490569,784,nnsvgp_ensemble_uniform
0.05,0.6285714285714286,0.37822398491806564,40,nnsvgp_ensemble_mse
0.1,0.3098591549295774,0.2316473736567526,79,nnsvgp_ensemble_mse
