Confidence_Cutoff,AUC,Brier_Score,N_Samples,Method
0.05,,1.688003408221209e-09,40,nn_evd
0.1,0.8706467661691543,0.32974981175488965,79,nn_evd
0.15000000000000002,0.7622549019607843,0.3461339900887285,118,nn_evd
0.2,0.6457142857142851,0.35068242131621324,157,nn_evd
0.25,0.6564822460776205,0.40216182867712097,196,nn_evd
0.3,0.6566614007372287,0.37510837536288016,236,nn_evd
0.35000000000000003,0.5963718820861662,0.3462428793891223,275,nn_evd
0.4,0.6574733096085397,0.3618248100676368,314,nn_evd
0.45,0.6664377289377278,0.39027148370374604,353,nn_evd
0.5,0.64599033816425,0.3908486275259386,392,nn_evd
0.55,0.5996536796536782,0.36892340270538804,432,nn_evd
0.6000000000000001,0.592488123515438,0.3412301554060584,471,nn_evd
0.6500000000000001,0.5888774723863333,0.3432252912898274,510,nn_evd
0.7000000000000001,0.6066538296961907,0.36169791636668036,549,nn_evd
0.7500000000000001,0.6201360544217691,0.35553176241652684,589,nn_evd
0.8,0.5956200662083031,0.3429882472969238,628,nn_evd
0.8500000000000001,0.5955082017476645,0.3267042527346888,667,nn_evd
0.9000000000000001,0.6291200000000027,0.29951121926655083,706,nn_evd
0.9500000000000001,0.64232964081907,0.28103556032304255,745,nn_evd
1.0,0.6554197793499265,0.27201916766664375,784,nn_evd
0.05,0.5675675675675675,0.3714973547536369,40,nn_mc_dropout
0.1,0.6285714285714286,0.6521228535031383,79,nn_mc_dropout
0.15000000000000002,0.6619047619047619,0.5554999840424232,118,nn_mc_dropout
0.2,0.6925465838509313,0.5259206981685818,157,nn_mc_dropout
0.25,0.7255747126436771,0.501376388674367,196,nn_mc_dropout
0.3,0.6929086538461522,0.45686320407251,236,nn_mc_dropout
0.35000000000000003,0.656607224508457,0.44751468055681537,275,nn_mc_dropout
0.4,0.5718837116686556,0.41365699082223384,314,nn_mc_dropout
0.45,0.5049226441631481,0.3838122323046187,353,nn_mc_dropout
0.5,0.4507219083490249,0.35733428799575345,392,nn_mc_dropout
0.55,0.40911680911680737,0.3354130862285819,432,nn_mc_dropout
0.6000000000000001,0.43764705882352806,0.3397549771622141,471,nn_mc_dropout
0.6500000000000001,0.493659420289854,0.36326855385763446,510,nn_mc_dropout
0.7000000000000001,0.5012457178449072,0.33719177727507593,549,nn_mc_dropout
0.7500000000000001,0.4709369577790642,0.3214952019727779,589,nn_mc_dropout
0.8,0.5677613801704449,0.34980038992579743,628,nn_mc_dropout
0.8500000000000001,0.5908489817508624,0.3465451853016494,667,nn_mc_dropout
0.9000000000000001,0.6429261559696373,0.310573416938719,706,nn_mc_dropout
0.9500000000000001,0.6814367237327993,0.28252029823424457,745,nn_mc_dropout
1.0,0.6901004304160719,0.270181021002667,784,nn_mc_dropout
0.05,0.7204301075268816,0.6791230094596491,40,nn_deep_ensemble
0.1,0.736318407960199,0.4947599539569024,79,nn_deep_ensemble
0.15000000000000002,0.6009615384615384,0.4568632192024489,118,nn_deep_ensemble
0.2,0.5996376811594197,0.38797317239017853,157,nn_deep_ensemble
0.25,0.6310344827586195,0.3859193218500161,196,nn_deep_ensemble
0.3,0.6307692307692293,0.3445730459248889,236,nn_deep_ensemble
0.35000000000000003,0.4870331950207452,0.42061823984754,275,nn_deep_ensemble
0.4,0.4774545454545437,0.44298245225453925,314,nn_deep_ensemble
0.45,0.4756493506493488,0.49851924647756957,353,nn_deep_ensemble
0.5,0.48115942028985337,0.4701934672853312,392,nn_deep_ensemble
0.55,0.47805059523809357,0.4436242883243803,432,nn_deep_ensemble
0.6000000000000001,0.4777853725222131,0.4227963134520328,471,nn_deep_ensemble
0.6500000000000001,0.4783359497645197,0.40224474753798395,510,nn_deep_ensemble
0.7000000000000001,0.6364354870578925,0.3252845224837988,549,nn_deep_ensemble
0.7500000000000001,0.6493146076864856,0.30017407351697145,589,nn_deep_ensemble
0.8,0.6478300180831839,0.2840581173671646,628,nn_deep_ensemble
0.8500000000000001,0.6329667230682481,0.2743848638104735,667,nn_deep_ensemble
0.9000000000000001,0.6633969442958234,0.27198297149072925,706,nn_deep_ensemble
0.9500000000000001,0.662283549783553,0.276578403075378,745,nn_deep_ensemble
1.0,0.6618018107158792,0.2674003820090356,784,nn_deep_ensemble
