Confidence_Cutoff,AUC,Brier_Score,N_Samples,Task,Method
0.05,0.5675675675675675,0.37123059349958515,40,Task_0,gp_exact
0.1,0.2799999999999999,0.2256051488987852,79,Task_0,gp_exact
0.15000000000000002,0.19266055045871566,0.16699319274639332,118,Task_0,gp_exact
0.2,0.14189189189189033,0.12865399102424915,157,Task_0,gp_exact
0.25,0.11413043478260765,0.10615700254179339,196,Task_0,gp_exact
0.3,0.5276497695852529,0.16730727902343104,236,Task_0,gp_exact
0.35000000000000003,0.4507874015748023,0.14651709693669393,275,Task_0,gp_exact
0.4,0.39756944444444314,0.13150195514805121,314,Task_0,gp_exact
0.45,0.3555900621117996,0.11927946400493641,353,Task_0,gp_exact
0.5,0.7617041198501867,0.2666259002779089,392,Task_0,gp_exact
0.55,0.689991518235792,0.24781245155715087,432,Task_0,gp_exact
0.6000000000000001,0.7390965732087216,0.3107129560338616,471,Task_0,gp_exact
0.6500000000000001,0.7101293103448261,0.31541855874125563,510,Task_0,gp_exact
0.7000000000000001,0.686181818181817,0.31911626804938087,549,Task_0,gp_exact
0.7500000000000001,0.6933122847301949,0.33807389404384197,589,Task_0,gp_exact
0.8,0.6496772458310927,0.3239279644727413,628,Task_0,gp_exact
0.8500000000000001,0.6122164491192517,0.31131015549555047,667,Task_0,gp_exact
0.9000000000000001,0.6045323261497474,0.3129377553526784,706,Task_0,gp_exact
0.9500000000000001,0.6481950878419751,0.3361879034786089,745,Task_0,gp_exact
1.0,0.7782615148666722,0.34258355181966854,784,Task_0,gp_exact
0.05,,3.240039344529363e-06,40,Task_1,gp_exact
0.1,,7.437175121991742e-06,79,Task_1,gp_exact
0.15000000000000002,,1.4454984816887938e-05,118,Task_1,gp_exact
0.2,,2.559283294744172e-05,157,Task_1,gp_exact
0.25,0.9883040935672514,0.04119316061683523,196,Task_1,gp_exact
0.3,0.8567961165048541,0.0663972793827142,236,Task_1,gp_exact
0.35000000000000003,0.8694560669456066,0.13127296761979804,275,Task_1,gp_exact
0.4,0.8091697645600989,0.13809634870722504,314,Task_1,gp_exact
0.45,0.7862499999999999,0.15892281780669765,353,Task_1,gp_exact
0.5,0.7801652892561982,0.18790312021414857,392,Task_1,gp_exact
0.55,0.7450704225352112,0.18914701804599462,432,Task_1,gp_exact
0.6000000000000001,0.7675729442970821,0.21951844507199264,471,Task_1,gp_exact
0.6500000000000001,0.7867132867132867,0.25504692765947146,510,Task_1,gp_exact
0.7000000000000001,0.7949435954876389,0.2837778428633658,549,Task_1,gp_exact
0.7500000000000001,0.7675653594771241,0.2869470165916096,589,Task_1,gp_exact
0.8,0.7635152849876778,0.3034834509212765,628,Task_1,gp_exact
0.8500000000000001,0.762661059413028,0.31295415638305163,667,Task_1,gp_exact
0.9000000000000001,0.7407436866176179,0.3126389514016267,706,Task_1,gp_exact
0.9500000000000001,0.7232442067736187,0.31214067271053314,745,Task_1,gp_exact
1.0,0.7686984295980835,0.32761172027659985,784,Task_1,gp_exact
0.05,,2.8023118747777074e-09,40,Task_0,gp_nngp
0.1,,5.737395379529979e-09,79,Task_0,gp_nngp
0.15000000000000002,0.963963963963964,0.16455040972145,118,Task_0,gp_nngp
0.2,0.7398648648648644,0.2280547515883357,157,Task_0,gp_nngp
0.25,0.7323369565217379,0.3221218779956041,196,Task_0,gp_nngp
0.3,0.6069819819819796,0.2825696731588757,236,Task_0,gp_nngp
0.35000000000000003,0.5243190661478573,0.2538599489806121,275,Task_0,gp_nngp
0.4,0.4614726027397235,0.2304461059403318,314,Task_0,gp_nngp
0.45,0.6251638269986879,0.31868156864184594,353,Task_0,gp_nngp
0.5,0.614325068870522,0.3249920294291702,392,Task_0,gp_nngp
0.55,0.5574999999999982,0.30407811720396266,432,Task_0,gp_nngp
0.6000000000000001,0.5126436781609178,0.2866299545529406,471,Task_0,gp_nngp
0.6500000000000001,0.4785407725321872,0.27276722019624244,510,Task_0,gp_nngp
