Confidence_Cutoff,AUC,Brier_Score,N_Samples,Task,Method
0.05,0.6944444444444444,0.27424486290074196,40,Task_0,nn_evd
0.1,0.8028169014084506,0.363680477458754,79,Task_0,nn_evd
0.15000000000000002,0.7757352941176471,0.3946423520875624,118,Task_0,nn_evd
0.2,0.7655472636815918,0.3859388228954463,157,Task_0,nn_evd
0.25,0.7148779364348218,0.3874198301954593,196,Task_0,nn_evd
0.3,0.7045173267326721,0.3959403945018815,236,Task_0,nn_evd
0.35000000000000003,0.6523437499999984,0.3704357995365538,275,Task_0,nn_evd
0.4,0.6469991889699904,0.3926797949768691,314,Task_0,nn_evd
0.45,0.6319196048373348,0.3618576514450147,353,Task_0,nn_evd
0.5,0.6201449275362307,0.3629492391351305,392,Task_0,nn_evd
0.55,0.593979057591622,0.34777544418469086,432,Task_0,nn_evd
0.6000000000000001,0.5719047619047609,0.33352151709510164,471,Task_0,nn_evd
0.6500000000000001,0.5758241758241749,0.3138617617676779,510,Task_0,nn_evd
0.7000000000000001,0.5815398886827451,0.2965021992914613,549,Task_0,nn_evd
0.7500000000000001,0.6048412698412705,0.29480143812779697,589,Task_0,nn_evd
0.8,0.6371299615027229,0.2881538772264744,628,Task_0,nn_evd
0.8500000000000001,0.6400072762551562,0.27629067581169664,667,Task_0,nn_evd
0.9000000000000001,0.6296211775445029,0.268060210030339,706,Task_0,nn_evd
0.9500000000000001,0.6319238570759897,0.2724141093558402,745,Task_0,nn_evd
1.0,0.6229654182951594,0.2704003824946031,784,Task_0,nn_evd
0.05,0.33333333333333337,0.3742344383515921,40,Task_1,nn_evd
0.1,0.15384615384615363,0.21631602482901546,79,Task_1,nn_evd
0.15000000000000002,0.1030927835051545,0.15609383418656164,118,Task_1,nn_evd
0.2,0.4847328244274807,0.21493879228673665,157,Task_1,nn_evd
0.25,0.5786163522012576,0.25274932693239577,196,Task_1,nn_evd
0.3,0.6130319148936169,0.2760367200306971,236,Task_1,nn_evd
0.35000000000000003,0.6147465437788017,0.29217816863994045,275,Task_1,nn_evd
0.4,0.6095617529880476,0.24986339744326505,314,Task_1,nn_evd
0.45,0.6126080325368579,0.26439998552885624,353,Task_1,nn_evd
0.5,0.6225806451612901,0.23703435035924728,392,Task_1,nn_evd
0.55,0.5887096774193548,0.22186991185196744,432,Task_1,nn_evd
0.6000000000000001,0.6093189964157705,0.2033785762282252,471,Task_1,nn_evd
0.6500000000000001,0.6605149236728183,0.21173751940869892,510,Task_1,nn_evd
0.7000000000000001,0.6946717585015456,0.22093455624434932,549,Task_1,nn_evd
0.7500000000000001,0.7013132607303011,0.2079641672792479,589,Task_1,nn_evd
0.8,0.7497645951035783,0.24839978501021004,628,Task_1,nn_evd
0.8500000000000001,0.7601626016260163,0.2723323792965417,667,Task_1,nn_evd
0.9000000000000001,0.7611874559548979,0.29215094104565864,706,Task_1,nn_evd
0.9500000000000001,0.794875199150292,0.30059952430177145,745,Task_1,nn_evd
1.0,0.7965837613249465,0.3056491179442427,784,Task_1,nn_evd
0.05,0.5,0.5554999714099614,40,Task_0,nn_mc_dropout
0.1,0.3134328358208955,0.3949800706839936,79,Task_0,nn_mc_dropout
0.15000000000000002,0.4441747572815534,0.45926158564511504,118,Task_0,nn_mc_dropout
0.2,0.430434782608695,0.44208675045308593,157,Task_0,nn_mc_dropout
0.25,0.4511494252873549,0.42991967424290345,196,Task_0,nn_mc_dropout
0.3,0.5699096225412003,0.4850050081833058,236,Task_0,nn_mc_dropout
0.35000000000000003,0.5393442622950806,0.42539354057131235,275,Task_0,nn_mc_dropout
0.4,0.48700361010830173,0.39707406400208456,314,Task_0,nn_mc_dropout
0.45,0.49517684887459656,0.3568533769500452,353,Task_0,nn_mc_dropout
0.5,0.5036231884057958,0.3600327411525518,392,Task_0,nn_mc_dropout
0.55,0.506072874493926,0.3621297081121611,432,Task_0,nn_mc_dropout
0.6000000000000001,0.5461847389558222,0.32375530032481065,471,Task_0,nn_mc_dropout
0.6500000000000001,0.6012125711457551,0.3137991749669527,510,Task_0,nn_mc_dropout
0.7000000000000001,0.6704329747807999,0.31313247565025776,549,Task_0,nn_mc_dropout
0.7500000000000001,0.6644187540141299,0.29517334643110504,589,Task_0,nn_mc_dropout
0.8,0.6621981981981993,0.2805737228161976,628,Task_0,nn_mc_dropout
0.8500000000000001,0.6613049682189664,0.26611480768208967,667,Task_0,nn_mc_dropout
0.9000000000000001,0.6498715910480639,0.25812859210435934,706,Task_0,nn_mc_dropout
0.9500000000000001,0.665550032418416,0.25878736017152276,745,Task_0,nn_mc_dropout
1.0,0.6650670360659008,0.26424139822148734,784,Task_0,nn_mc_dropout
0.05,,2.1138731712024555e-15,40,Task_1,nn_mc_dropout
0.1,0.8593749999999998,0.2189678715590311,79,Task_1,nn_mc_dropout
0.15000000000000002,0.6789473684210521,0.27417582307011584,118,Task_1,nn_mc_dropout
0.2,0.6720430107526878,0.30269866540980017,157,Task_1,nn_mc_dropout
0.25,0.6242038216560506,0.31372434513981207,196,Task_1,nn_mc_dropout
0.3,0.5240641711229943,0.27735352011242637,236,Task_1,nn_mc_dropout
0.35000000000000003,0.4516129032258063,0.24853970833651623,275,Task_1,nn_mc_dropout
0.4,0.5093877551020406,0.26802737772502644,314,Task_1,nn_mc_dropout
0.45,0.4473118279569891,0.24331195171502445,353,Task_1,nn_mc_dropout
0.5,0.49619978284473376,0.2596150233841734,392,Task_1,nn_mc_dropout
0.55,0.6199346405228756,0.28618958154357627,432,Task_1,nn_mc_dropout
0.6000000000000001,0.6798007246376809,0.30749306576904467,471,Task_1,nn_mc_dropout
0.6500000000000001,0.7101522842639594,0.32450307838672443,510,Task_1,nn_mc_dropout
0.7000000000000001,0.6944280660377359,0.3026247538502699,549,Task_1,nn_mc_dropout
0.7500000000000001,0.721921992481203,0.31887574597332163,589,Task_1,nn_mc_dropout
0.8,0.7537160906726125,0.2856734020886837,628,Task_1,nn_mc_dropout
0.8500000000000001,0.7667974882260596,0.28296210973480157,667,Task_1,nn_mc_dropout
0.9000000000000001,0.7475915221579962,0.27657427695722275,706,Task_1,nn_mc_dropout
0.9500000000000001,0.7531142327060696,0.2763114166551179,745,Task_1,nn_mc_dropout
1.0,0.764614230480697,0.2655402218670078,784,Task_1,nn_mc_dropout
0.05,0.7428571428571429,0.5554999654336386,40,Task_0,nn_deep_ensemble
0.1,0.5472636815920398,0.49475994740941726,79,Task_0,nn_deep_ensemble
0.15000000000000002,0.5357142857142857,0.4544896552878198,118,Task_0,nn_deep_ensemble
0.2,0.5575539568345317,0.38626011276677513,157,Task_0,nn_deep_ensemble
0.25,0.4348659003831403,0.42992027509112823,196,Task_0,nn_deep_ensemble
0.3,0.4439178515007882,0.38343839729780976,236,Task_0,nn_deep_ensemble
0.35000000000000003,0.6833333333333323,0.348221252646185,275,Task_0,nn_deep_ensemble
0.4,0.6855561412756973,0.3789118192253263,314,Task_0,nn_deep_ensemble
0.45,0.6592349726775945,0.3800179117866728,353,Task_0,nn_deep_ensemble
0.5,0.6391544117647046,0.3803923330208462,392,Task_0,nn_deep_ensemble
0.55,0.6190476190476176,0.3791863618945383,432,Task_0,nn_deep_ensemble
0.6000000000000001,0.6094969061070743,0.35245351241276973,471,Task_0,nn_deep_ensemble
0.6500000000000001,0.624610244988863,0.32074700448684285,510,Task_0,nn_deep_ensemble
0.7000000000000001,0.6042268041237103,0.3082287126655209,549,Task_0,nn_deep_ensemble
0.7500000000000001,0.6059113300492616,0.2897369441961592,589,Task_0,nn_deep_ensemble
0.8,0.5913978494623672,0.2804661176299737,628,Task_0,nn_deep_ensemble
0.8500000000000001,0.5983568796068819,0.26586445567310624,667,Task_0,nn_deep_ensemble
0.9000000000000001,0.6200079872204499,0.28581291912027756,706,Task_0,nn_deep_ensemble
0.9500000000000001,0.6618219148476362,0.27685934127831485,745,Task_0,nn_deep_ensemble
1.0,0.6617028644931511,0.26763304221589,784,Task_0,nn_deep_ensemble
0.05,0.6129032258064516,0.36660828513709603,40,Task_1,nn_deep_ensemble
0.1,0.5555555555555549,0.4856921845536648,79,Task_1,nn_deep_ensemble
0.15000000000000002,0.46825396825396765,0.3905472603407271,118,Task_1,nn_deep_ensemble
0.2,0.5499999999999997,0.38427409609591734,157,Task_1,nn_deep_ensemble
0.25,0.44230769230769196,0.33417583692685304,196,Task_1,nn_deep_ensemble
0.3,0.4696629213483144,0.3351119209706341,236,Task_1,nn_deep_ensemble
0.35000000000000003,0.5567944250871077,0.37991480495401353,275,Task_1,nn_deep_ensemble
0.4,0.5006265664160398,0.3552031519182425,314,Task_1,nn_deep_ensemble
0.45,0.43732895457033366,0.32488317258694066,353,Task_1,nn_deep_ensemble
0.5,0.46575342465753405,0.32956960906219895,392,Task_1,nn_deep_ensemble
