Confidence_Cutoff,AUC,Brier_Score,N_Samples,Task,Method
0.05,,2.022482976446135e-06,40,Task_0,gp_exact
0.1,0.7162162162162162,0.23005813372313766,79,Task_0,gp_exact
0.15000000000000002,0.6574074074074068,0.2898930062695259,118,Task_0,gp_exact
0.2,0.7024647887323938,0.38137908773676343,157,Task_0,gp_exact
0.25,0.6225988700564965,0.3813828779572025,196,Task_0,gp_exact
0.3,0.6431956668923486,0.41774312655218737,235,Task_0,gp_exact
0.35000000000000003,0.5516840882694536,0.381402835359189,275,Task_0,gp_exact
0.4,0.5843325339728226,0.40902053136715383,314,Task_0,gp_exact
0.45,0.5616613418530371,0.4044944835830911,353,Task_0,gp_exact
0.5,0.5037249283667652,0.37910756094046655,392,Task_0,gp_exact
0.55,0.5008307619273711,0.37796838298857083,431,Task_0,gp_exact
0.6000000000000001,0.45562513496005563,0.35653005090612017,470,Task_0,gp_exact
0.6500000000000001,0.4623362445414886,0.3551659752439428,509,Task_0,gp_exact
0.7000000000000001,0.43038617886179237,0.3394338544702956,549,Task_0,gp_exact
0.7500000000000001,0.4835374149659879,0.35421581458076423,588,Task_0,gp_exact
0.8,0.45250827603768745,0.3398787500159515,627,Task_0,gp_exact
0.8500000000000001,0.4273689273689256,0.32781988246835364,666,Task_0,gp_exact
0.9000000000000001,0.4704365079365054,0.33805083144555814,705,Task_0,gp_exact
0.9500000000000001,0.47731092436974476,0.3363549322482497,744,Task_0,gp_exact
1.0,0.660099052540911,0.3506570375163045,783,Task_0,gp_exact
0.05,,1.1271048044777152e-07,40,Task_1,gp_exact
0.1,,3.784632077180382e-07,79,Task_1,gp_exact
0.15000000000000002,,1.0099455113027659e-06,118,Task_1,gp_exact
0.2,0.9457364341085273,0.17465645198177512,157,Task_1,gp_exact
0.25,0.7625000000000006,0.14578224293248299,196,Task_1,gp_exact
0.3,0.6354166666666679,0.12453375314128869,235,Task_1,gp_exact
0.35000000000000003,0.5398230088495584,0.10784119686383208,275,Task_1,gp_exact
0.4,0.48031496062992185,0.09712850221268299,314,Task_1,gp_exact
0.45,0.7511737089201881,0.22055212503205404,353,Task_1,gp_exact
0.5,0.6751054852320681,0.20286843868767201,392,Task_1,gp_exact
0.55,0.6165703275529871,0.18869828095257335,431,Task_1,gp_exact
0.6000000000000001,0.6720000000000005,0.22045126488851746,470,Task_1,gp_exact
0.6500000000000001,0.6901477832512319,0.24436979765454686,509,Task_1,gp_exact
0.7000000000000001,0.6957854406130273,0.2641213345910137,549,Task_1,gp_exact
0.7500000000000001,0.6997211031918193,0.2812108521778898,588,Task_1,gp_exact
0.8,0.694105691056911,0.2930553935670272,627,Task_1,gp_exact
0.8500000000000001,0.7225000000000003,0.3232828225238663,666,Task_1,gp_exact
0.9000000000000001,0.725952813067151,0.346254951663045,705,Task_1,gp_exact
0.9500000000000001,0.6861063464837054,0.33436970502333974,744,Task_1,gp_exact
