Confidence_Cutoff,AUC,Brier_Score,N_Samples,Task,Method
0.05,0.0,0.3758433664928353,40,Task_0,nn_evd
0.1,0.0,0.23140835197801327,79,Task_0,nn_evd
0.15000000000000002,0.5535168195718653,0.37992360046843926,118,Task_0,nn_evd
0.2,0.4132420091324194,0.3138779430725201,157,Task_0,nn_evd
0.25,0.4629120879120874,0.3284499978012943,196,Task_0,nn_evd
0.3,0.5779320987654317,0.38181022157637884,235,Task_0,nn_evd
0.35000000000000003,0.49537037037037013,0.34617161003592034,275,Task_0,nn_evd
0.4,0.5169830169830179,0.3020899042300693,314,Task_0,nn_evd
0.45,0.4751552795031077,0.2793368351979846,353,Task_0,nn_evd
0.5,0.5650252525252546,0.3218085101592607,392,Task_0,nn_evd
0.55,0.5677835051546415,0.3272983964718632,431,Task_0,nn_evd
0.6000000000000001,0.5665162260906966,0.3322930853463647,470,Task_0,nn_evd
0.6500000000000001,0.570204230488697,0.30647818562878504,509,Task_0,nn_evd
0.7000000000000001,0.5723201747542543,0.3129269778717099,549,Task_0,nn_evd
0.7500000000000001,0.6519982038616985,0.3193237723613892,588,Task_0,nn_evd
0.8,0.6944871138419528,0.30205401575197294,627,Task_0,nn_evd
0.8500000000000001,0.6737451737451734,0.29239259954079005,666,Task_0,nn_evd
0.9000000000000001,0.6826226309921954,0.3116983062222165,705,Task_0,nn_evd
0.9500000000000001,0.7026581980710411,0.2909656048688418,744,Task_0,nn_evd
1.0,0.6980512489233406,0.2848875153461211,783,Task_0,nn_evd
0.05,0.8235294117647061,0.31966047962772326,40,Task_1,nn_evd
0.1,0.709375,0.30737826409607516,79,Task_1,nn_evd
0.15000000000000002,0.6082474226804124,0.2755440607580208,118,Task_1,nn_evd
0.2,0.717585692995529,0.3424401454838206,157,Task_1,nn_evd
0.25,0.6593406593406592,0.30967879257204683,196,Task_1,nn_evd
0.3,0.6722222222222223,0.3570777971643542,235,Task_1,nn_evd
0.35000000000000003,0.6707875457875458,0.36908520906951675,275,Task_1,nn_evd
0.4,0.6415336635479728,0.36986996118233717,314,Task_1,nn_evd
0.45,0.6350524475524475,0.36365816674425805,353,Task_1,nn_evd
0.5,0.6331318876644152,0.35858724543543175,392,Task_1,nn_evd
0.55,0.6444933113432291,0.3731142963708528,431,Task_1,nn_evd
0.6000000000000001,0.6626436781609198,0.39032975742072057,470,Task_1,nn_evd
0.6500000000000001,0.6726923971169498,0.4042072809458656,509,Task_1,nn_evd
0.7000000000000001,0.646131046893194,0.3967203458872555,549,Task_1,nn_evd
0.7500000000000001,0.6584817492505736,0.3923154689128322,588,Task_1,nn_evd
0.8,0.6606290261462678,0.40080171365637146,627,Task_1,nn_evd
0.8500000000000001,0.6739880664408963,0.39996479036984245,666,Task_1,nn_evd
0.9000000000000001,0.6808360201368846,0.40609347252080336,705,Task_1,nn_evd
0.9500000000000001,0.6838661338661324,0.4007971810198164,744,Task_1,nn_evd
1.0,0.7127762934175351,0.38617673736319097,783,Task_1,nn_evd
