Confidence_Cutoff,RMSE,MSE,N_Samples,Method
0.05,0.7298098183024707,0.5326223708906853,109,nn_evd
0.1,0.7099283818388095,0.5039983073402705,218,nn_evd
0.15000000000000002,0.7025929680531244,0.4936368787576987,327,nn_evd
0.2,0.8017026312874849,0.6427271090132769,435,nn_evd
0.25,0.7990605675398047,0.6384977905970347,544,nn_evd
0.3,0.8265770884620831,0.6832296831704544,653,nn_evd
0.35000000000000003,0.8314634072065322,0.6913313975234956,762,nn_evd
0.4,0.8477791484541652,0.7187294845536695,870,nn_evd
0.45,0.858857948946819,0.7376369764691367,979,nn_evd
0.5,0.8628382306504154,0.7444898122719394,1088,nn_evd
0.55,0.8642304514753636,0.7468942732573107,1197,nn_evd
0.6000000000000001,0.8754284207006294,0.7663749197703982,1306,nn_evd
0.6500000000000001,0.872217495605197,0.7607633596398019,1414,nn_evd
0.7000000000000001,0.8783110207044923,0.771430249090967,1523,nn_evd
0.7500000000000001,0.8851981654687617,0.7835757921492612,1632,nn_evd
0.8,0.8896841125810941,0.791537820179209,1740,nn_evd
0.8500000000000001,0.9042946891134918,0.8177488847588666,1849,nn_evd
0.9000000000000001,0.9165849482500763,0.840127967358595,1958,nn_evd
0.9500000000000001,0.9265531482993922,0.8585007366235153,2067,nn_evd
1.0,0.9445365632182243,0.8921493192560946,2175,nn_evd
0.05,0.6048397245706242,0.36583109241866846,109,nn_mc_dropout
0.1,0.7217092489555593,0.5208642400279976,218,nn_mc_dropout
0.15000000000000002,0.7367043065177904,0.5427332352418585,327,nn_mc_dropout
0.2,0.7680626346797907,0.5899202107912617,435,nn_mc_dropout
0.25,0.7721378995304975,0.5961969358913687,544,nn_mc_dropout
0.3,0.8240665873347173,0.6790857403614872,653,nn_mc_dropout
0.35000000000000003,0.8457544428304314,0.7153005775674136,762,nn_mc_dropout
0.4,0.8559686471666829,0.7326823249323612,870,nn_mc_dropout
0.45,0.8774821284333086,0.7699748857198495,979,nn_mc_dropout
0.5,0.8862126234269789,0.7853728139213283,1088,nn_mc_dropout
0.55,0.8980746940682016,0.8065381561256939,1197,nn_mc_dropout
0.6000000000000001,0.9035456581634582,0.816394756386037,1306,nn_mc_dropout
0.6500000000000001,0.9249780066521498,0.8555843127901845,1414,nn_mc_dropout
0.7000000000000001,0.9255340416568694,0.8566132622656996,1523,nn_mc_dropout
0.7500000000000001,0.9315418497971919,0.867770217923574,1632,nn_mc_dropout
0.8,0.9422011193874787,0.887742949375018,1740,nn_mc_dropout
0.8500000000000001,0.9465283136673864,0.8959158485740263,1849,nn_mc_dropout
0.9000000000000001,0.9515415772505345,0.9054313732364349,1958,nn_mc_dropout
0.9500000000000001,0.9587508520468364,0.9192031963005348,2067,nn_mc_dropout
1.0,0.9648522591225399,0.930939881933869,2175,nn_mc_dropout
0.05,1.0435358505749606,1.0889670714352064,109,nn_deep_ensemble
0.1,0.9367782222280632,0.8775534376407704,218,nn_deep_ensemble
0.15000000000000002,0.939927178734312,0.8834631013234433,327,nn_deep_ensemble
0.2,0.9045080022870418,0.8181347262012951,435,nn_deep_ensemble
0.25,0.9140202231069703,0.8354329682485157,544,nn_deep_ensemble
0.3,0.9084093412745718,0.8252075313149015,653,nn_deep_ensemble
0.35000000000000003,0.9248388529552442,0.8553269039355716,762,nn_deep_ensemble
0.4,0.9271921847295979,0.8596853474236448,870,nn_deep_ensemble
0.45,0.9241026920601259,0.8539657854727717,979,nn_deep_ensemble
0.5,0.9192381130322473,0.8449987084510868,1088,nn_deep_ensemble
0.55,0.9211780433574022,0.848568987563772,1197,nn_deep_ensemble
0.6000000000000001,0.9224355690014704,0.8508873789590664,1306,nn_deep_ensemble
0.6500000000000001,0.9184896572063785,0.8436232503950908,1414,nn_deep_ensemble
0.7000000000000001,0.9253383201850429,0.8562510068028769,1523,nn_deep_ensemble
0.7500000000000001,0.9174592248329316,0.8417314292310437,1632,nn_deep_ensemble
0.8,0.9191404728300144,0.8448192087941826,1740,nn_deep_ensemble
0.8500000000000001,0.923179615464407,0.8522606024090104,1849,nn_deep_ensemble
0.9000000000000001,0.9290068812592424,0.863053785427024,1958,nn_deep_ensemble
0.9500000000000001,0.9325459368754255,0.8696419243828651,2067,nn_deep_ensemble
1.0,0.9404440869679155,0.8844350807129162,2175,nn_deep_ensemble
