Confidence_Cutoff,RMSE,MSE,N_Samples,Method
0.05,1.0692176786429073,1.1432264443225273,109,nn_evd
0.1,1.0212280025367075,1.0429066331651133,218,nn_evd
0.15000000000000002,1.3731416190905876,1.8855179060787204,327,nn_evd
0.2,1.2826173566745016,1.6451072836426857,435,nn_evd
0.25,1.2301714805260788,1.513321871499725,544,nn_evd
0.3,1.2309937310415282,1.5153455658635424,653,nn_evd
0.35000000000000003,1.2164411274016216,1.4797290164341281,762,nn_evd
0.4,1.1964399755176065,1.431468615016571,870,nn_evd
0.45,1.1871066092780478,1.4092221017916238,979,nn_evd
0.5,1.1828035024300145,1.3990241253607096,1088,nn_evd
0.55,1.1711491541942558,1.3715903413699206,1197,nn_evd
0.6000000000000001,1.1762450477515063,1.3835524123599434,1306,nn_evd
0.6500000000000001,1.170469932401317,1.3699998626555439,1414,nn_evd
0.7000000000000001,1.1715112013796842,1.3724384949580712,1523,nn_evd
0.7500000000000001,1.168375289606824,1.3651008173638302,1632,nn_evd
0.8,1.170211526333977,1.3693950163648962,1740,nn_evd
0.8500000000000001,1.1669495741693952,1.3617713086541325,1849,nn_evd
0.9000000000000001,1.171150104558407,1.3715925674071674,1958,nn_evd
0.9500000000000001,1.1651692979035255,1.3576194927769947,2067,nn_evd
1.0,1.1657770487242964,1.3590361273323306,2175,nn_evd
0.05,1.0411752423462612,1.0840458852747956,109,nn_mc_dropout
0.1,1.02718131168369,1.055101447072226,218,nn_mc_dropout
0.15000000000000002,0.9960564791958693,0.9921285097480711,327,nn_mc_dropout
0.2,0.960176085930985,0.9219381159937464,435,nn_mc_dropout
0.25,0.9424238041819597,0.8881626266887966,544,nn_mc_dropout
0.3,0.9578928198600734,0.917558654339483,653,nn_mc_dropout
0.35000000000000003,0.9756356094116092,0.951864842351962,762,nn_mc_dropout
0.4,0.9710147324487916,0.9428696106325983,870,nn_mc_dropout
0.45,0.977936765094331,0.9563603165231648,979,nn_mc_dropout
0.5,0.9913604476263695,0.9827955371179559,1088,nn_mc_dropout
0.55,1.0125690986922038,1.0252961796263418,1197,nn_mc_dropout
0.6000000000000001,1.0131720727237314,1.0265176489473022,1306,nn_mc_dropout
0.6500000000000001,1.0208482291870022,1.0421311070342383,1414,nn_mc_dropout
0.7000000000000001,1.0173582517466961,1.035017812397094,1523,nn_mc_dropout
0.7500000000000001,1.015034786777589,1.0302956183686256,1632,nn_mc_dropout
0.8,1.011840895042297,1.0238219968799966,1740,nn_mc_dropout
0.8500000000000001,1.015257457948052,1.0307477059191406,1849,nn_mc_dropout
0.9000000000000001,1.0125601607668158,1.0252780791721197,1958,nn_mc_dropout
0.9500000000000001,1.0075061633187816,1.0150686691253317,2067,nn_mc_dropout
1.0,1.0060658133737037,1.0121684208392918,2175,nn_mc_dropout
0.05,0.8894916661426922,0.7911954241373025,109,nn_deep_ensemble
0.1,0.8965840834963522,0.8038630187789938,218,nn_deep_ensemble
0.15000000000000002,0.8795599304968195,0.7736256713355699,327,nn_deep_ensemble
0.2,0.8741345333603193,0.7641111824130633,435,nn_deep_ensemble
0.25,0.9143051174106528,0.8359538477233076,544,nn_deep_ensemble
0.3,0.9055311547717222,0.8199866722622087,653,nn_deep_ensemble
0.35000000000000003,0.9190052149407342,0.8445705850882651,762,nn_deep_ensemble
0.4,0.922940395697171,0.8518189740096506,870,nn_deep_ensemble
0.45,0.9232549615146757,0.8523997239614653,979,nn_deep_ensemble
0.5,0.9405522725823928,0.8846385774599037,1088,nn_deep_ensemble
0.55,0.9512056796129966,0.9047922449280227,1197,nn_deep_ensemble
0.6000000000000001,0.9536713831941825,0.9094891071235054,1306,nn_deep_ensemble
0.6500000000000001,0.9577686194755938,0.9173207284521847,1414,nn_deep_ensemble
0.7000000000000001,0.9540880569431429,0.9102840204015419,1523,nn_deep_ensemble
0.7500000000000001,0.9602038791901196,0.9219914896117538,1632,nn_deep_ensemble
0.8,0.9600729337604348,0.9217400381393682,1740,nn_deep_ensemble
0.8500000000000001,0.96250821001157,0.9264220543396767,1849,nn_deep_ensemble
0.9000000000000001,0.9683456355769587,0.9376932699409443,1958,nn_deep_ensemble
0.9500000000000001,0.9721964994964986,0.9451660336332454,2067,nn_deep_ensemble
1.0,0.992333238198398,0.9847252556333186,2175,nn_deep_ensemble
