prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
0.95612013,0.043879867,0.0042402893,0.17584407
0.9896208,0.010379195,0.002060935,0.055675875
0.9377147,0.062285304,0.0055160224,0.22769384
0.98647004,0.013529956,0.0020737946,0.069581576
0.771162,0.22883803,0.009247065,0.52862144
0.9943308,0.0056691766,0.0017789677,0.033199124
0.98658186,0.013418138,0.0019025579,0.06927273
0.007034476,0.9929655,0.0010522492,0.04082685
0.98890066,0.0110993385,0.0022190548,0.05877513
0.799775,0.200225,0.011422694,0.4892915
0.006262437,0.9937376,0.0010090992,0.03700418
0.04246134,0.95753866,0.0034227073,0.17226633
0.99703676,0.002963245,0.00081805885,0.019391235
0.989797,0.010203004,0.0016705915,0.0552617
0.1645978,0.8354022,0.00844121,0.43877482
0.02923062,0.9707694,0.0024374127,0.12962003
0.9838535,0.016146481,0.0021131933,0.08052347
0.99404454,0.0059554577,0.0015546978,0.034895465
0.98314023,0.01685977,0.0021190047,0.08343332
0.9731222,0.02687782,0.0027818158,0.12093391
0.43102315,0.5689769,0.018687129,0.664914
0.90476984,0.09523016,0.0050861835,0.30938816
0.25867635,0.74132365,0.009224355,0.5624435
0.8690948,0.13090521,0.005903125,0.38220075
0.94192773,0.05807227,0.005203381,0.21642664
0.649657,0.350343,0.012845755,0.63481295
0.5818264,0.4181736,0.008892477,0.6708031
0.59599227,0.40400773,0.010607183,0.66399604
0.017012581,0.9829874,0.0016776025,0.084495336
0.033162445,0.9668375,0.002469778,0.14309911
0.079056494,0.9209435,0.0038547516,0.2726042
0.027537566,0.9724624,0.0024022236,0.12367322
0.012143631,0.9878564,0.0017577633,0.06387677
0.88813806,0.111861944,0.0075002313,0.34289032
0.49820682,0.50179315,0.008706629,0.6844341
0.029705143,0.97029483,0.0025629252,0.13115282
0.030922063,0.96907794,0.0025335252,0.13539936
0.94073206,0.059267938,0.0039544255,0.22099404
0.06677754,0.9332225,0.0038594007,0.24136312
0.6613453,0.3386547,0.008113742,0.63202536
0.12099929,0.8790007,0.0053759515,0.36353534
0.7721215,0.22787851,0.0077293515,0.52897084
0.54355764,0.45644236,0.008527458,0.6808204
0.65443265,0.34556735,0.0085654855,0.6360939
0.8287111,0.17128891,0.008377343,0.4495467
0.02012177,0.97987825,0.002225168,0.09628745
0.22018957,0.7798104,0.008947074,0.5182007
0.0022035802,0.9977964,0.0005953144,0.015086621
0.5820467,0.4179533,0.010240376,0.6693824
0.69711936,0.30288064,0.010877013,0.6024084
0.010489536,0.9895105,0.0015861616,0.056652922
0.061347913,0.9386521,0.003938243,0.2267221
0.10315214,0.89684784,0.00543344,0.3265208
0.08063951,0.9193605,0.009906888,0.2704216
0.16459318,0.83540684,0.005947739,0.44126078
0.01652665,0.98347336,0.0015543252,0.082640216
0.77156746,0.22843254,0.008889616,0.5284858
0.8285664,0.17143363,0.008765519,0.4493866
0.0045849453,0.99541503,0.0011221226,0.028142145
0.008039648,0.99196035,0.0009325631,0.04585288
0.9586343,0.041365683,0.0034180135,0.16884233
0.4844389,0.5155611,0.012080431,0.6805824
0.024803879,0.9751961,0.0022861734,0.11390138
0.0073054372,0.99269456,0.001304213,0.04191092
0.013654859,0.9863451,0.0017282888,0.07046226
0.018975442,0.98102456,0.0023456514,0.09167882
0.0149984965,0.9850015,0.0017287731,0.076147445
0.31117243,0.6888276,0.0115484,0.6084871
0.077654175,0.9223458,0.005531907,0.26747045
0.09176442,0.90823555,0.004510343,0.30209082
0.005306291,0.9946937,0.00080860034,0.032282528
0.02341647,0.97658354,0.0023578256,0.10869512
0.08189303,0.918107,0.0079889,0.27537975
0.018040702,0.9819593,0.0024673343,0.08784533
0.025948279,0.9740517,0.0031761006,0.11718661
0.018323751,0.9816762,0.002287373,0.089154385
0.5556443,0.44435573,0.006374657,0.6805671
0.086505584,0.9134944,0.005798191,0.28857937
0.010501124,0.98949885,0.0012077726,0.057084028
0.022114148,0.97788584,0.0022237673,0.103932954
0.5273633,0.4726367,0.010874808,0.68077415
0.03301828,0.9669817,0.002295807,0.14278652
0.2647236,0.7352764,0.0071677566,0.5707721
0.78553224,0.21446776,0.00936842,0.51044786
0.4494438,0.5505562,0.0060886145,0.68193793
0.06853823,0.93146175,0.003312111,0.24652919
0.16338088,0.83661914,0.006517917,0.4387159
0.6091103,0.3908897,0.0069031715,0.6622412
0.035533927,0.9644661,0.0034261644,0.15005502
0.023528527,0.9764715,0.0023862422,0.10908448
0.09726667,0.9027333,0.004416108,0.31461927
0.06343318,0.9365668,0.005640298,0.23067105
0.0063883294,0.9936117,0.0014296509,0.037220243
0.007668037,0.992332,0.0013740361,0.043613173
0.045968555,0.95403147,0.0038330853,0.18263617
0.18405207,0.81594795,0.0064454377,0.47103706
0.30280063,0.69719934,0.016222477,0.5969962
0.17375794,0.8262421,0.010255665,0.45153943
0.027570732,0.9724293,0.0022843704,0.12390926
0.063984856,0.9360151,0.0041427165,0.23365134
0.048230153,0.9517698,0.0047661066,0.1885046
0.03631561,0.9636844,0.0031737983,0.15287896
0.5066832,0.49331683,0.009530842,0.683527
0.024396572,0.9756034,0.0023889914,0.11229966
0.9685006,0.031499386,0.0023117363,0.13760443
0.014829686,0.9851703,0.0012818426,0.075886995
0.011474576,0.98852545,0.0014606453,0.06121188
0.01113214,0.9888679,0.0016238727,0.059517518
