prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
0.89511526,0.104884766,0.0042991713,0.33568516
0.9969472,0.003052766,0.0006874187,0.020728825
0.0015777547,0.9984222,0.00017771951,0.011755822
0.99992764,7.237242e-05,7.180583e-05,0.0007623233
0.080303825,0.9196962,0.0016534633,0.27951074
0.99223435,0.007765665,8.196679e-05,0.045461345
0.99896693,0.0010331136,8.859205e-05,0.008135363
6.0364823e-06,0.999994,1.1488364e-05,7.855463e-05
0.994082,0.0059180656,0.0008391437,0.03625864
0.28213766,0.7178623,0.0037939996,0.5949609
8.751985e-06,0.99999124,1.5824393e-05,0.00011067948
4.411534e-05,0.9999559,7.4067204e-05,0.0004865161
0.9994199,0.0005800489,0.00025435237,0.0049026497
0.998117,0.0018829404,0.00033891178,0.013696488
0.00014638033,0.9998536,0.00013669256,0.0014388046
7.762179e-05,0.9999224,0.000111792295,0.00081217865
0.9962206,0.0037793438,0.00095261174,0.024854206
0.99857694,0.0014230654,0.00030115308,0.010750149
0.99967253,0.00032747,0.00013817428,0.002955061
0.9900561,0.009943887,0.0007579059,0.055743534
0.008292121,0.9917078,0.0008760231,0.04799728
0.8523552,0.1476448,0.0024360882,0.4186019
0.26847348,0.73152655,0.005919144,0.5817346
0.015310199,0.98468983,0.0014448741,0.07917729
0.2516488,0.7483512,0.0065352195,0.5641393
0.7088478,0.29115218,0.016266784,0.6031801
0.42243192,0.5775681,0.0089341,0.68106484
0.6603145,0.3396855,0.0028367792,0.6408266
0.070593454,0.9294066,0.004783061,0.2551713
0.017923512,0.98207647,0.0044953553,0.08984387
0.46063024,0.5393697,0.009151774,0.69004405
0.00011322626,0.9998868,0.00019812198,0.0011419605
0.00023103834,0.999769,0.00045185673,0.0021654582
0.03537515,0.9646249,0.0015701626,0.15295666
0.0001490643,0.9998509,0.00021903715,0.0014624755
0.0003018836,0.9996981,0.00035422697,0.00274875
0.00163007,0.99836993,0.0008253696,0.012092364
0.45607796,0.543922,0.0062756417,0.68928397
0.013304775,0.9866952,0.0014329688,0.07068765
0.010722177,0.98927784,0.0011616669,0.05929426
0.006811211,0.99318874,0.0020088628,0.040770397
0.49798477,0.5020152,0.020599004,0.6931391
0.01485378,0.9851462,0.001071396,0.077269904
0.00089360616,0.9991064,0.0008406419,0.007166518
0.2609595,0.73904043,0.010042074,0.5740582
0.0012970882,0.99870294,0.0009913779,0.009918772
0.15963866,0.84036136,0.00470659,0.43907017
0.000115359755,0.9998846,0.0002173778,0.0011613973
0.016886465,0.9831135,0.0014113185,0.08566084
0.06948733,0.93051267,0.0037604913,0.2523108
9.295051e-05,0.999907,0.00017665898,0.00095586973
0.00016725692,0.99983275,0.00027825052,0.0016216894
0.07082595,0.92917407,0.0044958265,0.25577018
0.00019028896,0.9998097,0.00021024625,0.0018204888
0.0006031688,0.99939686,0.0009831982,0.0050744265
0.0007937186,0.9992063,0.0014741718,0.006459554
0.37384328,0.62615675,0.013371926,0.6609695
0.23699048,0.76300955,0.005183024,0.547586
1.9579691e-05,0.9999804,3.815998e-05,0.00023186352
9.157949e-05,0.99990845,0.00013798117,0.0009430724
0.93864095,0.06135902,0.0038959275,0.23069067
0.0013077442,0.9986923,0.0009895184,0.009989564
0.18753947,0.8124605,0.011153957,0.48263544
0.00018674864,0.99981326,0.0002692649,0.0017900905
3.0857733e-05,0.99996907,6.0862123e-05,0.00035141656
7.009092e-06,0.99999297,1.381761e-05,9.020935e-05
6.868741e-05,0.99993134,0.00013208036,0.000727086
0.011064394,0.9889356,0.0032605056,0.06083725
2.7906e-05,0.9999721,5.2898984e-05,0.0003205256
0.0011793156,0.99882066,0.0011207643,0.009130546
2.7495515e-05,0.9999726,5.4465327e-05,0.00031615156
1.7154001e-05,0.9999829,3.3717162e-05,0.00020533203
0.0002940238,0.9997059,0.00044089166,0.0026849934
1.06463895e-05,0.9999894,2.0906044e-05,0.00013250383
8.4631676e-05,0.99991536,0.00015329951,0.0008782333
0.00047590543,0.9995241,0.0005743878,0.0041165752
0.16900325,0.83099675,0.009509154,0.4543022
0.00010767496,0.99989235,0.00015057725,0.0010913911
0.00015666905,0.99984336,0.00029885233,0.0015292551
0.0008257383,0.99917424,0.0014375796,0.0066875205
0.0070679896,0.992932,0.0017849746,0.04204488
0.00015621462,0.9998438,0.0002589173,0.0015253101
0.13903606,0.86096394,0.0034909232,0.4032098
0.3730932,0.6269068,0.010648157,0.66058147
0.13911691,0.86088306,0.0063153896,0.40335718
0.0043029855,0.995697,0.0024980875,0.02773828
0.0008748607,0.9991251,0.0011123577,0.0070347684
0.0004672385,0.99953276,0.00052318256,0.00405022
0.0070194607,0.9929805,0.002778763,0.0418048
2.2630824e-05,0.9999774,4.402267e-05,0.00026464366
0.008924774,0.9910753,0.003281299,0.051000103
0.011957306,0.9880427,0.0024387497,0.06481348
0.00010351717,0.9998965,0.00020201478,0.0010533084
5.2723088e-05,0.9999473,0.000100094425,0.0005720256
0.00072789163,0.9992721,0.00079622207,0.005986895
0.014253658,0.9857463,0.0020934436,0.074740216
0.00079458713,0.9992054,0.000554133,0.0064657787
0.0023395596,0.99766046,0.0011901769,0.01650936
8.808034e-05,0.99991184,0.0001139423,0.00091057055
0.014311523,0.98568845,0.007917151,0.07498524
0.00054113904,0.99945885,0.0008143317,0.0046113525
0.0008785133,0.9991215,0.0013398072,0.0070604607
0.1135757,0.8864243,0.00696392,0.35392648
1.4207723e-05,0.9999858,2.7969683e-05,0.0001727585
0.9995212,0.00047879867,0.00017395774,0.0041387267
5.9573373e-05,0.9999404,0.00010382257,0.0006391406
5.3821856e-05,0.99994624,8.825531e-05,0.00058281166
4.943567e-05,0.9999505,8.914265e-05,0.00053960725
