prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
0.15090054,0.84909946,0.23318234,0.424268
0.14869097,0.85130906,0.23323141,0.42043167
0.16171736,0.83828264,0.2424666,0.4425067
0.35095727,0.6490427,0.4240336,0.6480372
0.1283223,0.87167776,0.20623149,0.3831849
0.15425235,0.84574765,0.22770908,0.43001485
0.1567846,0.84321535,0.2388491,0.43429935
0.18152988,0.8184701,0.23665187,0.47370538
0.20838307,0.7916169,0.2940155,0.5118065
0.21583702,0.784163,0.30205703,0.52158827
0.14674139,0.8532586,0.2242524,0.41701478
0.11789156,0.8821084,0.16913901,0.36270294
0.15986335,0.84013665,0.26543155,0.43944323
0.49031106,0.50968885,0.46499094,0.6929594
0.1434441,0.8565559,0.23465347,0.4111666
0.28617975,0.7138202,0.43580136,0.5986956
0.18551598,0.81448406,0.26470128,0.47965533
0.16719905,0.8328009,0.26640493,0.45141703
0.1921249,0.8078751,0.30497882,0.48928946
0.6529979,0.34700212,0.4647814,0.645571
0.14744788,0.8525522,0.24532013,0.41825646
0.09511636,0.9048836,0.1367074,0.31421807
0.17313844,0.82686156,0.27286908,0.46082786
0.123595506,0.87640446,0.20227598,0.37402812
0.3280625,0.67193747,0.45103243,0.6327981
0.5267009,0.47329906,0.5182404,0.6917206
0.19283997,0.8071601,0.266283,0.49031478
0.20726289,0.7927371,0.2892983,0.51030755
0.11950661,0.88049334,0.1793987,0.3659408
0.15475126,0.8452488,0.24010666,0.43086275
0.099859715,0.9001403,0.1664178,0.32477462
0.14492472,0.85507524,0.24130368,0.41380355
0.12255612,0.87744385,0.17740045,0.37198713
0.110925525,0.8890745,0.1709184,0.34844595
0.13776182,0.8622382,0.19600284,0.4008796
0.17926474,0.8207353,0.2772188,0.4702767
0.12535805,0.87464195,0.19513954,0.3774663
0.16468124,0.83531874,0.25960916,0.44735157
0.14285396,0.857146,0.22807124,0.41011062
0.099795975,0.900204,0.16227509,0.32463446
0.18812801,0.811872,0.2667462,0.48349714
0.24943396,0.750566,0.38094026,0.56171244
0.095558174,0.9044419,0.15497804,0.31521213
0.17126828,0.8287317,0.25280133,0.45789152
0.13706477,0.8629352,0.2377328,0.3995992
0.13418068,0.8658193,0.21230774,0.39425743
0.12206669,0.8779333,0.18638813,0.37102258
0.09071713,0.90928286,0.15853088,0.30419385
0.30667028,0.6933297,0.36217064,0.61641055
0.19426793,0.8057321,0.2834888,0.49235263
0.14463983,0.8553602,0.23690616,0.41329747
0.5298089,0.47019112,0.5170701,0.691369
0.16932914,0.8306709,0.22225387,0.45482084
0.13214521,0.8678548,0.21390662,0.3904444
0.28011394,0.71988606,0.4293364,0.5930609
0.12283049,0.8771695,0.2053634,0.37252688
0.14014551,0.85985446,0.222538,0.40522754
0.26295415,0.7370458,0.33656484,0.57612425
0.13027538,0.8697246,0.2067981,0.38690987
0.16143912,0.83856094,0.2420777,0.4420485
0.11399313,0.88600683,0.18896428,0.3547834
0.153955,0.84604496,0.2314179,0.42950854
0.12522584,0.87477416,0.18810518,0.37720937
0.15757254,0.8424275,0.2523623,0.43562254
0.11867045,0.88132954,0.19281317,0.36426756
0.18524066,0.8147593,0.2866455,0.4792478
0.20638156,0.79361844,0.3027393,0.50912285
0.12396553,0.87603444,0.20650004,0.37475228
