prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
0.00032067441,0.9996793,0.00013201428,0.00276846
0.00020787411,0.9997921,8.315826e-05,0.0018871978
0.0055011795,0.99449885,0.0009753257,0.033132162
0.071563534,0.92843646,0.0032669306,0.25439775
0.0038123194,0.9961877,0.0011077374,0.02393008
0.002450681,0.9975493,0.0007746611,0.016405037
0.0060797893,0.9939202,0.0010789484,0.036006182
0.0078619765,0.992138,0.0013353489,0.044592552
0.17869787,0.8213021,0.0051088333,0.46430442
0.35541728,0.64458275,0.017401338,0.63333446
0.005590483,0.9944095,0.0009498745,0.033621065
0.00018530404,0.9998147,9.3251234e-05,0.001684455
0.008364716,0.99163526,0.0016971044,0.046647117
0.1936869,0.8063131,0.008382082,0.483143
0.008295714,0.9917043,0.0011194833,0.046894927
0.6013663,0.39863372,0.0062506795,0.66620314
0.04313382,0.9568662,0.004318446,0.17346033
0.018646684,0.98135334,0.0017061979,0.09101824
0.018483968,0.981516,0.0026725233,0.08940635
0.3958233,0.6041767,0.014388204,0.6568936
0.0042126644,0.9957873,0.00070333295,0.0265423
0.0056644124,0.9943356,0.0012973994,0.03365607
0.050516244,0.94948375,0.0028080195,0.19722447
0.001547781,0.99845225,0.00040141866,0.011160724
0.41491577,0.5850842,0.009413004,0.66918486
0.1650177,0.8349823,0.0112525225,0.43664497
0.024364104,0.9756359,0.0019306615,0.11263819
0.1999233,0.8000767,0.01091212,0.48938394
0.00429091,0.99570906,0.0010364093,0.02663616
0.011033172,0.9889668,0.0015102141,0.05918671
0.009499364,0.9905006,0.0013885424,0.05229964
0.054665912,0.9453341,0.0038296282,0.2082014
0.0052304175,0.9947696,0.0010743737,0.031619117
0.01426953,0.98573047,0.002275154,0.07253229
0.0070096026,0.9929904,0.0010850541,0.0406709
0.0027630704,0.9972369,0.00066040084,0.01837726
0.003158724,0.99684125,0.00067990646,0.020660475
0.0063948696,0.99360514,0.0017429106,0.036940005
0.07166463,0.92833537,0.0053017437,0.25262198
0.0069933464,0.99300665,0.001584664,0.040090732
0.05133165,0.94866836,0.004509449,0.19790825
0.29155767,0.70844233,0.008538663,0.5950019
0.010814261,0.98918575,0.0013107061,0.058399826
0.63389814,0.36610186,0.016010582,0.64083785
0.015504816,0.98449516,0.0022738352,0.07771261
0.0023480332,0.997652,0.0006211549,0.015939502
0.008601343,0.99139863,0.0013517924,0.048119064
0.029323312,0.97067666,0.0026183873,0.12976365
0.5217123,0.4782877,0.011316597,0.68088746
0.0019575057,0.9980425,0.0004570689,0.0137056615
0.041172516,0.9588275,0.0032894313,0.1683633
0.2005115,0.7994885,0.010856271,0.4902544
0.004381301,0.9956187,0.0010158252,0.02714812
0.018995816,0.9810042,0.002258189,0.09184667
0.82839984,0.17160016,0.006315112,0.4520993
0.00805393,0.99194604,0.0019448288,0.044909395
0.017763799,0.9822362,0.0023859441,0.086817764
0.034687147,0.96531284,0.003174305,0.14750107
0.00014780187,0.9998522,7.4778916e-05,0.0013765885
0.0015240222,0.99847597,0.0005270308,0.010881259
0.021645376,0.97835463,0.0023227483,0.10205259
0.015463693,0.9845363,0.0017181262,0.07809756
0.07518059,0.9248194,0.007158935,0.25967902
0.106282584,0.8937174,0.004137695,0.33453423
