prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
0.15392946,0.8460706,0.20859078,0.42946494
0.13590966,0.8640904,0.17431459,0.3974682
0.21840325,0.7815968,0.24575995,0.5248796
0.5341497,0.46585032,0.64024323,0.69081295
0.13523044,0.8647695,0.13013938,0.39620999
0.25162292,0.7483771,0.3009368,0.5641111
0.25794488,0.7420551,0.32453388,0.5708963
0.19511285,0.8048872,0.25818396,0.49355227
0.5466582,0.45334184,0.39254403,0.68878686
0.26552558,0.7344744,0.30076724,0.5787575
0.18851702,0.811483,0.22996432,0.4840654
0.120601736,0.8793983,0.13235557,0.36812216
0.12275064,0.87724936,0.13425109,0.37236986
0.6684058,0.33159423,0.5450203,0.6353019
0.24771978,0.75228024,0.21490723,0.5598161
0.5339149,0.46608502,0.6647285,0.690845
0.38891917,0.6110808,0.37721163,0.6682622
0.5299429,0.47005707,0.5174112,0.69135296
0.30731767,0.6926823,0.36351594,0.61693764
0.7067442,0.29325575,0.54282796,0.60504115
0.37125853,0.6287415,0.41805953,0.6596221
0.28804243,0.7119576,0.40118,0.6003896
0.37520546,0.62479454,0.4203969,0.66166806
0.14594956,0.8540504,0.15283765,0.41561842
0.608713,0.39128703,0.525639,0.66932034
0.6877263,0.31227365,0.52805495,0.6209078
0.27845025,0.72154975,0.3372109,0.59148365
0.2048605,0.79513955,0.24043001,0.5070671
0.47952464,0.5204754,0.40353313,0.6923085
0.13909464,0.86090535,0.16017981,0.4033166
0.24033423,0.7596658,0.28512996,0.5514648
0.39557347,0.60442656,0.5266458,0.67117596
0.32738274,0.67261726,0.37087366,0.6323096
0.17172156,0.8282784,0.20456617,0.4586055
0.30190638,0.69809365,0.27339414,0.61247087
0.34591907,0.6540809,0.4089252,0.64488375
0.46198514,0.5380148,0.43007275,0.6902541
0.307291,0.69270897,0.3490468,0.61691594
0.39147177,0.6085282,0.28887126,0.6694019
0.2783311,0.7216689,0.3426164,0.5913702
0.6096415,0.39035848,0.45207694,0.6689082
0.45363542,0.54636455,0.50731635,0.6888417
0.06757998,0.93241996,0.10473242,0.24733369
0.1125673,0.88743275,0.141103,0.3518494
0.23385029,0.7661497,0.2754939,0.54388696
0.31194544,0.68805456,0.3517771,0.6206484
0.4664574,0.5335426,0.50493973,0.6908953
0.3315395,0.6684604,0.3620916,0.63526356
0.38275886,0.61724114,0.42612788,0.6653986
0.21592867,0.78407127,0.2000385,0.5217065
0.30939385,0.6906061,0.30433092,0.6186148
0.6869295,0.31307048,0.5460152,0.6215354
0.22159056,0.7784094,0.27901316,0.52891374
0.34554198,0.65445805,0.37903285,0.6446432
0.43586794,0.56413203,0.5880574,0.6848986
0.2356373,0.7643627,0.26016396,0.54599875
0.18035398,0.81964606,0.23106898,0.47192976
0.11848891,0.8815111,0.16683525,0.36390337
0.18630026,0.8136997,0.20500235,0.4808136
0.17344928,0.8265507,0.21413098,0.46131355
0.42162144,0.5783786,0.46548542,0.68081
0.27834025,0.7216598,0.2590006,0.59137887
0.32968527,0.67031467,0.48801607,0.6339556
0.3256733,0.67432666,0.31419793,0.63107216
0.35102436,0.6489757,0.46182752,0.64807844
0.21532077,0.78467923,0.30720288,0.52092147
0.3776628,0.6223372,0.444979,0.6629083
0.18155918,0.81844085,0.21531054,0.47374946
0.16324852,0.8367515,0.15199634,0.44501758
0.1638311,0.8361689,0.12730838,0.44596845
0.23975988,0.7602401,0.32306743,0.550803
0.4752632,0.5247368,0.6166864,0.6919229
0.66135883,0.33864114,0.56182414,0.64013004
0.27357277,0.7264272,0.3515608,0.58678013
0.33144477,0.6685552,0.3843277,0.6351971
0.5000326,0.4999674,0.3632796,0.6931472
0.15747896,0.842521,0.23180397,0.43546566
0.3195979,0.68040204,0.35097748,0.62656605
0.32778463,0.6722154,0.30290025,0.63259864
0.26115745,0.73884255,0.282078,0.5742641
0.49740627,0.5025937,0.38501686,0.6931337
0.48347035,0.5165297,0.56371087,0.6926006
0.3898203,0.61017966,0.43717903,0.6686677
0.20303977,0.79696023,0.18699059,0.50458765
0.15925759,0.8407424,0.19664651,0.43843675
0.35193002,0.64807004,0.48946923,0.64863324
0.2230883,0.77691174,0.2515838,0.530789
0.24126786,0.7587322,0.24178693,0.5525369
0.5841823,0.4158177,0.59068906,0.6789061
0.16913529,0.8308647,0.22597072,0.45451242
0.18898365,0.81101626,0.22178525,0.48474595
0.5264068,0.47359318,0.5511304,0.6917519
0.19079594,0.8092041,0.21647239,0.48737496
0.19053529,0.8094647,0.2625038,0.4869982
0.101472914,0.89852715,0.12248144,0.32830727
0.14891206,0.8510879,0.15829775,0.42081732
0.37203097,0.627969,0.358647,0.66002774
0.30816054,0.69183946,0.35833687,0.61762094
0.5928757,0.40712428,0.5755216,0.6757948
0.1815769,0.8184231,0.1804423,0.47377622
0.31214172,0.6878583,0.39883474,0.6208036
0.332456,0.66754395,0.34696618,0.6359043
0.117269024,0.88273096,0.18398662,0.36144817
0.3619412,0.63805884,0.3657644,0.6545269
0.24759474,0.7524053,0.26679727,0.5596772
0.1696236,0.8303764,0.19264929,0.4552889
0.34887093,0.651129,0.39418224,0.64674497
0.3191682,0.68083173,0.41853213,0.62624097
0.291538,0.70846206,0.39452574,0.603523
0.24664357,0.7533564,0.25624865,0.5586176
0.41500145,0.58499855,0.40703946,0.67862725
0.3532952,0.6467048,0.3302519,0.6494627
0.10545672,0.8945433,0.1361779,0.33690977
0.33761415,0.6623858,0.37378258,0.6394403
0.22604172,0.77395827,0.2983997,0.5344491
0.31207544,0.68792456,0.27218974,0.62075126
0.5528498,0.4471502,0.54025227,0.68755054
0.36773747,0.63226247,0.43011832,0.6577406
0.25041905,0.749581,0.33185643,0.56279504
0.3453718,0.65462816,0.4076823,0.64453447
0.15545002,0.84454995,0.19928145,0.43204734
0.4915548,0.5084452,0.4810804,0.6930045
0.26631263,0.7336874,0.32564354,0.5795567
0.22970678,0.7702932,0.32256216,0.53892183
0.3309178,0.6690822,0.34089786,0.63482666
0.33591777,0.6640823,0.37048465,0.6382905
0.5221304,0.4778695,0.47813222,0.6921674
0.39898342,0.6010165,0.48057035,0.67259735
0.16496792,0.83503205,0.24432342,0.44781676
0.3014914,0.69850856,0.37683588,0.61212265
0.31744346,0.68255657,0.257978,0.6249274
0.2583933,0.7416067,0.2960661,0.57136965
0.12687956,0.8731204,0.17319241,0.38041154
0.20001788,0.79998213,0.21378472,0.5004272
0.2105104,0.78948957,0.18755636,0.51463217
0.5747408,0.42525917,0.55493855,0.6819328
0.6656373,0.33436266,0.5534156,0.6372253
0.5454049,0.45459503,0.5772367,0.68901825
0.29669392,0.70330614,0.33764946,0.60803694
0.20861308,0.79138696,0.27168223,0.5121133
0.7412329,0.2587672,0.46780124,0.57176346
0.49501297,0.50498706,0.50397354,0.6930974
0.70068246,0.2993175,0.46077466,0.610285
0.44315398,0.556846,0.42828545,0.68667024
0.19809686,0.8019031,0.23287173,0.4977528
0.29205889,0.70794106,0.3804434,0.60398495
0.23782842,0.7621716,0.3309534,0.5485638
0.49344018,0.50655985,0.53050065,0.6930611
0.5136069,0.48639303,0.44568813,0.6927769
0.36061588,0.6393841,0.37097517,0.65377176
0.26181388,0.7381861,0.37736288,0.5749456
0.40566063,0.5943394,0.29076013,0.6752402
0.31401014,0.68598986,0.3475047,0.6222718
0.34556106,0.654439,0.4290568,0.64465535
0.20810378,0.79189616,0.21434627,0.5114335
0.49265894,0.507341,0.45871222,0.6930394
0.31173253,0.68826747,0.27443764,0.6204799
0.338743,0.66125697,0.42281392,0.64019823
0.23626886,0.7637312,0.27270833,0.5467408
0.18038017,0.8196199,0.23078527,0.4719694
0.3770326,0.6229674,0.4084977,0.6625927
0.35500222,0.6449978,0.3772317,0.6504883
0.086008854,0.91399115,0.1322059,0.2932052
0.34938622,0.6506138,0.3878575,0.6470659
0.11376056,0.88623947,0.1491929,0.35430616
0.3309856,0.66901445,0.42795962,0.63487446
0.12499841,0.8750016,0.15604696,0.37676704
0.5674001,0.43259984,0.5737466,0.68403393
0.15553527,0.8444647,0.20305885,0.4321916
0.4501819,0.5498181,0.42321768,0.68817526
0.48703313,0.51296693,0.4885971,0.69281083
0.48027495,0.5197251,0.5469301,0.6923688
0.30104187,0.69895816,0.31814387,0.6117445
0.21810804,0.781892,0.22717506,0.5245029
0.25653625,0.74346375,0.28779563,0.5694027
0.18978688,0.81021315,0.22983938,0.48591375
0.15868987,0.8413101,0.16307415,0.437491
0.5217722,0.47822785,0.6809907,0.6921988
0.24303725,0.7569627,0.25162828,0.5545557
0.34129274,0.65870726,0.37006003,0.6418892
0.4608348,0.5391652,0.5576543,0.69007623
0.36153665,0.6384634,0.3217038,0.65429723
0.2246768,0.77532315,0.269757,0.53276384
0.36356655,0.6364335,0.3650182,0.6554427
0.33115703,0.66884303,0.45070946,0.634995
0.21628407,0.7837159,0.2705571,0.52216446
0.16177484,0.8382252,0.20443204,0.44260126
0.36534894,0.63465106,0.3502369,0.6564338
0.2868047,0.7131953,0.2674726,0.5992658
0.2903892,0.7096108,0.33419093,0.6024998
0.18117025,0.81882966,0.23013958,0.47316343
0.16454974,0.83545023,0.18499693,0.44713795
0.53643876,0.46356124,0.5057416,0.6904893
0.5797665,0.42023346,0.53080463,0.68036723
0.20736541,0.7926346,0.28181353,0.510445
0.6059667,0.3940333,0.62424767,0.6705181
0.31372917,0.68627083,0.41210923,0.6220521
0.24383983,0.7561602,0.34492713,0.55546576
0.47017685,0.5298231,0.51005,0.69136727
0.3859833,0.61401665,0.40929368,0.66691744
0.12306201,0.876938,0.1575242,0.37298173
0.29097867,0.7090213,0.30255753,0.6030257
0.41016844,0.58983153,0.3289771,0.6769198
0.30092335,0.69907665,0.38605815,0.6116446
0.36480182,0.6351982,0.35982588,0.6561311
0.087804735,0.91219527,0.10163549,0.29742914
0.34057367,0.6594264,0.4158101,0.64141524
0.45775333,0.54224664,0.5456273,0.6895734
0.33272037,0.66727966,0.33964336,0.63608843
0.34822997,0.65177,0.41143462,0.64634407
0.44554958,0.5544504,0.5032812,0.68720573
0.4996181,0.5003819,0.5140257,0.6931469
0.16726203,0.832738,0.17030324,0.45151812
0.2844423,0.7155577,0.35225675,0.59710014
0.45858067,0.5414193,0.47946674,0.68971217
0.4794799,0.52052015,0.5735347,0.69230473
0.15020534,0.8497946,0.17116722,0.42306513
0.41078585,0.58921415,0.5288073,0.67714334
0.46290606,0.53709394,0.52894825,0.69039273
0.2683093,0.73169076,0.30437157,0.5815699
0.13225898,0.867741,0.1526307,0.39065847
0.37674895,0.623251,0.364258,0.6624502
0.23523597,0.764764,0.23830761,0.545526
0.45545647,0.5445435,0.3769615,0.6891737
0.3623779,0.63762206,0.29307622,0.6547741
0.13471171,0.8652883,0.15138733,0.39524627
0.57755166,0.42244834,0.6038154,0.68106997
0.1820802,0.8179198,0.20226955,0.47453317
0.22659412,0.7734059,0.2784664,0.5351281
0.17318499,0.826815,0.22308934,0.46090063
0.3097971,0.6902029,0.34090284,0.6189382
0.18106268,0.81893736,0.19196884,0.473001
0.40598717,0.59401286,0.41038767,0.67536473
0.44962183,0.5503782,0.62493837,0.68806267
0.49277607,0.50722396,0.48376438,0.69304276
0.28770033,0.7122997,0.29036555,0.6000797
0.43869674,0.5613032,0.5892543,0.6856121
0.46565342,0.5343466,0.54744136,0.69078594
0.27644467,0.7235553,0.2723553,0.58956397
0.25031742,0.74968255,0.28412822,0.56268364
0.25366396,0.74633604,0.26775137,0.5663247
0.38311964,0.6168804,0.42376098,0.6655707
0.12578401,0.874216,0.14134257,0.37829292
0.20384167,0.7961584,0.25333074,0.5056822
0.15728965,0.8427103,0.18268162,0.43514806
0.2718528,0.72814727,0.31703672,0.5850929
0.22701672,0.7729833,0.26774165,0.5356464
0.20566545,0.7943346,0.22707863,0.5081568
0.44035646,0.55964357,0.5115213,0.6860155
0.44663215,0.5533678,0.4536352,0.68744004
0.25901902,0.740981,0.29657763,0.57202834
0.37642783,0.6235722,0.43101284,0.6622883
0.09734215,0.9026578,0.13895003,0.31920356
0.4537842,0.54621583,0.47627783,0.68886924
0.5062929,0.49370712,0.47158295,0.693068
0.37181437,0.62818563,0.42205033,0.65991426
0.4945903,0.50540966,0.50977767,0.69308865
0.42678076,0.57321924,0.42144266,0.6823864
0.33164737,0.6683526,0.29349905,0.63533914
0.5184213,0.48157874,0.5306163,0.6924683
0.3356501,0.6643499,0.30925012,0.63810796
0.27170685,0.7282932,0.3202594,0.58494914
0.17743047,0.8225695,0.19572718,0.46747476
0.23539709,0.7646029,0.2608769,0.5457159
0.15944768,0.84055233,0.16418037,0.43875283
0.21523827,0.7847617,0.23888195,0.5208148
0.45003924,0.5499608,0.44595733,0.6881467
