prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
3.074657e-10,1.0,6.717542e-10,5.9759815e-09
4.8635627e-12,1.0,2.0026203e-12,1.0975408e-10
1.7902871e-12,1.0,6.260374e-13,4.056508e-11
5.6027698e-08,0.99999994,1.6457011e-07,8.3045256e-07
3.7639515e-14,1.0,1.3276056e-15,8.653401e-13
2.1869702e-12,1.0,1.4821547e-12,4.8827383e-11
2.171766e-09,1.0,3.8916887e-09,3.933234e-08
0.0003449077,0.99965507,0.00070718,0.002387377
0.0006672855,0.9993327,0.0010134405,0.004532998
1.2310605e-05,0.99998766,2.7916554e-05,0.00012359343
1.5061101e-10,1.0,5.6095173e-10,2.7686238e-09
7.4856675e-27,1.0,2.4651903e-32,1.7236384e-25
2.0190558e-11,1.0,3.1741276e-11,4.2945025e-10
0.00015826807,0.99984175,0.0005611547,0.0009821218
1.0601757e-13,1.0,3.3575573e-15,2.4376748e-12
1.36550925e-05,0.99998635,2.2131047e-05,0.00014447435
1.2531737e-07,0.9999999,2.5024008e-07,1.860465e-06
9.03137e-06,0.99999094,2.1011263e-05,9.294612e-05
4.7705236e-11,1.0,1.14719345e-10,9.65127e-10
0.0068207323,0.99317926,0.033813678,0.0070041176
3.8299377e-09,1.0,6.700091e-09,6.742699e-08
2.9801032e-07,0.9999997,4.931012e-07,4.2827664e-06
2.3765254e-10,1.0,5.50612e-10,4.632353e-09
4.966295e-20,1.0,0.0,1.1435317e-18
0.00016261672,0.9998374,0.0002585128,0.0013227621
5.754624e-06,0.9999942,1.2330318e-05,6.288367e-05
2.1211006e-05,0.9999788,2.637897e-05,0.00022309138
1.0651718e-06,0.9999989,4.0055056e-06,1.1715918e-05
4.2009155e-08,0.99999994,1.1392399e-07,6.5912224e-07
2.2798254e-13,1.0,4.2162888e-14,5.20681e-12
1.22725226e-08,1.0,2.9639736e-08,1.9381577e-07
0.00025011925,0.9997499,0.00040932314,0.0019151288
4.8127156e-09,1.0,7.627712e-09,8.444646e-08
8.547348e-07,0.99999917,3.5085486e-06,9.268577e-06
0.009610457,0.9903895,0.028293826,0.025909968
