prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
4.278351e-08,0.99999994,8.5461764e-08,7.765307e-07
0.020174999,0.979825,0.0013634014,0.09871937
0.0019033494,0.99809664,8.108765e-05,0.01382438
0.9998597,0.00014030834,1.6306793e-05,0.0013850585
0.02581137,0.9741887,0.0094524445,0.119865924
0.97156554,0.02843444,0.0012895594,0.12925729
1.6851492e-23,1.0,3.3702984e-23,3.1041596e-22
0.94275653,0.057243444,0.0014904839,0.21931441
0.0045747254,0.9954252,0.0017038955,0.029209286
9.987765e-05,0.9999001,0.00014521599,0.0010199118
0.5309553,0.4690447,0.0043980842,0.69122946
0.99881256,0.001187447,0.00017818598,0.009185312
8.273844e-10,1.0,1.6544934e-09,1.517521e-08
0.0012942503,0.9987058,0.00047590162,0.0098998835
4.5341583e-10,1.0,9.06764e-10,8.3321225e-09
3.8975712e-10,1.0,7.794923e-10,7.1646893e-09
1.3525349e-07,0.9999999,2.7034565e-07,2.2487463e-06
3.2337532e-11,1.0,6.46748e-11,5.955749e-10
0.9997626,0.00023737854,2.4845944e-05,0.002218494
6.215672e-06,0.99999374,1.1231593e-05,8.076466e-05
7.708578e-07,0.9999992,1.5286657e-06,1.1615336e-05
4.580222e-06,0.99999547,9.112725e-06,6.082812e-05
0.99258614,0.0074138097,0.00037129546,0.04374667
2.7414318e-08,1.0,5.4694393e-08,4.6881806e-07
0.9896517,0.010348318,0.0016394955,0.05759603
0.026640275,0.97335976,0.010561816,0.122862
0.00015645458,0.99984354,0.0002800185,0.0015274115
1.7113256e-06,0.9999983,3.2153469e-06,2.4441959e-05
0.003662665,0.99633735,0.004032116,0.024201874
4.6027355e-07,0.9999995,9.174655e-07,7.1830004e-06
1.547925e-06,0.99999845,3.0870956e-06,2.2248812e-05
0.05174381,0.9482562,0.0050909608,0.20361811
1.4439973e-07,0.9999999,2.8663842e-07,2.3839343e-06
0.98343605,0.016563877,0.0009752344,0.08434669
0.9933235,0.0066764406,0.00029041062,0.040097576
0.9981762,0.0018237751,0.00022072584,0.013324379
0.99810666,0.0018933408,0.0001058164,0.013761673
3.5858838e-07,0.99999964,7.101901e-07,5.6696076e-06
0.07903247,0.9209675,0.0072137523,0.27639997
0.99980813,0.00019183109,1.608075e-05,0.0018337013
7.210505e-07,0.9999993,1.4409228e-06,1.0902822e-05
9.701399e-06,0.9999903,1.3242842e-05,0.000121691104
1.2136362e-06,0.9999988,2.3895316e-06,1.7714152e-05
3.7624984e-06,0.99999624,6.2982754e-06,5.0740313e-05
0.0002811381,0.99971884,0.00046678146,0.0025798776
0.8118086,0.1881914,0.0106042195,0.48358983
0.0014986655,0.9985013,0.00025635204,0.011243658
2.571859e-07,0.99999976,5.1300816e-07,4.1310095e-06
0.97661364,0.023386348,0.0008891184,0.11094056
0.9999632,3.6794947e-05,5.3234467e-06,0.00041244732
1.1780828e-05,0.9999882,2.2589498e-05,0.0001454927
1.15107784e-10,1.0,2.3021411e-10,2.1190463e-09
2.628909e-06,0.9999974,5.249908e-06,3.6391317e-05
7.198977e-05,0.99992806,9.797856e-05,0.0007586397
0.66913134,0.3308687,0.005856582,0.6347921
7.807699e-10,1.0,1.561509e-09,1.4323615e-08
1.3761216e-11,1.0,2.7521862e-11,2.5347205e-10
7.1222286e-07,0.9999993,1.4233115e-06,1.0786751e-05
0.94566035,0.054339636,0.0017268521,0.21110001
1.0380373e-05,0.99998957,2.0520196e-05,0.00012954172
0.43493202,0.565068,0.009348132,0.6846554
0.70901585,0.29098418,0.001887552,0.60303056
2.8016844e-05,0.99997205,5.42436e-05,0.0003216365
0.46997195,0.53002805,0.009035158,0.6913427
0.009228618,0.9907714,0.0022179754,0.05242605
0.63967335,0.36032668,0.009695675,0.6536059
1.774828e-07,0.9999998,3.5456878e-07,2.927948e-06
0.8005655,0.19943453,0.004043274,0.4996175
0.009563088,0.9904369,0.0020428638,0.053984083
1.230606e-07,0.9999999,2.4598592e-07,2.0675616e-06
2.639256e-07,0.99999976,5.2743144e-07,4.2264423e-06
0.0010691656,0.9989308,0.00090350944,0.008382637
2.581548e-05,0.9999742,4.981579e-05,0.00029852707
0.0003807952,0.9996192,2.2207261e-05,0.0033788271
0.18689159,0.81310844,0.0059397523,0.48168415
0.010634317,0.9893657,0.0030956967,0.05889637
0.010175038,0.98982495,0.0018346612,0.056804318
0.00023879608,0.9997612,0.00025402493,0.0022302736
0.103706725,0.8962933,0.0049948264,0.33315194
3.1805946e-05,0.99996823,4.295005e-05,0.00036113663
0.8989496,0.10105043,0.004937465,0.32738483
8.801497e-09,1.0,1.7590985e-08,1.5657274e-07
0.008998168,0.9910018,0.0036583613,0.05134558
0.5338287,0.46617123,0.006173143,0.6908567
0.0002923156,0.99970764,0.00037942195,0.0026710778
0.00031700748,0.999683,0.00012389885,0.002870915
0.48492473,0.5150752,0.012609529,0.69269264
5.227983e-07,0.99999946,1.0161297e-06,8.088327e-06
0.99937695,0.00062303705,9.300425e-05,0.00522142
