prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
0.0968302,0.9031698,0.14997922,0.31806183
0.6571263,0.34287372,0.47958717,0.64292324
0.66862404,0.33137596,0.5622587,0.63514876
0.8844563,0.11554375,0.21857546,0.35795113
0.1832561,0.8167439,0.2547337,0.4762951
0.53786963,0.46213034,0.65709,0.6902762
0.045802277,0.9541977,0.0790221,0.18596469
0.7496028,0.25039718,0.35074684,0.5627711
0.26793033,0.7320696,0.3619674,0.58118945
0.2596009,0.74039906,0.3560687,0.5726391
0.7274441,0.27255595,0.3674933,0.5857845
0.30202398,0.69797605,0.4022686,0.61256945
0.14800164,0.8519984,0.26258713,0.41922697
0.29020607,0.7097939,0.457176,0.6023361
0.07144337,0.92855656,0.11661532,0.25735664
0.07286383,0.9271362,0.11906936,0.26098457
0.08346139,0.91653866,0.13366432,0.2871429
0.06561114,0.9343889,0.11115601,0.2421354
0.63237303,0.36762694,0.5409084,0.65768063
0.270736,0.72926396,0.376799,0.5839895
0.15066366,0.8493363,0.26391232,0.42385852
0.0705857,0.9294143,0.11755103,0.25515136
0.6820979,0.31790212,0.5226305,0.625278
0.18096502,0.819035,0.2692204,0.4728536
0.6641099,0.33589005,0.48310927,0.6382717
0.3403081,0.6596919,0.500616,0.64123964
0.18486223,0.8151378,0.2755611,0.47868675
0.26751155,0.73248845,0.3731136,0.58076805
0.14702809,0.8529719,0.20849971,0.41751915
0.07825545,0.9217445,0.13943024,0.2744878
0.1132982,0.8867018,0.15861616,0.3533559
0.58167803,0.41832197,0.54892987,0.6797446
0.28237942,0.7176206,0.43881997,0.59518653
0.79974306,0.20025691,0.344175,0.50075835
0.86048806,0.13951197,0.24694367,0.40407652
0.7937181,0.2062819,0.30366832,0.5089886
0.84867406,0.15132591,0.26814744,0.42500216
0.53573376,0.46426624,0.41674915,0.6905912
0.23580952,0.76419044,0.32453918,0.54620135
0.8748669,0.12513305,0.22931051,0.377029
0.08195378,0.91804624,0.13621062,0.28351542
0.36102936,0.6389706,0.5054636,0.65400815
0.13176319,0.8682368,0.2216269,0.3897248
0.423411,0.576589,0.5938176,0.68136907
0.39268172,0.6073182,0.45170403,0.6699326
0.6708648,0.3291352,0.42804348,0.6335645
0.79360086,0.20639913,0.3637453,0.5091466
0.13371588,0.8662841,0.1615589,0.39338994
0.6699159,0.33008406,0.39933947,0.6342382
0.42414057,0.5758594,0.53678244,0.6815933
0.1593369,0.84066314,0.25998285,0.43856862
0.034759868,0.9652401,0.057697605,0.15091716
0.2104991,0.78950095,0.28630936,0.51461715
0.32151657,0.6784835,0.44570857,0.6280073
0.2032151,0.79678494,0.30556577,0.50482726
0.13761312,0.8623869,0.2515634,0.4006068
0.10614506,0.8938549,0.1627133,0.33837897
0.25084478,0.7491552,0.35775104,0.56326133
0.81583035,0.18416962,0.31767035,0.47765756
0.3126499,0.6873501,0.36736253,0.6212045
0.4892994,0.51070064,0.49579006,0.6929182
0.61317426,0.38682577,0.56640524,0.667307
0.14385673,0.85614324,0.20948286,0.41190326
0.5308432,0.46915677,0.5374892,0.6912434
0.4313801,0.5686199,0.56723136,0.6837
0.45805395,0.5419461,0.54173994,0.6896241
0.18381208,0.8161879,0.29024094,0.47712493
0.31575185,0.68424815,0.38755465,0.62362576
0.314417,0.685583,0.4079763,0.62258935
0.16634972,0.83365023,0.23984934,0.45005077
0.14895788,0.85104215,0.21653897,0.42089713
0.6867006,0.31329945,0.44417155,0.6217152
0.10052501,0.89947504,0.15889153,0.32623497
0.18486856,0.8151314,0.29197055,0.47869617
0.7997302,0.2002698,0.34080246,0.5007762
0.18296598,0.817034,0.25828418,0.47586125
0.16858803,0.83141196,0.23148024,0.45364025
0.5700765,0.42992342,0.58916086,0.68329334
0.71699566,0.2830043,0.3963674,0.59576845
0.12214946,0.8778506,0.205198,0.37118584
0.1806961,0.81930393,0.25017786,0.47244734
0.06058957,0.93941045,0.10601031,0.22858664
0.3866636,0.6133364,0.4571631,0.6672323
0.6140996,0.38590038,0.49039498,0.66687894
0.24248241,0.75751764,0.3597883,0.55392444
0.1612167,0.8387833,0.30812308,0.44168192
0.74741554,0.25258443,0.39109182,0.5651567
0.403558,0.596442,0.66351986,0.674428
0.8598131,0.1401869,0.2543794,0.40530258
0.31710437,0.6828957,0.43230203,0.62466747
0.6876231,0.31237695,0.387737,0.6209893
0.29825243,0.7017476,0.35688785,0.6093763
0.5703621,0.4296379,0.5563651,0.6832126
0.15164945,0.8483505,0.23866315,0.42555958
0.16654626,0.8334537,0.24255998,0.45036736
0.2286947,0.77130526,0.32484105,0.53769433
0.22025374,0.7797463,0.32168677,0.5272289
0.036854286,0.96314573,0.06421037,0.15781465
0.079179175,0.92082083,0.14461918,0.27676
0.09552827,0.90447176,0.1483592,0.31514493
0.68775076,0.3122492,0.5068164,0.62088853
0.31861043,0.6813896,0.36499742,0.6258176
0.81352526,0.18647477,0.29570916,0.48107076
0.77266675,0.22733322,0.36351824,0.5360339
0.22820614,0.77179384,0.3323719,0.53709966
0.52903837,0.47096166,0.5605478,0.6914598
0.23756868,0.7624313,0.33056843,0.5482611
0.1819112,0.8180888,0.26145968,0.47427914
0.075689875,0.92431015,0.1253962,0.2681142
0.06374518,0.9362548,0.103172675,0.23715052
0.06266059,0.9373394,0.09576281,0.2342263
0.54239887,0.45760116,0.54638314,0.68954754
0.665613,0.33438697,0.47203147,0.637242
0.30102205,0.6989779,0.35753885,0.61172783
0.21743128,0.7825687,0.3374345,0.52363753
0.17059226,0.82940775,0.2474584,0.45682406
0.14641178,0.8535883,0.2254005,0.41643405
0.26157555,0.7384244,0.4558155,0.57469845
0.09417532,0.9058247,0.16161583,0.31209293
0.5259001,0.47409987,0.67027944,0.69180495
0.112731606,0.8872684,0.18302132,0.35218856
0.42399535,0.5760046,0.50864893,0.68154883
0.24506594,0.7549341,0.4206327,0.55684936
0.06329992,0.93670005,0.11234561,0.23595247
0.041856766,0.95814323,0.06599418,0.1738008
0.12087043,0.8791295,0.2146419,0.3686557
0.5231702,0.47682983,0.5669848,0.6920731
0.7234918,0.27650824,0.45486316,0.5896251
0.13642643,0.8635736,0.2091518,0.39842296
0.21176456,0.7882354,0.31913957,0.5162852
0.21453395,0.7854661,0.30500188,0.51990217
0.34138063,0.6586193,0.47532955,0.64194703
0.19545567,0.8045443,0.2714753,0.49403772
0.14204764,0.85795236,0.23088416,0.4086632
0.23067425,0.76932573,0.3287913,0.5400898
0.19544283,0.80455714,0.2836149,0.49401957
0.19233932,0.80766064,0.33088514,0.48959732
0.33845615,0.6615438,0.55816066,0.6400061
0.3186702,0.6813297,0.54153544,0.6258631
0.6153727,0.38462725,0.57657987,0.6662841
0.11350757,0.8864924,0.19251612,0.35378653
0.09807623,0.9019238,0.16528721,0.32083532
0.13993321,0.8600668,0.22639196,0.40484223
0.13942035,0.8605796,0.23220228,0.40390986
0.090810105,0.9091899,0.15639216,0.30440813
0.41188392,0.58811605,0.43233842,0.6775369
0.6966931,0.30330688,0.4775856,0.61364025
0.30916443,0.69083554,0.4071901,0.6184305
0.46228042,0.5377196,0.5987506,0.6902989
0.15389378,0.84610623,0.2535353,0.4294042
0.089085214,0.9109148,0.14304626,0.30041623
0.1497167,0.85028327,0.2322014,0.42221737
0.33921167,0.66078836,0.40908793,0.64051116
0.2825255,0.71747446,0.37728977,0.5953228
0.088863306,0.9111367,0.15289152,0.2999
0.7772161,0.22278394,0.41436794,0.530409
0.1100207,0.8899793,0.14951311,0.3465586
0.11812601,0.88187397,0.18504833,0.3631745
0.15708435,0.84291565,0.24943243,0.43480325
0.10405019,0.8959498,0.17967875,0.3338921
0.57290184,0.42709813,0.5874345,0.68247986
0.716461,0.283539,0.43197325,0.5962648
0.64409095,0.355909,0.42820412,0.65102804
0.4601283,0.53987175,0.7525142,0.6899643
0.13243285,0.8675671,0.17493214,0.39098543
0.40815085,0.5918492,0.46863827,0.67617846
0.50292194,0.49707803,0.634967,0.69313014
0.13759664,0.86240333,0.20953135,0.4005766
0.15386054,0.84613943,0.2436403,0.42934757
0.11646397,0.8835361,0.17657599,0.35981992
0.11238027,0.8876197,0.17178866,0.35146314
0.5424044,0.45759553,0.64992,0.6895466
0.7973713,0.20262866,0.35085514,0.504025
0.13304786,0.86695206,0.21574515,0.39213982
0.12986866,0.8701314,0.2092594,0.38613692
0.7191792,0.28082076,0.4744069,0.5937269
0.4789726,0.5210273,0.49396905,0.69226265
0.16175446,0.8382455,0.23759492,0.44256777
0.3432571,0.65674293,0.38087785,0.64317226
0.7407348,0.25926515,0.39437073,0.5722869
0.17756538,0.8224346,0.26789147,0.46768162
0.135137,0.864863,0.21741466,0.39603657
0.21030347,0.7896966,0.33490694,0.5143584
0.20074451,0.79925555,0.28433472,0.5014328
0.106867634,0.8931324,0.16865379,0.33991578
0.22359987,0.77640015,0.33564156,0.53142655
0.18356074,0.8164392,0.25017267,0.47675008
0.14439382,0.85560614,0.2368883,0.4128601
0.25703144,0.74296856,0.32500434,0.56992894
0.160115,0.839885,0.21093136,0.43986052
0.14514962,0.85485035,0.23042962,0.4142025
0.17348778,0.8265122,0.24136747,0.46137363
0.641037,0.35896304,0.52518415,0.6528192
0.14170727,0.8582927,0.1999338,0.40805063
0.17037144,0.8296285,0.27551624,0.4564747
0.08592642,0.9140736,0.1436269,0.29301032
0.1823117,0.8176883,0.274386,0.47488075
0.46181056,0.5381895,0.5001665,0.6902275
0.28241637,0.71758366,0.3929758,0.59522104
0.053197227,0.94680274,0.09537216,0.20782381
0.84083766,0.15916234,0.28190798,0.4382782
0.10313105,0.8968689,0.18993361,0.3319087
0.106284745,0.89371526,0.18167974,0.33867648
0.24680609,0.7531939,0.36271945,0.55879897
0.78098273,0.2190173,0.4168032,0.52566135
0.3924954,0.60750467,0.45576707,0.6698512
0.8000522,0.19994779,0.32454246,0.50033
0.0948097,0.9051903,0.17116483,0.3135267
0.1254009,0.87459916,0.20558174,0.3775495
0.11145353,0.8885465,0.18737587,0.34954348
0.076735355,0.9232647,0.1331726,0.27072263
0.14898957,0.8510104,0.23381591,0.4209524
0.12654051,0.87345946,0.20612338,0.37975705
0.1825507,0.81744933,0.28171632,0.47523922
0.13688064,0.8631194,0.22149818,0.3992602
0.1721465,0.8278535,0.27849874,0.45927346
0.104630366,0.8953696,0.14667434,0.33513945
0.10219583,0.8978042,0.17300946,0.32988104
0.11054352,0.88945645,0.17442167,0.3476502
0.1730464,0.8269536,0.24886426,0.4606839
0.205831,0.794169,0.27017283,0.5083804
0.122137815,0.87786216,0.20040609,0.37116292
0.1137969,0.8862031,0.17544785,0.35438073
0.3640037,0.6359963,0.43396276,0.6556871
0.052883327,0.9471167,0.09555817,0.20691906
0.24958941,0.7504106,0.3495315,0.56188357
0.49117374,0.50882626,0.4405355,0.6929914
0.2413907,0.75860935,0.37937418,0.55267763
0.5171321,0.48286784,0.57740945,0.6925601
0.12067791,0.8793221,0.18457776,0.3682735
0.3216798,0.67832017,0.40474403,0.6281292
0.41723168,0.5827684,0.52036595,0.6793827
0.58336353,0.4166365,0.52034825,0.6791831
0.7482364,0.25176355,0.40812835,0.56426436
0.68687844,0.31312156,0.5327739,0.6215756
0.48730704,0.512693,0.48562542,0.6928249
0.6297309,0.37026912,0.6123581,0.65909874
0.72081095,0.2791891,0.49501386,0.5921858
0.13076282,0.86923724,0.17514117,0.38783413
0.18317583,0.8168242,0.25324887,0.47617513
0.29372242,0.70627755,0.45939767,0.6054511
0.26083595,0.73916405,0.33731365,0.5739295
0.64306825,0.35693175,0.45614833,0.6516324
