prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
2.614779e-05,0.99997383,2.4003733e-05,0.00027806708
0.9834425,0.016557515,0.0017981902,0.08252246
0.9866891,0.013310909,0.0030269027,0.067687124
0.99894935,0.0010506511,0.000323507,0.007932319
0.30402866,0.69597137,0.0056786537,0.60856056
0.98763925,0.012360752,0.0023571178,0.06423054
1.05513336e-13,1.0,9.323271e-15,2.4200997e-12
0.9922329,0.0077670813,0.0015831105,0.04388513
0.6659761,0.3340239,0.006061554,0.6309302
0.9327411,0.067258894,0.0052390993,0.24125105
0.9847245,0.015275478,0.0022977963,0.07673492
0.97700495,0.022995055,0.0032689348,0.10620798
0.09826269,0.90173733,0.023709744,0.2975391
0.999017,0.0009829998,0.00039298832,0.007396705
5.5395463e-05,0.9999446,5.745003e-05,0.0005408527
2.672224e-05,0.9999733,2.1579035e-05,0.00028650896
0.0011223885,0.9988776,0.0003801994,0.008365181
7.0951624e-05,0.9999291,5.5091863e-05,0.0006936723
0.96234846,0.03765154,0.003580302,0.15682712
0.026684852,0.9733151,0.0024731234,0.12054931
0.0075172973,0.9924827,0.0016917996,0.04256086
0.0060240496,0.99397594,0.0010312311,0.035769567
0.9941883,0.0058116913,0.0013826229,0.03433006
0.024059974,0.97594005,0.002922602,0.11052203
0.9902243,0.009775698,0.0017792657,0.053189017
0.41501197,0.584988,0.012974203,0.6656567
0.0031714982,0.9968285,0.00078364834,0.020630198
0.7474837,0.25251633,0.012367308,0.5527155
0.8455952,0.15440482,0.008647978,0.4216262
0.02880494,0.97119504,0.00304237,0.1275208
0.009481382,0.9905186,0.0023023076,0.05130228
0.9384043,0.06159568,0.0043618083,0.22697389
0.05974061,0.9402594,0.003572911,0.2226803
0.98803496,0.011965036,0.0017108172,0.06313681
0.99737555,0.002624452,0.0009050518,0.017312765
0.9938063,0.0061936975,0.0015848689,0.036079742
0.9971386,0.0028613806,0.0007459242,0.018868893
0.91724086,0.08275914,0.009016305,0.27644068
0.18260713,0.8173929,0.012515247,0.4628086
0.9985164,0.0014836192,0.000807791,0.010337941
0.011610018,0.98838997,0.00220038,0.06107492
0.48450965,0.51549035,0.014774203,0.67789304
0.13416153,0.86583847,0.0070114434,0.3872103
0.4303135,0.56968653,0.01348871,0.6699144
0.97557867,0.024421334,0.0027995035,0.111980446
0.9853579,0.014642119,0.0024236366,0.07395692
0.9947583,0.005241692,0.00105175,0.031700887
0.0060817436,0.99391824,0.0010737032,0.036021404
0.98973894,0.010261059,0.0018669739,0.055330742
0.9819383,0.018061697,0.0023563355,0.08804022
0.085704625,0.9142954,0.006695509,0.2857901
7.709543e-08,0.99999994,1.0791757e-07,1.2142732e-06
0.074450366,0.9255496,0.004743606,0.26025784
0.46614295,0.53385705,0.010763943,0.6800889
0.2653658,0.73463416,0.012461007,0.5661339
1.7921426e-05,0.99998206,1.470813e-05,0.00019910508
3.2803124e-05,0.9999672,2.1345913e-05,0.00035012784
0.66815066,0.33184934,0.0126696825,0.62281096
0.9954229,0.0045771003,0.0011208057,0.028101223
0.38702193,0.6129781,0.00822854,0.6591687
0.84657496,0.15342504,0.006029129,0.4225753
0.9504876,0.049512386,0.0046589524,0.19241804
0.002105336,0.99789464,0.0005665673,0.014512346
0.87445855,0.12554145,0.008080751,0.36974168
0.4441786,0.5558214,0.007846475,0.6790556
0.92708015,0.072919846,0.0047682226,0.2563588
0.0050540147,0.994946,0.001151558,0.030613113
0.9767173,0.023282707,0.0024414733,0.108112074
0.19742914,0.8025709,0.006051451,0.49076626
