prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
1.3383199e-06,0.9999987,1.8608225e-06,1.7549944e-05
0.09685922,0.9031408,0.03887245,0.2792542
0.3677845,0.6322155,0.13462532,0.5231407
0.73664343,0.26335657,0.12379876,0.45273986
0.051387362,0.94861263,0.0038405508,0.19873962
0.32010067,0.67989933,0.06631118,0.56063414
2.2503791e-17,1.0,3.1763736e-22,5.181686e-16
0.512262,0.487738,0.14565611,0.5471903
0.2030413,0.7969587,0.0068724453,0.49771735
0.91685396,0.083146036,0.0047514737,0.28163517
0.95645326,0.043546736,0.003959805,0.17509672
0.8630897,0.13691032,0.0067478716,0.39256704
0.0030823937,0.9969176,0.00062562525,0.020274565
0.7414679,0.2585321,0.045111418,0.52640456
1.1308143e-05,0.9999887,6.645787e-06,0.00013347855
1.8131656e-06,0.9999982,1.6727554e-06,2.408612e-05
0.00043940303,0.9995606,0.00023823604,0.0035976993
1.1734618e-06,0.9999988,1.4788475e-06,1.5737414e-05
0.1317361,0.8682639,0.0294604,0.36021325
0.02088871,0.9791113,0.0022012591,0.09927667
0.008366685,0.9916333,0.0013164058,0.047037214
0.0034649542,0.99653506,0.00089643523,0.022191651
0.37409028,0.6259097,0.19054478,0.47055203
0.0070086736,0.9929913,0.0013626814,0.04038865
0.8689741,0.13102591,0.024807662,0.3635246
0.30123875,0.6987612,0.01522547,0.59668475
0.0007929216,0.9992071,0.00034506852,0.0061088284
0.029572545,0.97042745,0.0040224046,0.12923074
0.061068404,0.9389316,0.0038419068,0.22605532
0.015314864,0.9846851,0.0030798465,0.07611692
0.0015346492,0.99846536,0.00045617577,0.011020975
0.12316914,0.8768309,0.014542282,0.3586498
0.005869019,0.99413097,0.0016598105,0.03434738
0.36556363,0.63443637,0.12462157,0.5319307
0.8705066,0.12949342,0.07210922,0.31331336
0.9831767,0.016823292,0.0021459535,0.08325802
0.52911204,0.47088796,0.17753398,0.5139172
0.4421369,0.5578631,0.013234258,0.6732016
0.15691194,0.84308803,0.004610598,0.42990294
0.69272566,0.30727434,0.1282525,0.48864996
0.0074533178,0.9925467,0.0010143295,0.042925667
0.3627085,0.6372915,0.024984539,0.6299762
0.062270302,0.9377297,0.0038339645,0.22933517
0.015189303,0.9848107,0.00272502,0.075948425
0.11651895,0.883481,0.011141956,0.34878945
0.95233816,0.04766184,0.0033767372,0.18819551
0.22161633,0.7783837,0.19197375,0.33697236
0.0033721707,0.9966278,0.0006758757,0.021885691
0.5519178,0.4480822,0.058731735,0.6290148
0.9646628,0.03533721,0.0029921532,0.1498391
0.050652705,0.9493473,0.004407048,0.19602555
1.28265425e-08,1.0,1.2478367e-08,2.2050273e-07
0.09204484,0.90795517,0.0053345263,0.30190894
0.02852926,0.9714707,0.0030169487,0.12657505
0.032803856,0.96719617,0.0030447543,0.14131269
1.101746e-06,0.9999989,1.4499419e-06,1.473727e-05
4.9119744e-06,0.9999951,7.456958e-06,5.7473673e-05
0.041537113,0.9584629,0.003113985,0.1696848
0.45823842,0.5417616,0.14626569,0.5433894
0.036424957,0.96357507,0.0022559762,0.15415508
0.5603966,0.4396034,0.009803295,0.6760305
0.8509402,0.14905977,0.010995775,0.4100789
0.00062740565,0.9993726,0.00029034168,0.004963297
0.6124906,0.3875094,0.012198746,0.6554223
0.029341314,0.97065866,0.006161928,0.1262831
0.21466976,0.78533024,0.013042152,0.50703627
0.0027208491,0.99727917,0.0007332545,0.018055417
0.9306958,0.06930423,0.0062669665,0.2455685
0.13869515,0.8613049,0.0054334104,0.3971543
0.0014225703,0.9985774,0.0005968651,0.0101500675
0.0007570165,0.99924296,0.00026604766,0.0059307194
0.15609038,0.8439096,0.06772709,0.3654025
0.052468568,0.94753146,0.004339531,0.20138106
0.002335037,0.997665,0.00084906816,0.015632905
0.50876397,0.49123603,0.20811772,0.48487586
0.010799685,0.9892003,0.0015604831,0.05808424
0.014613854,0.98538613,0.0016264096,0.07463516
0.21683998,0.78316003,0.09839702,0.42448217
0.7757075,0.22429252,0.013377428,0.51891
0.037017655,0.96298236,0.00515303,0.15319437
0.18177617,0.81822383,0.005146444,0.46892965
0.0008202807,0.9991797,0.0002967082,0.006352037
0.62993616,0.37006384,0.03105396,0.6279357
0.6854863,0.31451368,0.007693827,0.61497086
0.05358619,0.9464138,0.0031999052,0.20574224
0.99303734,0.006962657,0.0022380985,0.03928513
0.62609094,0.37390906,0.029478252,0.6315251
0.009641675,0.99035835,0.001546029,0.05280237
0.7215148,0.27848518,0.120551825,0.47096515
0.35215968,0.6478403,0.012364745,0.63640857
0.7317151,0.26828492,0.03989035,0.5416552
0.08663544,0.9133645,0.0038436055,0.29083997
0.80036837,0.19963163,0.006002933,0.49388835
0.028762579,0.9712374,0.0020687282,0.12834537
0.043201715,0.9567983,0.0027437955,0.17524536
0.24357775,0.7564223,0.008562505,0.5466064
0.048424948,0.95157504,0.002840221,0.19101101
0.0001525468,0.9998475,7.813319e-05,0.0014149705
4.4113012e-13,1.0,3.9009594e-14,1.0116446e-11
0.0018437862,0.9981562,0.00052522775,0.012925238
0.022229528,0.97777045,0.0037467405,0.10284688
0.51756483,0.48243517,0.008911371,0.6836186
0.6017061,0.3982939,0.14160287,0.53071094
0.49830997,0.50169003,0.14749289,0.5456486
0.04056013,0.9594399,0.005424142,0.16429606
0.6513536,0.3486464,0.09045917,0.5561455
0.016627777,0.9833722,0.0022623837,0.08234508
0.03377287,0.9662271,0.0036912411,0.14393058
1.2402987e-07,0.9999999,1.5772594e-07,1.9337986e-06
1.1177478e-06,0.99999887,1.2602895e-06,1.5189932e-05
0.00082982203,0.9991702,0.00051804585,0.0061984314
0.77071536,0.22928464,0.017620206,0.52079034
0.6942111,0.30578887,0.015642345,0.6000474
0.095529854,0.90447015,0.0039324164,0.31121612
0.12596324,0.8740368,0.004460007,0.3741803
0.013563904,0.98643607,0.0017303154,0.07007065
0.0057535134,0.9942465,0.00085526705,0.03455797
0.0200491,0.9799509,0.0033733696,0.09485676
0.0025290507,0.997471,0.00080598705,0.016843336
0.16942291,0.8305771,0.023105502,0.4318645
0.005573186,0.9944268,0.0013390519,0.033142257
0.17108089,0.8289191,0.007862806,0.4497332
0.006252017,0.993748,0.001373332,0.03658713
0.00046185474,0.9995381,0.00015756302,0.0038513714
1.2250525e-09,1.0,2.079366e-09,2.296293e-08
0.03453451,0.9654655,0.0033610761,0.14680625
0.043042693,0.9569573,0.0109016,0.1665947
0.9202366,0.07976341,0.05171518,0.22647597
0.009802386,0.9901976,0.0011395365,0.053951968
0.024013964,0.97598606,0.002349496,0.11092472
0.11655437,0.8834456,0.008833915,0.35116923
0.14699692,0.8530031,0.005981803,0.41148257
0.0027222254,0.9972778,0.00057863444,0.018218156
0.012329838,0.9876702,0.0014634803,0.06498868
0.5228201,0.47717988,0.016671479,0.6754338
0.2640208,0.7359792,0.023180485,0.55404013
0.03291271,0.96708727,0.0033759326,0.1413497
0.02422224,0.97577775,0.0033837482,0.1106612
0.37341705,0.626583,0.038044035,0.6227052
0.32618606,0.67381394,0.027333617,0.6041111
0.0015804013,0.9984196,0.0004613623,0.011311514
0.019830583,0.9801694,0.0029193535,0.09445968
0.0053890375,0.99461097,0.0013140403,0.032209486
0.034898113,0.9651019,0.0027634352,0.14861295
7.0934344e-05,0.9999291,4.6344067e-05,0.0007022723
0.42869732,0.57130265,0.031654477,0.6512898
0.04679118,0.9532088,0.0054870546,0.18346938
0.22922875,0.77077127,0.00493896,0.53340375
0.99558645,0.004413545,0.0018612295,0.026477557
0.007872898,0.9921271,0.0012614429,0.04471927
0.004282418,0.9957176,0.000660453,0.026965823
0.0020561353,0.9979439,0.0006621564,0.01411301
0.111192614,0.8888074,0.00374946,0.34525207
0.053138733,0.94686127,0.003109917,0.20454542
0.014674688,0.98532534,0.0027723908,0.07374518
0.66054773,0.33945227,0.12101543,0.51965606
0.0013090619,0.99869096,0.00041390024,0.009584415
0.0019717624,0.9980282,0.000546745,0.013704859
0.012493224,0.98750675,0.0023504347,0.06481686
0.0054686284,0.9945314,0.0010286383,0.032909583
0.07389769,0.9261023,0.0103238225,0.25328252
0.7845029,0.21549708,0.016958117,0.5041913
0.8073554,0.1926446,0.013037801,0.4769972
0.049799725,0.95020026,0.0063164234,0.19160873
3.1494215e-05,0.9999685,2.5971822e-05,0.00033195864
0.51013833,0.48986167,0.010819554,0.682122
0.028642477,0.9713575,0.0035057068,0.12648544
0.00091551075,0.9990845,0.00035646465,0.0069635827
8.948245e-05,0.99991053,6.0386665e-05,0.0008631835
0.104478404,0.8955216,0.0047002137,0.33011284
2.2845532e-05,0.9999772,2.1353422e-05,0.0002456194
0.8777412,0.12225878,0.010384858,0.36101657
0.9882086,0.011791408,0.011621755,0.052458238
0.0006323303,0.99936765,0.00044072792,0.0048492253
0.000244472,0.9997555,0.00010648882,0.0021711087
0.40690818,0.59309185,0.08051038,0.59520304
0.7094313,0.2905687,0.023119867,0.5795402
0.04967073,0.95032924,0.003979221,0.19356538
0.9719207,0.028079271,0.00256674,0.12543404
0.39100534,0.60899466,0.09317303,0.5760226
0.010441515,0.98955846,0.0014376864,0.05658298
0.021410279,0.9785897,0.0021993518,0.101278715
0.00060947926,0.99939054,0.00028020144,0.0048409877
0.18987022,0.81012976,0.005096704,0.48093805
1.0307968e-05,0.9999897,1.2684199e-05,0.00011598947
0.0039551468,0.9960449,0.0008575432,0.02497254
0.36302283,0.6369772,0.025711954,0.6294257
0.11738819,0.8826118,0.010871053,0.35081756
0.107273586,0.8927264,0.0039279163,0.33684894
0.078776196,0.9212238,0.0039865375,0.27178365
0.2759494,0.72405064,0.012580514,0.5765063
0.0048101814,0.99518985,0.0009671319,0.029503472
0.79974973,0.20025027,0.04755512,0.45319405
0.051406894,0.9485931,0.005253777,0.19738336
0.0003522384,0.99964774,0.00018709991,0.00296582
0.027895382,0.9721046,0.0033164322,0.12403199
0.0070237643,0.99297625,0.0012059025,0.040620152
0.9566267,0.043373287,0.004469514,0.1740508
0.2728898,0.7271102,0.0067153573,0.5793966
0.00094395137,0.99905604,0.00033592433,0.0071826214
0.3175677,0.6824323,0.14526275,0.47975966
1.5822764e-06,0.9999984,2.0710904e-06,2.0672038e-05
0.015958726,0.9840413,0.0015536472,0.08031027
0.5918224,0.4081776,0.012183666,0.6640047
0.34810027,0.6518997,0.08587617,0.56038654
0.28006685,0.71993315,0.0067552924,0.58626115
0.103035316,0.89696467,0.04921481,0.2824867
0.0006928099,0.9993072,0.00026963465,0.0054629324
0.06990645,0.9300935,0.003914386,0.24948254
0.0060431766,0.9939568,0.0011182688,0.035780165
0.022378761,0.97762126,0.002636902,0.10452086
0.69111246,0.30888754,0.017626703,0.600581
0.015308193,0.9846918,0.0023198798,0.07684911
0.025833452,0.9741666,0.0023340285,0.1176121
0.011016632,0.9889834,0.0018700697,0.05875245
0.008136296,0.9918637,0.0011208877,0.046129335
0.00032319897,0.9996768,0.00014367094,0.0027770817
0.0010971702,0.99890286,0.00032311585,0.008250662
8.404593e-06,0.9999916,6.935872e-06,9.969047e-05
