prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
1.3591552e-05,0.9999864,1.113319e-05,0.00015476425
0.9686689,0.031331122,0.0031214803,0.13621779
0.9802127,0.019787312,0.005869791,0.091340415
0.9978311,0.0021688938,0.00093613844,0.014533395
0.05882882,0.94117117,0.0049153864,0.21881737
0.96851707,0.031482935,0.0065280646,0.13333173
1.1132009e-12,1.0,7.0072247e-13,2.4919351e-11
0.99374765,0.0062523484,0.0015595593,0.03640261
0.85850465,0.14149535,0.006619334,0.40104938
0.958588,0.041411996,0.0032124817,0.16919339
0.9850245,0.014975488,0.00224559,0.07553433
0.97557914,0.024420857,0.0032591522,0.11151904
0.18180281,0.8181972,0.026274115,0.44784206
0.9987022,0.0012977719,0.0004536016,0.009469755
2.0542157e-05,0.99997944,1.9217347e-05,0.0002230581
2.5931264e-05,0.9999741,2.2511755e-05,0.00027725156
0.0021629257,0.99783707,0.0007096594,0.0147232795
5.8756348e-05,0.99994123,3.9002334e-05,0.00059217686
0.93109626,0.068903744,0.009064332,0.24172966
0.015617823,0.98438215,0.0021900684,0.078265056
0.006323466,0.99367654,0.0009857006,0.037336517
0.008781764,0.9912182,0.0016571656,0.048668288
0.98584956,0.014150441,0.0030118078,0.071290754
0.013286696,0.9867133,0.0017132312,0.068896525
0.9900448,0.009955227,0.0016849153,0.05411078
0.3167566,0.6832434,0.013261914,0.6111386
0.004747949,0.9952521,0.0011109728,0.029027393
0.8361405,0.16385949,0.014171034,0.43184367
0.7399401,0.2600599,0.0072118044,0.5659077
0.009741427,0.9902586,0.001520995,0.05328896
0.06760896,0.93239105,0.005323991,0.24208568
0.78084874,0.21915126,0.020258486,0.50557315
0.02009494,0.97990507,0.0022297278,0.096178636
0.98129755,0.018702447,0.0020673722,0.09087801
0.9947397,0.0052602887,0.0010883994,0.03176176
0.99626756,0.0037324429,0.00087197125,0.023720438
0.99507874,0.0049212575,0.0017036889,0.029357944
0.9497078,0.050292194,0.005419463,0.19395523
0.35612333,0.6438767,0.014558256,0.63659674
0.99825555,0.0017444491,0.00084554404,0.011976931
0.008918952,0.99108106,0.0023317598,0.04864097
0.3439271,0.6560729,0.016908944,0.62669706
0.53376824,0.46623176,0.011388183,0.6794767
0.036316894,0.9636831,0.0035570562,0.15249988
0.66430247,0.33569753,0.020029664,0.61811066
0.98100495,0.018995047,0.002223067,0.09187876
0.9846128,0.0153871775,0.005886659,0.073611
0.003968957,0.99603105,0.0010431372,0.024863293
0.99307275,0.006927252,0.0021171942,0.039230324
0.9867908,0.013209224,0.0019341931,0.0683416
0.03601454,0.96398544,0.0030785948,0.15198581
4.0542854e-08,0.99999994,1.4155773e-07,6.0802313e-07
0.7091234,0.29087663,0.008858502,0.5940763
0.16880824,0.8311918,0.012863785,0.4411277
0.47940087,0.5205991,0.015696645,0.67660165
3.4109995e-05,0.9999659,3.4601777e-05,0.00035034408
1.1950724e-05,0.9999881,1.3267956e-05,0.00013411089
0.21955438,0.78044564,0.014082909,0.5122605
0.9909275,0.009072483,0.0019957721,0.049698867
0.0973988,0.9026012,0.0046240687,0.3147056
0.91030157,0.089698434,0.006597072,0.2952425
0.8851809,0.11481911,0.006557256,0.34991646
0.0035401997,0.9964598,0.0010365658,0.022476751
0.78167206,0.21832794,0.007366717,0.5174168
0.34378228,0.6562177,0.023070693,0.6204418
0.9591598,0.04084021,0.0045128614,0.16609238
0.0059898417,0.99401015,0.0010542907,0.035571735
0.97941995,0.020580053,0.0029856786,0.09730239
0.2218383,0.7781617,0.006886065,0.52233875
0.005175497,0.9948245,0.00084938854,0.03155555
0.0072534294,0.9927466,0.00089054555,0.04206892
0.98704445,0.012955546,0.0017500818,0.067428984
0.31559888,0.68440115,0.010273099,0.6132343
0.02231613,0.97768384,0.003044568,0.10387658
0.9883545,0.011645496,0.0030079037,0.060425
0.059152283,0.9408477,0.005915925,0.21871269
0.039755102,0.9602449,0.0035291463,0.16363592
0.97445154,0.025548458,0.0051917955,0.113718234
0.9690893,0.03091067,0.0031486899,0.13474494
0.05403336,0.94596666,0.007521212,0.20270295
0.66141176,0.33858824,0.011334777,0.62875986
0.0011338947,0.9988661,0.00032414682,0.008499312
0.98958105,0.0104189515,0.0024000779,0.055517845
0.9469114,0.053088605,0.003898725,0.20361221
0.1332304,0.8667696,0.0058826506,0.3865991
0.9977069,0.00229311,0.00072425324,0.015503394
0.9794682,0.020531774,0.0032121837,0.09688935
0.040659238,0.95934075,0.003196746,0.16683687
0.9951809,0.004819095,0.0015805773,0.028937576
0.5067777,0.4932223,0.0133930445,0.6796622
0.9932637,0.0067362785,0.0014293268,0.038967274
0.50945944,0.49054056,0.009219766,0.6837484
0.9037551,0.09624487,0.004297316,0.31245556
0.11851757,0.8814824,0.006658107,0.3573028
0.058725454,0.9412745,0.0038297176,0.21961637
0.28268513,0.71731484,0.012382448,0.58308905
0.07580306,0.92419696,0.0046998262,0.2636975
0.0023426996,0.9976573,0.00060647354,0.015921928
9.183312e-11,1.0,1.358329e-10,1.9188775e-09
0.003944371,0.9960556,0.00092584826,0.02484469
0.1665824,0.8334176,0.017720103,0.43270546
0.8131693,0.1868307,0.006470442,0.47512424
0.9970816,0.0029184222,0.0007086415,0.019239508
0.99012786,0.0098721385,0.0020377673,0.053375397
0.13111463,0.8688854,0.011279464,0.3772206
0.97878385,0.021216154,0.0028133541,0.09992181
0.024133872,0.97586614,0.0026493296,0.11106884
0.4471173,0.5528827,0.021549702,0.66599387
5.786375e-05,0.9999421,2.8484967e-05,0.0005939902
4.52928e-05,0.9999547,3.2020733e-05,0.0004663127
0.00025412356,0.9997459,8.6175976e-05,0.0022714422
0.30928862,0.6907114,0.016114533,0.60241574
0.95897937,0.04102063,0.004854515,0.1663198
0.16383152,0.83616847,0.007164389,0.43880478
0.071081564,0.9289184,0.0037212968,0.2527064
0.035735663,0.96426433,0.003386706,0.15075985
0.020998646,0.97900134,0.0017436221,0.100157015
0.06267511,0.9373249,0.0062979907,0.22796762
0.010031733,0.98996824,0.0015538856,0.054593444
0.9405171,0.059482872,0.008607268,0.21693498
0.013850469,0.98614955,0.0018346459,0.07119164
0.7166342,0.2833658,0.01331687,0.5827873
0.009339517,0.9906605,0.0014743395,0.05146966
0.0019712893,0.9980287,0.00056860317,0.01368005
3.6466023e-08,0.99999994,7.1013915e-08,6.1304024e-07
0.015910624,0.9840894,0.0017830953,0.07988248
0.85979897,0.14020103,0.0118326545,0.3934956
0.99486953,0.00513047,0.0015144683,0.030653518
0.034214422,0.96578556,0.0028832108,0.1462165
0.018877998,0.981122,0.0025075227,0.09113223
0.49741337,0.5025866,0.014777899,0.67835593
0.7240332,0.27596682,0.009177446,0.5799262
0.012105027,0.98789495,0.0020027757,0.06346193
0.03360991,0.9663901,0.0033629388,0.14371197
0.93641686,0.063583136,0.0065128505,0.23020205
0.78167444,0.21832556,0.012737751,0.51204276
0.14764024,0.8523598,0.021963298,0.3966306
0.06851627,0.93148375,0.008085161,0.2416988
0.990518,0.009482026,0.0018771067,0.051730484
0.426066,0.57393396,0.023599625,0.6585749
0.0062238807,0.99377614,0.0012400672,0.036577724
0.051551986,0.948448,0.005270511,0.19778937
0.027240565,0.9727594,0.0023575127,0.12265769
0.090508744,0.90949124,0.006693065,0.29702026
0.0003895082,0.9996105,0.00018926803,0.0032580555
0.9630061,0.03699392,0.004093781,0.15417628
0.7654173,0.23458272,0.019306183,0.5254485
0.91203356,0.08796644,0.0051184297,0.29268906
0.9993224,0.0006775856,0.00025189016,0.005369791
0.16889675,0.83110327,0.012825191,0.44130734
0.010042738,0.9899573,0.0017062947,0.054491524
0.002249843,0.99775016,0.00042875856,0.015535602
0.5343554,0.4656446,0.007840872,0.6829438
0.4714065,0.52859354,0.011195838,0.6803153
0.0135159455,0.98648405,0.0016670004,0.069928266
0.996591,0.003409028,0.0012320857,0.021538932
0.0020405531,0.99795943,0.00071382243,0.013964935
0.009261335,0.9907387,0.0013271458,0.051251855
0.30625474,0.69374526,0.013517559,0.6025536
0.20384865,0.79615134,0.012100697,0.493591
0.55698496,0.44301504,0.026794314,0.65984416
0.97923625,0.020763755,0.002994515,0.0980023
0.989216,0.01078397,0.0016925447,0.05788116
0.48932385,0.51067615,0.04719436,0.6457249
0.00041215547,0.99958783,0.00026439852,0.0033600675
0.935306,0.06469399,0.0041790158,0.23551343
0.4283871,0.5716129,0.02818513,0.6546699
0.0021473072,0.9978527,0.00064023025,0.014696849
0.0002770674,0.99972296,0.00013672374,0.0024098083
0.548494,0.45150602,0.0150747895,0.67336166
7.763498e-05,0.9999224,4.9112656e-05,0.00076318753
0.85949653,0.14050347,0.008393347,0.39748302
0.9996521,0.0003479123,0.00024725217,0.00287122
0.0040984456,0.9959015,0.001040278,0.025579548
0.0015214114,0.9984786,0.0004118597,0.010979486
0.92714304,0.07285696,0.015033796,0.24593331
0.9605901,0.039409876,0.004266277,0.16179787
0.27362385,0.7263762,0.017886281,0.56894374
0.98976797,0.010232031,0.0016515441,0.055413503
0.9348667,0.06513327,0.009511694,0.23135258
0.016072424,0.98392755,0.0019911453,0.080341004
0.8291778,0.1708222,0.015313387,0.44187415
0.001798518,0.9982015,0.0005744519,0.012590499
0.83167166,0.16832834,0.008681923,0.44454375
8.203105e-05,0.999918,5.8218488e-05,0.00079557596
0.022046316,0.9779537,0.002454199,0.103445396
0.98760986,0.012390137,0.0019729882,0.064743355
0.18166162,0.8183384,0.010882109,0.46302164
0.48988923,0.51011074,0.009015441,0.6839273
0.22074306,0.77925694,0.01086998,0.51697683
0.72569966,0.27430034,0.010341346,0.57714796
0.038859602,0.9611404,0.0071791857,0.15712363
0.9937595,0.006240487,0.0012980141,0.03660402
0.4396275,0.5603725,0.021351993,0.6644878
0.0014675764,0.9985324,0.000487403,0.010553783
0.18101397,0.81898606,0.011400074,0.46152744
0.02070938,0.9792906,0.002496481,0.09829074
0.98158664,0.018413365,0.0018787384,0.08991952
0.89469796,0.105302036,0.0061267316,0.3304522
0.005123694,0.9948763,0.0010512955,0.031080976
0.9815256,0.0184744,0.0021527037,0.08988813
6.802246e-05,0.999932,4.0361716e-05,0.000680366
0.014893856,0.98510617,0.0016508624,0.075787075
0.8073166,0.1926834,0.011013776,0.47907683
0.9366166,0.0633834,0.011626035,0.22455128
0.9611784,0.038821578,0.0055031925,0.15867761
0.94688106,0.053118944,0.0036290586,0.20396928
0.0009976123,0.9990024,0.00033946708,0.0075512845
0.060106073,0.9398939,0.0038716495,0.22338766
0.031430084,0.96856993,0.0046381503,0.1350405
0.0641314,0.9358686,0.0054001957,0.23278683
0.96186996,0.038130045,0.0036321282,0.15832298
0.020576656,0.97942334,0.0028771237,0.09739783
0.45492423,0.5450758,0.011952758,0.6771252
0.048794053,0.95120597,0.0040930808,0.19085589
0.23547293,0.7645271,0.0150773525,0.53072786
0.0007122274,0.9992878,0.00025811838,0.0056154365
0.0066562225,0.9933438,0.0007886477,0.03920772
1.8559864e-05,0.99998146,1.4361154e-05,0.00020637622
0.0034293206,0.9965707,0.00076955743,0.022116592
0.9850981,0.014901876,0.0022158474,0.07525573
0.057585992,0.942414,0.007938415,0.21233457
4.9763516e-06,0.99999505,7.0429887e-06,5.8669386e-05
0.9224614,0.07753861,0.006613016,0.26610324
0.0040932023,0.9959068,0.0010247827,0.025566235
0.777517,0.22248298,0.010879159,0.51915354
0.9914564,0.008543611,0.0020608902,0.047135677
0.10525263,0.8947474,0.0051736236,0.3312996
0.95197916,0.04802084,0.0065030605,0.1861429
0.00031283227,0.9996872,0.000120946206,0.0027163175
0.73514575,0.26485425,0.014477789,0.56359553
0.7252097,0.2747903,0.009663701,0.57830167
0.97458315,0.025416851,0.0037430748,0.1146874
0.98051065,0.019489348,0.0024872422,0.09355779
0.9709988,0.029001176,0.0049363673,0.12631646
0.6605121,0.3394879,0.013222396,0.6274728
0.97871286,0.021287143,0.004096329,0.09891071
0.7887484,0.21125162,0.026981175,0.4886291
0.0042386274,0.9957614,0.00085095875,0.02653646
0.0016281109,0.9983719,0.00046185497,0.011617937
0.9973164,0.00268358,0.0006847903,0.017883599
0.028818175,0.9711818,0.00208354,0.1285262
0.9751075,0.024892509,0.0026129037,0.11389991
0.034180958,0.96581906,0.002789244,0.14619863
0.046070393,0.9539296,0.0036873966,0.18309061
0.9780083,0.02199173,0.0046310574,0.10106145
0.00019781504,0.9998022,0.0002479524,0.0016368575
0.76705396,0.23294604,0.009365976,0.53344566
0.98407984,0.015920162,0.0040890947,0.07761583
0.15386818,0.8461318,0.0063905716,0.42297006
0.9937241,0.0062758923,0.0016175732,0.036463883
0.28673747,0.71326256,0.012041807,0.58716273
0.7131436,0.2868564,0.010543406,0.5887695
1.4259297e-05,0.99998575,1.3654528e-05,0.00015969746
0.9984223,0.0015776753,0.00051209517,0.011243185
1.8324996e-05,0.9999817,1.4892154e-05,0.00020328142
0.98310935,0.016890645,0.004391499,0.08128634
0.9793818,0.0206182,0.005467981,0.0949674
0.97161245,0.028387547,0.0042430833,0.12484857
0.95630586,0.04369414,0.0074536353,0.17205802
0.049231697,0.9507683,0.0037546903,0.19249208
6.812128e-05,0.9999319,4.5164663e-05,0.0006765316
0.0012792563,0.99872077,0.0004588943,0.009341258
0.9980533,0.0019466877,0.0007605227,0.013334765
0.9434458,0.0565542,0.008803159,0.2085759
0.0114929415,0.98850703,0.0033142976,0.059440102
8.780842e-14,1.0,1.0839853e-15,2.0207026e-12
0.008438548,0.9915615,0.0013896562,0.047306772
0.0010635296,0.9989365,0.00029173307,0.008052323
0.009282922,0.99071705,0.0015241392,0.051155753
3.5245318e-06,0.9999965,5.1147836e-06,4.265497e-05
0.7602621,0.23973793,0.029857814,0.52091986
0.97477907,0.02522093,0.00299488,0.11472037
9.076966e-06,0.99999094,1.1100412e-05,0.00010334085
7.039681e-08,0.99999994,8.77493e-08,1.1311288e-06
0.9990684,0.0009316206,0.0003957837,0.0070367963
0.030257514,0.9697425,0.0035444647,0.13209172
0.13867247,0.8613275,0.0066022277,0.39594406
0.9532045,0.046795487,0.0044938624,0.18447554
0.99587774,0.004122257,0.0008326806,0.025917843
0.116174564,0.8838254,0.0073497593,0.35188338
0.04495118,0.9550488,0.0042656064,0.17910637
0.6902967,0.3097033,0.011692941,0.60717016
0.004152784,0.9958472,0.0009213723,0.025996538
0.5145124,0.48548758,0.012835383,0.6798905
0.99905497,0.00094503164,0.00031861197,0.0072074495
0.4678653,0.5321347,0.028515816,0.66256464
0.0052239774,0.994776,0.0012321398,0.03142755
0.97339517,0.026604831,0.0033935457,0.119340934
0.8706281,0.12937188,0.00605917,0.37913176
0.00037437465,0.9996256,0.00016264175,0.003165576
0.012093348,0.98790663,0.0016581044,0.06375518
0.0006687734,0.99933124,0.00021406915,0.005343249
0.010734575,0.98926544,0.0018829145,0.05746745
0.013866897,0.9861331,0.0021688268,0.07092754
0.027308734,0.97269124,0.002430752,0.12282811
0.0005109247,0.99948907,0.00017595058,0.0042072954
0.9751958,0.024804175,0.0028558746,0.11333277
0.9697881,0.030211926,0.0045711845,0.1309069
