prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
5.242698e-06,0.99999475,7.4354975e-06,6.155385e-05
0.40262505,0.5973749,0.11412513,0.5599366
0.85411835,0.14588165,0.06370127,0.3517971
0.896153,0.10384703,0.06695208,0.26650238
0.040682122,0.95931786,0.003466636,0.16663933
0.6013811,0.39861888,0.05507934,0.61736834
6.51963e-19,1.0,0.0,1.5012005e-17
0.8761166,0.123883426,0.03809747,0.3364942
0.76657623,0.23342377,0.0102546215,0.5331257
0.9792955,0.020704508,0.002148889,0.09861952
0.98550093,0.014499068,0.0032287166,0.07254901
0.9447143,0.055285692,0.0056818426,0.20811203
0.012780897,0.9872191,0.003902942,0.06451814
0.8646084,0.1353916,0.03947416,0.3570347
6.930286e-05,0.9999307,4.5467692e-05,0.0006875652
6.4953015e-06,0.9999935,5.2339237e-06,7.884554e-05
0.0007236275,0.9992764,0.0005277875,0.005428271
9.591197e-07,0.99999905,1.7713519e-06,1.2472983e-05
0.31816193,0.68183804,0.04680252,0.5786737
0.078363955,0.92163604,0.007182926,0.26757237
0.13223347,0.8677665,0.0072252154,0.3833853
0.0058681117,0.99413186,0.0018165819,0.034185965
0.4092715,0.5907285,0.15917456,0.5174177
0.009515325,0.99048465,0.0010979883,0.05266437
0.9461904,0.053809583,0.017854556,0.19172855
0.6249614,0.37503862,0.026386201,0.63519675
0.0030108222,0.9969892,0.0006786734,0.019807054
0.20794052,0.7920595,0.01657036,0.49464485
0.25368702,0.746313,0.0069939494,0.5593557
0.042427517,0.95757246,0.0070978403,0.16848582
0.0039416812,0.99605834,0.0007301271,0.025025481
0.33183682,0.6681632,0.020964503,0.6145073
0.018322235,0.9816778,0.004853934,0.08658175
0.564695,0.435305,0.079465926,0.6052869
0.90790826,0.09209174,0.03479308,0.27255774
0.9922905,0.007709503,0.0023234375,0.04286533
0.83233565,0.16766435,0.07254562,0.37961772
0.7551046,0.2448954,0.013087034,0.54357034
0.26915193,0.7308481,0.010987103,0.5714264
0.88048774,0.11951226,0.0712589,0.29469317
0.00171712,0.9982829,0.00057985075,0.012068851
0.31347632,0.6865237,0.037029564,0.5848244
0.05186776,0.9481322,0.0044303685,0.1995481
0.007871663,0.9921283,0.0020859912,0.043888792
0.85261077,0.14738923,0.02374214,0.39441144
0.97606546,0.023934543,0.0031102374,0.10986963
0.48005408,0.5199459,0.19496655,0.4973848
0.001038664,0.9989613,0.00030109007,0.007872476
0.9604144,0.03958559,0.007461548,0.15916333
0.9723481,0.027651906,0.005538568,0.12094416
0.043519527,0.9564805,0.002876535,0.17609589
7.451135e-08,0.99999994,1.218292e-07,1.1605791e-06
0.33171594,0.66828406,0.018536866,0.6168503
0.07212606,0.92787397,0.006580949,0.25252303
0.25227556,0.7477244,0.012948334,0.551873
2.7996318e-06,0.9999972,2.5183217e-06,3.607915e-05
1.842131e-05,0.9999816,1.5662445e-05,0.00020358426
0.06570039,0.9342996,0.0053570867,0.23701537
0.7833864,0.21661359,0.089336574,0.43325174
0.04827348,0.9517265,0.0027706176,0.19062927
0.85715485,0.14284515,0.0077679157,0.40232694
0.9254062,0.07459378,0.0074051917,0.25795755
0.00241666,0.9975833,0.000759786,0.01621523
0.91555333,0.08444667,0.006999761,0.2824978
0.06282612,0.9371739,0.013321191,0.2213527
0.6947218,0.30527818,0.015207708,0.60006267
0.00960233,0.9903977,0.0017144233,0.052451655
0.9705521,0.029447913,0.0036373287,0.12918046
0.19515209,0.8048479,0.006519735,0.4870882
0.0013284999,0.9986715,0.00039869267,0.009728543
0.0019948673,0.99800515,0.00044074282,0.013954559
0.6883991,0.31160092,0.08697528,0.53340036
0.2109789,0.78902113,0.006341994,0.50890875
0.008033105,0.9919669,0.0020329654,0.044720955
0.9303333,0.06966668,0.034740508,0.2180354
0.019047137,0.98095286,0.001933597,0.09237362
0.015827423,0.9841726,0.0022610426,0.07906113
0.5333812,0.46661878,0.10699332,0.5839236
0.9665968,0.033403218,0.00415127,0.14222872
0.057873085,0.9421269,0.0040612966,0.21701337
0.24783784,0.75216216,0.008762419,0.5511849
0.00065455097,0.9993454,0.00022105873,0.0052321856
0.9872917,0.012708306,0.002585657,0.06551966
0.8788937,0.12110633,0.006241411,0.3628821
0.10185167,0.8981483,0.0052592456,0.32387337
0.9950922,0.004907787,0.0021665469,0.028823547
0.95210654,0.047893465,0.0059000105,0.18636532
0.01726544,0.98273456,0.0025442764,0.08465251
0.8762535,0.123746514,0.058211178,0.3161126
0.8115392,0.18846083,0.010897279,0.47308612
0.981591,0.018409014,0.0028421506,0.0889388
0.14603566,0.8539643,0.0055829883,0.41018748
0.92974037,0.07025963,0.0045149326,0.24979508
0.14744726,0.8525528,0.0068762302,0.41137916
0.12361481,0.8763852,0.00816825,0.36589763
0.3822771,0.61772287,0.013353765,0.6518141
0.089049,0.910951,0.007165134,0.29316688
0.0007996182,0.9992004,0.00029629422,0.0062053604
7.370221e-14,1.0,1.8018356e-15,1.6951999e-12
0.0025624374,0.99743754,0.00057406723,0.017274652
0.038035,0.961965,0.004746929,0.15690123
0.8207752,0.17922479,0.007437438,0.46277848
0.7799018,0.2200982,0.11040807,0.4166242
0.8426604,0.15733957,0.06654486,0.36868697
0.17883281,0.8211672,0.006093949,0.4635251
0.40678218,0.59321785,0.15986907,0.5157969
0.043223903,0.9567761,0.0034895241,0.1745684
0.14015023,0.85984975,0.014635205,0.39060092
2.0568012e-07,0.9999998,2.0525044e-07,3.1403088e-06
4.153085e-06,0.9999958,4.425314e-06,5.1210514e-05
0.00026124614,0.99973875,0.00014732266,0.0022691833
0.06389939,0.9361006,0.008719161,0.22884552
0.9815244,0.018475592,0.0021607205,0.089884855
0.28768718,0.7123128,0.0084815025,0.59158635
0.2491132,0.7508868,0.0070786476,0.55428016
0.024410348,0.97558963,0.0026401058,0.11209935
0.007961292,0.9920387,0.0014523678,0.044955358
0.06160535,0.93839467,0.005420774,0.22594126
0.016983464,0.98301655,0.005018063,0.08103672
0.17860512,0.82139486,0.03808549,0.4311863
0.012168741,0.98783123,0.0023329705,0.06341203
0.27247748,0.7275225,0.011677444,0.57403
0.01397698,0.986023,0.0019549355,0.07161043
0.00057699374,0.999423,0.00019949814,0.004680342
5.263418e-09,1.0,5.6971743e-09,9.45376e-08
0.013324041,0.986676,0.0018618554,0.068908684
0.36066577,0.6393342,0.06535703,0.58844334
0.63461405,0.36538595,0.17033726,0.486117
0.035736397,0.9642636,0.0030067414,0.15114222
0.20331153,0.79668844,0.023765117,0.48119393
0.5028123,0.49718767,0.014925003,0.6782063
0.7015184,0.29848158,0.009044647,0.60052764
0.021475531,0.97852445,0.0031949133,0.10053247
0.014663693,0.9853363,0.0014778972,0.07499345
0.42439353,0.57560647,0.024232447,0.6574381
0.97915196,0.020848036,0.0046274737,0.09669395
0.09169341,0.9083066,0.005967289,0.30047104
0.047719866,0.95228016,0.0041342676,0.1876117
0.9541565,0.045843482,0.00828588,0.1778039
0.87925225,0.120747745,0.011770308,0.35664186
0.008703923,0.99129605,0.0019357726,0.048021432
0.24599859,0.7540014,0.025832474,0.53206384
0.015856542,0.98414344,0.0025422424,0.07890019
0.029377682,0.9706223,0.0038553774,0.12871686
0.00025948332,0.99974054,0.00014924537,0.0022526863
0.6483046,0.35169542,0.05660814,0.5918817
0.40016586,0.59983414,0.037119865,0.635959
0.78247505,0.21752495,0.0072077513,0.51654977
0.99309134,0.006908655,0.0032036416,0.038051516
0.33545116,0.6645489,0.02596724,0.61200476
0.0057106074,0.9942894,0.0015144497,0.03367756
0.0018455914,0.9981544,0.0004657358,0.012996073
0.25081944,0.74918056,0.0077726245,0.555461
0.23213828,0.7678617,0.006274402,0.53557277
0.13106675,0.86893326,0.016340405,0.37206912
0.8080681,0.1919319,0.0941357,0.39487645
0.006061397,0.9939386,0.001276549,0.03571479
0.0025661984,0.9974338,0.0005024299,0.017368712
0.5328884,0.4671116,0.040207446,0.65077484
0.17209849,0.8279015,0.018600553,0.44059756
0.1981622,0.8018378,0.009585619,0.48825848
0.96934056,0.030659437,0.0037052482,0.13332178
0.97781426,0.022185743,0.003383167,0.10304471
0.19037013,0.80962986,0.020206243,0.466553
4.1777537e-05,0.9999582,5.0958624e-05,0.0004120725
0.91766685,0.08233315,0.0055705905,0.27886045
0.13573503,0.86426497,0.019287437,0.3778577
0.0014842694,0.9985157,0.0004196791,0.010730292
6.581156e-05,0.9999342,4.6543195e-05,0.00065293885
0.32774314,0.6722568,0.014794111,0.6177747
1.1445294e-05,0.99998856,1.3369514e-05,0.0001282982
0.96261954,0.037380457,0.0049130917,0.15461472
0.9724178,0.027582228,0.041306593,0.084928
0.0011969586,0.998803,0.00042220484,0.008827162
0.0011918389,0.99880815,0.0004223194,0.008792591
0.7844013,0.2155987,0.064353436,0.4569272
0.947134,0.052865982,0.008125946,0.19874309
0.18941034,0.8105897,0.014479756,0.47088706
0.9838377,0.016162276,0.0025926754,0.08010889
0.67411685,0.32588315,0.06259,0.56863475
0.023105633,0.9768944,0.0030390844,0.10685212
0.05177214,0.9482279,0.0039606392,0.19973986
0.0017113133,0.9982887,0.0008483855,0.01176337
0.4250283,0.5749717,0.014439642,0.66742355
1.8559738e-05,0.99998146,1.3862707e-05,0.00020687342
0.0111413095,0.9888587,0.00182442,0.05935812
0.86753905,0.13246095,0.017911851,0.3731264
0.79683214,0.20316786,0.020773053,0.48398972
0.123298846,0.8767012,0.0074596703,0.3659869
0.35136482,0.64863515,0.019947529,0.6283399
0.9710099,0.02899009,0.006334804,0.1248791
0.009953115,0.99004686,0.0022152476,0.05357076
0.98771423,0.012285769,0.005101688,0.061157256
0.92796594,0.07203406,0.012430161,0.24643877
0.00026367579,0.9997363,0.0001130898,0.0023234633
0.37378424,0.62621576,0.030879676,0.63005936
0.017755788,0.9822442,0.0021611825,0.087010406
0.9873012,0.012698829,0.0025066584,0.065557405
0.76518816,0.23481184,0.0070948005,0.53793067
0.0021441889,0.9978558,0.0008084988,0.014509445
0.51770854,0.48229146,0.10765082,0.584869
3.5762696e-06,0.9999964,3.1330055e-06,4.5293844e-05
0.022528417,0.9774716,0.002090618,0.10563189
0.71458024,0.28541976,0.019253433,0.5787461
0.82506484,0.17493516,0.029637873,0.43398803
0.89835775,0.10164225,0.0073147416,0.32136172
0.25875464,0.7412454,0.07556012,0.49619016
0.0010813643,0.99891865,0.00026488397,0.008201091
0.107259125,0.89274085,0.004542947,0.3362033
0.15432602,0.845674,0.016923487,0.41321668
0.30845565,0.69154435,0.022491634,0.5953678
0.9140353,0.08596468,0.010128289,0.28297248
0.26544872,0.7345513,0.030573845,0.5481055
0.9146813,0.085318685,0.01332745,0.27824357
0.23414625,0.76585376,0.023720682,0.5205173
0.38459966,0.6154003,0.024834871,0.6414362
0.0005815592,0.99941844,0.00020292448,0.004710967
0.0038939328,0.9961061,0.0007773787,0.024713788
0.000116107774,0.9998839,0.00010348682,0.0010646678
0.0015305013,0.9984695,0.0007383106,0.010712001
0.81985414,0.18014586,0.016896784,0.45471781
0.84270996,0.15729004,0.02478522,0.4103635
3.7422935e-06,0.99999624,5.6197787e-06,4.4898203e-05
0.90172815,0.09827185,0.011959791,0.30930936
0.0037718853,0.9962281,0.00096176006,0.023850817
0.8251249,0.17487508,0.014772505,0.44876018
0.81400406,0.18599594,0.08439425,0.39597037
0.13535193,0.8646481,0.0073684156,0.38906685
0.9063726,0.09362739,0.010355413,0.3004955
9.888676e-06,0.9999901,9.7223965e-06,0.00011413012
0.77482104,0.22517896,0.015606463,0.5177786
0.7978908,0.20210922,0.015830934,0.48748165
0.55996895,0.44003105,0.09862417,0.5873131
0.86053216,0.13946784,0.019557387,0.38443887
0.36131328,0.6386867,0.15517336,0.49899673
0.8426209,0.15737909,0.013754338,0.4215438
0.6266954,0.3733046,0.10583639,0.5548547
0.7045635,0.2954365,0.02689004,0.58005786
0.004237919,0.9957621,0.0008509904,0.026532555
3.174978e-05,0.99996823,2.7992792e-05,0.0003326282
0.9886763,0.01132369,0.0041084588,0.057890728
0.026653808,0.9733462,0.0023932755,0.120517485
0.9607098,0.03929019,0.004204452,0.1614773
