prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
1.5276479e-05,0.99998474,3.05227e-05,0.00018465256
0.9333011,0.066698946,0.0033403542,0.24501517
0.49122193,0.5087781,0.00070165296,0.69299304
0.99994797,5.204086e-05,4.492497e-05,0.0005653276
0.44813147,0.55186856,0.008100365,0.6877568
0.99800813,0.001991855,0.00021246738,0.014376599
1.4337639e-13,1.0,2.8675277e-13,2.6410885e-12
0.9999474,5.2578125e-05,4.1801384e-05,0.00057062326
0.94509965,0.054900363,0.0043924293,0.21269871
0.099247016,0.90075296,0.022699185,0.32342535
0.9823991,0.017600859,0.002923089,0.08854915
0.9940996,0.0059003844,0.0005188436,0.036168057
1.9095276e-06,0.9999981,3.7762154e-06,2.7043281e-05
0.0054681622,0.9945318,0.0021042717,0.033935837
7.876769e-06,0.99999213,1.5741593e-05,0.000100422374
3.510394e-05,0.9999649,7.009844e-05,0.00039516456
0.0016812583,0.99831873,0.00328696,0.012420081
8.7221314e-11,1.0,1.7444221e-10,1.6059185e-09
0.9998954,0.00010463749,4.7281766e-05,0.0010635941
0.00012229513,0.9998777,0.00023856793,0.0012240569
0.008418684,0.9915813,0.005263801,0.048601724
0.00027233292,0.99972767,0.0005326689,0.0025077274
0.97898835,0.021011692,0.00069234025,0.101950705
0.00014250797,0.9998575,0.00026469646,0.0014045612
0.9837637,0.01623632,0.00062372646,0.08300559
0.0014000549,0.9985999,0.0016635852,0.010599225
0.00017203437,0.999828,0.0003313114,0.0016631566
5.054408e-05,0.99994946,8.134563e-05,0.00055054907
0.008850352,0.99114966,0.002277558,0.050649296
1.9985137e-06,0.99999803,3.955153e-06,2.8183684e-05
1.0957363e-05,0.99998903,2.1820373e-05,0.00013610671
0.72701824,0.27298182,0.0067392946,0.5862021
0.000102643564,0.9998973,0.00014412668,0.0010453875
0.9956706,0.0043294,0.0009527014,0.027881997
0.9996711,0.00032891275,0.0001278103,0.002966622
0.9992007,0.0007993037,0.00031070967,0.006499419
0.9999137,8.633198e-05,5.980702e-05,0.000894129
0.98257065,0.017429294,0.004842805,0.08785828
0.26058307,0.7394169,0.014296537,0.573666
0.99999064,9.325701e-06,1.1304221e-05,0.00011736503
0.00048496263,0.999515,0.0009552775,0.004185838
0.0013048459,0.99869514,0.00096990686,0.0099703595
8.9405774e-05,0.9999106,0.0001508154,0.0009228626
0.005196366,0.9948036,0.0023799005,0.032514684
0.91531897,0.084680974,0.003219229,0.2900557
0.99981034,0.00018970133,0.00011312212,0.0018153857
0.94680583,0.053194143,0.0007402887,0.20781492
0.00034329266,0.99965674,0.0006737455,0.0030816149
0.99946415,0.00053583673,0.00017122854,0.004571444
0.9999965,3.5175747e-06,2.388371e-06,4.7679467e-05
0.000105709514,0.9998943,0.0001823703,0.0010734146
2.2060267e-06,0.9999978,4.4111957e-06,3.0927382e-05
6.282602e-05,0.9999372,0.00011185922,0.0006706619
0.0007738036,0.9992262,0.00030501396,0.006317156
0.49793085,0.5020692,0.03230213,0.6931386
3.3411914e-07,0.99999964,6.6806086e-07,5.3300814e-06
5.24069e-07,0.99999946,1.0480042e-06,8.105434e-06
0.010857491,0.9891425,0.006974828,0.0599057
0.9994943,0.00050564704,0.00026050012,0.004343243
0.00040980807,0.99959016,0.00054776133,0.0036061772
0.8380497,0.16195029,0.0028752794,0.4428898
0.99741375,0.0025862453,0.00026770224,0.01799057
4.4608234e-05,0.99995536,8.497296e-05,0.00049149996
0.8164492,0.18355079,0.0071370434,0.47673517
0.0011946846,0.9988053,0.00036860423,0.009234067
0.5471916,0.45280835,0.0044042803,0.6886865
1.0940007e-05,0.9999891,2.1825183e-05,0.00013586623
0.9938578,0.006142196,0.0003248572,0.03740287
0.004748687,0.9952513,0.0007758591,0.030142339
4.388745e-05,0.99995613,8.52494e-05,0.00048421955
0.00074172305,0.9992583,0.0013608699,0.0060866876
0.3756944,0.6243056,0.009088437,0.661917
7.030656e-05,0.9999297,0.0001293162,0.00074257806
0.9844353,0.015564709,0.0013035014,0.080234885
0.9998023,0.00019769793,6.509333e-05,0.0018837993
0.033727255,0.9662727,0.009787612,0.14746882
0.081867,0.91813296,0.015730914,0.28330576
0.03872382,0.9612762,0.0015436157,0.16386695
0.99052227,0.009477693,0.0010836127,0.05358748
0.13965194,0.86034805,0.006342859,0.40433115
0.7293567,0.27064332,0.00621561,0.5838976
4.6583457e-07,0.9999995,9.3136435e-07,7.2585476e-06
0.9958062,0.00419378,0.0008210401,0.027142359
0.8123392,0.18766077,0.007776697,0.48281324
0.0009642121,0.99903584,0.000482136,0.007659371
0.0058136294,0.99418634,0.0005346008,0.035722665
0.9952748,0.00472521,0.0007025692,0.030016785
0.0020453702,0.99795467,0.0023172596,0.014708523
0.99871254,0.0012875309,0.00041527246,0.009855176
0.0063198195,0.9936802,0.0039082454,0.038303774
0.9923199,0.0076801195,0.0009110777,0.045045964
0.0025938791,0.9974061,0.0014371447,0.018036013
0.41949743,0.58050257,0.0031484389,0.6801293
0.0074775666,0.9925224,0.001931558,0.04405857
0.0129805645,0.9870194,0.009677453,0.06928745
0.08110707,0.918893,0.007669444,0.28146487
0.28663486,0.71336514,0.004764171,0.5991111
8.5510605e-05,0.99991447,0.00017043119,0.00088648574
3.0571157e-11,1.0,6.1142306e-11,5.630482e-10
0.00017554396,0.99982446,0.00032562614,0.0016935479
0.22722088,0.7727791,0.011076178,0.5358964
0.9552768,0.04472324,0.0025918486,0.18267468
0.99995553,4.4465312e-05,2.911233e-05,0.00049003214
0.9996464,0.0003535325,0.00014103681,0.0031632143
0.7613719,0.23862809,0.01568484,0.5494933
0.9954366,0.00456334,0.0003802813,0.029147988
0.00078053353,0.9992195,0.00082029216,0.0063653416
0.010633352,0.98936665,0.004484836,0.058892
2.6895685e-07,0.9999997,5.3781815e-07,4.3571763e-06
4.9677874e-05,0.9999503,9.922295e-05,0.00054200436
2.9824516e-05,0.9999702,5.9546273e-05,0.00034056872
0.0072049224,0.9927951,0.0056905556,0.04272068
0.8352773,0.16472268,0.0070623583,0.44741884
0.0916832,0.90831685,0.012304001,0.30641487
0.030260358,0.9697396,0.007307898,0.13564606
0.045035463,0.9549646,0.007370939,0.18362941
0.0004357345,0.99956423,0.000769316,0.003807586
0.15386255,0.84613746,0.017495204,0.4293509
1.6875332e-05,0.99998313,3.1153748e-05,0.00020231209
0.9885061,0.011493911,0.0017632806,0.0627587
0.03714933,0.9628507,0.019767888,0.15877622
0.0018083594,0.9981916,0.0008798135,0.0132271545
7.385925e-06,0.9999926,1.4574446e-05,9.4652554e-05
1.7792516e-07,0.9999998,3.557634e-07,2.9343803e-06
3.3485333e-07,0.99999964,6.696734e-07,5.3402946e-06
2.8026388e-06,0.9999972,5.5610417e-06,3.8623028e-05
0.004839786,0.9951602,0.0023810188,0.03062838
0.99950355,0.0004964289,5.0017312e-05,0.00427318
0.0020367417,0.99796325,0.0020887817,0.014655139
0.5254913,0.47450873,0.031112518,0.69184697
0.060753103,0.9392469,0.010653609,0.22903469
0.00016180937,0.99983823,0.0002395362,0.0015741928
0.00017899244,0.999821,0.00032909756,0.0017233433
7.56144e-05,0.99992436,0.00014824302,0.0007931958
0.7711643,0.22883567,0.005913603,0.53786564
0.65141016,0.3485898,0.006394484,0.64656925
0.0033983889,0.9966016,0.001051056,0.022710612
0.0001555529,0.9998445,0.00018180489,0.0015194558
0.0025099616,0.99749005,0.0011790679,0.017535154
0.0022892158,0.9977108,0.001358088,0.016203936
0.0002020674,0.9997979,0.00036692098,0.0019210579
0.00050248805,0.99949753,0.00058946555,0.0043191994
0.00011803388,0.999882,0.00022551115,0.0011855622
0.00033929816,0.9996607,0.0005506501,0.0030497897
