prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
7.33791e-06,0.99999267,1.4651569e-05,9.407347e-05
0.105164126,0.8948358,0.003242937,0.3362838
0.96637946,0.03362049,0.000718465,0.14711045
0.99973065,0.00026937335,5.039153e-05,0.0024833975
0.0005568685,0.9994431,0.00058071234,0.004729438
0.99947155,0.0005284648,6.9978254e-05,0.004515854
1.4975261e-10,1.0,2.995048e-10,2.7563192e-09
0.95802796,0.041972075,0.0016569052,0.17416161
0.93407416,0.06592589,0.004688025,0.24297059
0.34646505,0.653535,0.015232758,0.6452309
0.6459091,0.35409093,0.0011163851,0.6499424
0.98397964,0.016020345,0.0011311154,0.082117766
4.392731e-07,0.9999996,8.7514707e-07,6.8374875e-06
0.0010777381,0.9989223,0.00078624254,0.008441187
4.700869e-06,0.9999953,9.390163e-06,6.2367915e-05
1.5615892e-07,0.9999998,3.12217e-07,2.6165048e-06
5.011883e-06,0.99999493,9.924757e-06,6.62199e-05
1.3402364e-07,0.9999999,2.6802138e-07,2.2305223e-06
0.9999598,4.018571e-05,1.2091769e-05,0.00044692244
0.00013262029,0.9998674,0.00021939194,0.0013166382
0.00016329189,0.9998367,0.00027347272,0.0015871939
9.672238e-06,0.99999034,1.9309757e-05,0.00012132399
0.23089483,0.7691052,0.0034297353,0.54035527
0.00010318619,0.99989676,0.00010622021,0.0010503634
0.9215397,0.07846028,0.004052285,0.27499264
0.045926653,0.95407337,0.013250752,0.18634215
0.0005673267,0.9994327,0.0009982479,0.004807672
0.00057568,0.99942434,0.0008308136,0.0048700348
0.0023081205,0.9976919,0.0022306272,0.016318737
5.865166e-05,0.99994135,0.000101254715,0.00063013483
4.6681605e-05,0.99995327,9.2701914e-05,0.0005122354
0.66175234,0.3382476,0.010994701,0.6398663
4.3844327e-07,0.9999996,8.763405e-07,6.82617e-06
0.9956563,0.004343698,0.00014158795,0.02795973
0.9977514,0.002248534,0.00018183203,0.015956428
0.99968934,0.0003106914,3.9062095e-05,0.0028199656
0.9997549,0.00024507308,3.340772e-05,0.0022825806
0.0015170962,0.99848294,0.0013597097,0.011363302
0.06894849,0.93105143,0.007793384,0.25091055
0.99942917,0.0005708426,3.7259382e-05,0.00483394
0.0007895885,0.9992105,0.0014821304,0.0064300206
4.4810007e-05,0.9999552,7.764919e-05,0.0004934978
0.0022145654,0.99778545,0.0025238986,0.01574906
4.821684e-06,0.9999952,9.536706e-06,6.384689e-05
0.16464245,0.8353576,0.009539299,0.4472885
0.99287957,0.0071204603,0.000591685,0.04230414
0.021517579,0.9784825,0.0015313589,0.10388783
1.1020633e-05,0.999989,2.1924605e-05,0.0001368255
0.99958575,0.00041426023,8.1760656e-05,0.0036408359
0.9999683,3.172964e-05,1.4350332e-05,0.00036036302
0.0003083574,0.99969167,0.0002805928,0.002801116
1.2209901e-10,1.0,2.4419797e-10,2.2476652e-09
5.5213695e-05,0.9999448,0.00010826154,0.000596514
0.006536656,0.99346334,0.0026893506,0.039396778
0.60973895,0.39026108,0.013330263,0.6688647
1.0965504e-07,0.9999999,2.1912811e-07,1.866963e-06
1.2679935e-06,0.99999875,2.534398e-06,1.8458648e-05
0.00011813702,0.9998819,0.00022970287,0.0011864515
0.9993882,0.0006118049,0.00012169422,0.005138389
4.611944e-05,0.9999539,8.428379e-05,0.00050653255
0.9695379,0.03046211,0.0012386199,0.13634482
0.99949175,0.0005082686,8.443159e-05,0.004363073
0.0047755428,0.9952245,0.0030335202,0.030285776
0.26790377,0.73209625,0.0044463305,0.5811627
0.12874128,0.87125874,0.0033113193,0.3839869
0.17933305,0.820667,0.005374711,0.47038057
9.0276494e-08,0.9999999,1.8052926e-07,1.5740453e-06
0.9839407,0.01605934,0.0016586957,0.08227822
0.019594677,0.98040533,0.0026254065,0.09645744
4.548616e-06,0.99999547,9.063565e-06,6.0471055e-05
9.448862e-05,0.9999055,0.00018763845,0.0009700879
0.029533839,0.97046614,0.0046946895,0.133118
1.1286889e-05,0.99998873,2.1685835e-05,0.000139834
0.9857315,0.014268477,0.0005888804,0.07480301
0.91543293,0.0845671,0.0020677275,0.28978446
0.51049775,0.48950222,0.013753383,0.69292676
0.15147576,0.8485243,0.013161585,0.42526037
0.0010141877,0.9989858,0.000797629,0.008005121
0.95910317,0.040896807,0.001446985,0.17078388
0.00047112876,0.9995288,0.00014777093,0.0040800786
0.98542386,0.014576114,0.0014545843,0.0761026
5.164062e-07,0.99999946,1.0321087e-06,8.0022255e-06
0.0069994396,0.99300057,0.0013110082,0.041705564
0.9968403,0.0031596832,0.00043074763,0.021345885
0.07476625,0.9252337,0.0030960254,0.26579684
0.722732,0.27726796,0.0034846002,0.5903545
0.9960998,0.0039002164,0.00074048113,0.025525965
0.00012962142,0.99987036,0.00016699352,0.001289849
0.9749497,0.02505031,0.00047132917,0.117091075
0.09925992,0.9007401,0.004042053,0.32345378
0.9993112,0.0006888152,0.00010557145,0.0057034884
0.0002769143,0.99972314,0.00040562628,0.0025452424
0.9964452,0.003554755,0.00040036393,0.023595415
0.010885502,0.98911446,0.0038276408,0.06003205
0.0072118854,0.99278814,0.0038987524,0.04275498
0.048948813,0.9510512,0.0097609265,0.19540837
0.02634463,0.9736554,0.005298758,0.12179648
2.741821e-06,0.99999726,5.4803427e-06,3.784602e-05
3.5514456e-12,1.0,7.1028903e-12,6.541879e-11
1.11500256e-07,0.9999999,2.2284394e-07,1.8946669e-06
0.0009905299,0.9990095,0.0005607253,0.007841772
0.8740058,0.12599418,0.0020400642,0.37870023
0.99807894,0.0019210767,0.0001304651,0.013935285
0.9012995,0.09870057,0.0028236199,0.32221836
0.0010276164,0.9989724,0.0005450043,0.008097574
0.17761032,0.82238966,0.015444769,0.4677505
0.0004816406,0.9995184,0.00075697934,0.0041604005
0.009331505,0.9906685,0.006305165,0.052906644
1.253649e-06,0.99999875,2.5061138e-06,1.8278139e-05
1.47723e-06,0.9999985,2.952911e-06,2.1312466e-05
2.9172043e-07,0.9999997,5.818335e-07,4.677845e-06
0.0033313953,0.9966686,0.002685178,0.02232935
0.9804273,0.019572644,0.0017590215,0.09637125
0.075542785,0.92445725,0.012907137,0.26774594
0.0022602736,0.99773973,0.0012441559,0.016027898
0.010838988,0.989161,0.0069884174,0.05982217
7.09543e-05,0.9999291,0.0001331752,0.0007487771
0.757895,0.24210502,0.0053597423,0.5534942
3.892511e-07,0.99999964,7.687544e-07,6.0927273e-06
0.9856919,0.014308105,0.0005216836,0.07497074
0.0079521295,0.9920479,0.0056837643,0.046363484
0.011948255,0.9880517,0.0029949814,0.06477357
3.508763e-05,0.9999649,6.513174e-05,0.00039501354
1.0766555e-06,0.9999989,2.1501348e-06,1.5857953e-05
1.6967884e-09,1.0,3.39357e-09,3.0990062e-08
1.0464555e-07,0.9999999,2.0925468e-07,1.7915938e-06
0.0011304403,0.9988696,0.00019321569,0.008799957
0.14679375,0.8532062,0.0020851623,0.417107
0.0013221548,0.99867785,0.001068949,0.010085158
0.0022624386,0.9977375,0.0018629235,0.01604112
0.705166,0.29483405,0.014330412,0.6064235
0.005943408,0.9940566,0.000712988,0.036388487
2.2176642e-05,0.99997777,4.136351e-05,0.00025987765
1.0232898e-05,0.9999898,2.0099182e-05,0.00012775735
0.00074491045,0.99925506,0.0005525978,0.00610968
0.007554161,0.9924458,0.00049848494,0.044432595
0.760274,0.23972602,0.004519436,0.5507639
0.0016359166,0.9983641,0.0006231819,0.012129869
0.0103270225,0.98967296,0.0014351739,0.057498906
0.009479908,0.99052006,0.0009488058,0.05359777
4.4480308e-07,0.9999996,8.8419637e-07,6.9128705e-06
1.0612278e-05,0.9999894,1.860508e-05,0.00013214728
0.00036052256,0.9996395,0.0006163116,0.003218621
2.5764406e-05,0.99997425,4.5943518e-05,0.00029797893
5.2724937e-07,0.99999946,1.054187e-06,8.148238e-06
0.9426506,0.057349417,0.0024526147,0.21961115
0.89350337,0.10649668,0.0026315455,0.33912748
0.8763372,0.12366287,0.0068065217,0.37416
0.99999994,7.221976e-08,1.6376502e-08,1.2377884e-06
1.0569559e-05,0.99998945,1.3103886e-05,0.00013164103
0.010163081,0.98983693,0.0072951666,0.056749552
0.0012398905,0.99876016,0.0018423625,0.009537312
0.0023587348,0.99764127,0.0016492514,0.016625414
0.56522506,0.43477497,0.011484446,0.6846143
1.1598195e-06,0.99999887,2.2739703e-06,1.6974069e-05
0.9998495,0.00015050246,2.7853817e-05,0.0014751325
4.84855e-06,0.9999952,9.664188e-06,6.414886e-05
3.1794953e-05,0.9999682,6.2876614e-05,0.00036109338
0.0004700403,0.99952996,0.00014671688,0.0040716957
1.1793365e-05,0.99998826,1.3324753e-05,0.00014556284
0.032945223,0.9670548,0.001243545,0.1448355
0.8814953,0.11850465,0.0051020854,0.36393502
0.999412,0.0005880122,0.00016854586,0.0049619004
0.13950913,0.8604908,0.0031314834,0.40407145
9.7932905e-05,0.999902,0.00019443118,0.0010020162
0.7121608,0.28783908,0.0066877645,0.60020554
0.00017076018,0.9998292,0.00019977315,0.0016521896
1.8006298e-05,0.999982,3.556189e-05,0.00021470545
1.3063267e-06,0.9999987,2.610896e-06,1.8999835e-05
0.0111762015,0.98882383,0.008032714,0.06133897
6.6992297e-06,0.9999933,1.3389071e-05,8.64771e-05
