prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
9.0035435e-10,1.0,1.8006965e-09,1.650752e-08
0.9948701,0.0051298547,0.0015306401,0.032164752
0.42157668,0.5784234,0.028821213,0.6807958
0.99999523,4.7482563e-06,3.259306e-06,6.2961226e-05
0.030150428,0.9698496,0.0073790485,0.13526466
0.9933382,0.0066617625,0.0007320925,0.040024087
5.95612e-24,1.0,1.191224e-23,1.0971578e-22
0.9999981,1.8722267e-06,1.6730494e-06,2.6589014e-05
0.018032981,0.9819671,0.0071905283,0.09028171
0.8824877,0.11751225,0.008906194,0.36193886
0.8326037,0.16739629,0.005944969,0.4517336
0.99913675,0.0008632608,0.00022165656,0.006952998
2.008991e-05,0.99998,3.8888767e-05,0.00023729523
0.010637509,0.98936254,0.0036906993,0.0589108
2.9631875e-09,1.0,5.9261334e-09,5.3814897e-08
8.361408e-08,0.99999994,1.6721818e-07,1.4128221e-06
1.7176588e-07,0.9999998,3.4338467e-07,2.8447141e-06
9.120325e-13,1.0,1.8240617e-12,1.6800176e-11
0.9998665,0.00013348232,4.9793798e-05,0.0013243635
0.010092077,0.9899079,0.009716695,0.056424204
0.00035891234,0.99964106,0.00027460098,0.0032059124
7.727129e-07,0.9999992,1.5438955e-06,1.163959e-05
0.98504573,0.01495427,0.00033856998,0.07769106
8.5622705e-06,0.9999914,1.7001359e-05,0.00010847885
0.9974609,0.0025391176,0.00017421192,0.017709471
0.07011121,0.9298888,0.028116263,0.25392652
0.00014257577,0.9998574,0.00025710417,0.0014051534
7.456225e-05,0.99992543,0.00013503461,0.00078318303
0.00045858603,0.99954146,0.00079351827,0.0039837407
5.0543687e-05,0.9999495,9.439283e-05,0.00055048603
2.1148393e-05,0.99997884,4.0258536e-05,0.00024878958
0.6422082,0.3577918,0.016700214,0.65213704
3.046675e-08,0.99999994,6.089659e-08,5.782336e-07
0.9570904,0.0429096,0.0020940716,0.17708325
0.99999416,5.882725e-06,2.9699056e-06,7.667979e-05
