prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
0.21635816,0.7836418,0.2319708,0.52225983
0.32354352,0.67645645,0.3549354,0.6295117
0.4865321,0.51346797,0.4944324,0.69278437
0.6848553,0.3151448,0.4681844,0.62315536
0.3334734,0.66652656,0.37030438,0.6366112
0.57989615,0.42010388,0.5375011,0.6803255
0.32309693,0.67690307,0.31063432,0.62918186
0.60678357,0.39321646,0.40568262,0.6701651
0.5261629,0.4738371,0.47635463,0.6917776
0.40702993,0.5929701,0.35699266,0.6757593
0.50190127,0.49809864,0.48423332,0.69314003
0.52222663,0.47777337,0.453426,0.6921588
0.20760827,0.7923917,0.2451547,0.5107705
0.29709464,0.7029054,0.30214775,0.6083824
0.394061,0.60593903,0.51352495,0.67052996
0.42608583,0.57391423,0.44549677,0.6821804
0.1615215,0.8384785,0.17727768,0.44218427
0.42495072,0.5750492,0.49625593,0.68183976
0.43648148,0.5635185,0.5129522,0.6850561
0.6077059,0.39229414,0.42975298,0.6697632
0.4100356,0.58996433,0.4398224,0.67687154
0.3119777,0.6880223,0.28692946,0.6206739
0.38644418,0.6135558,0.41340604,0.66713095
0.5306178,0.46938226,0.47057927,0.6912711
0.34622636,0.6537736,0.39456818,0.64507926
0.48479322,0.51520675,0.38064304,0.69268465
0.37198395,0.62801605,0.3467006,0.6600031
0.2720992,0.72790074,0.31124228,0.5853356
0.3621411,0.63785887,0.35393974,0.6546402
0.43093306,0.5690669,0.49197438,0.68357617
0.32871085,0.67128915,0.35690647,0.6332619
0.2866768,0.71332324,0.3390182,0.5991492
0.52598286,0.47401717,0.4679166,0.6917963
0.42363426,0.5763657,0.40614396,0.68143797
0.612105,0.38789493,0.48988566,0.6677972
0.641642,0.3583581,0.5017346,0.6524676
0.6870192,0.3129807,0.491098,0.62146485
0.5031759,0.49682403,0.46742994,0.69312704
0.43490177,0.5650982,0.42529172,0.6846475
0.6786769,0.3213231,0.46639535,0.62786275
0.23372322,0.76627684,0.26781482,0.5437361
0.45319095,0.5468091,0.48963997,0.6887586
0.29401687,0.7059831,0.34386432,0.60570925
0.41766557,0.5823344,0.4534217,0.67952734
0.34352973,0.6564703,0.35335207,0.64334905
0.4960945,0.50390553,0.5601208,0.69311666
0.62809,0.37191,0.46323994,0.65996444
0.37633786,0.6236622,0.44635066,0.6622428
0.67206615,0.32793382,0.47993615,0.63270575
0.44922853,0.5507715,0.43864018,0.6879828
0.40671554,0.5932844,0.4881876,0.6756408
0.33524764,0.6647524,0.38074586,0.63783276
0.4059082,0.5940918,0.43440625,0.67533463
0.26174727,0.73825276,0.2917141,0.5748766
0.48894104,0.511059,0.45476738,0.69290257
0.2539208,0.7460792,0.27355084,0.56660175
0.38394564,0.6160544,0.45110723,0.6659627
0.25313315,0.7468668,0.34945723,0.5657512
0.48510492,0.514895,0.44764224,0.6927034
0.5073425,0.49265742,0.50841284,0.69303936
0.33615893,0.663841,0.34820518,0.6384548
0.39436314,0.60563684,0.47466487,0.6706598
0.39735135,0.6026486,0.41581067,0.67192316
0.55243176,0.44756827,0.5030611,0.6876389
0.61611986,0.38388014,0.58438134,0.6659317
0.6167309,0.3832691,0.56503785,0.66564184
0.36824253,0.6317575,0.4205951,0.6580137
0.6046075,0.39539245,0.5676669,0.6710992
0.572658,0.42734203,0.46020022,0.6825514
0.3985884,0.60141164,0.49673334,0.67243516
0.50138766,0.49861234,0.43055174,0.6931433
0.5029285,0.4970715,0.44686514,0.69313
0.42065507,0.579345,0.37205923,0.68050253
0.41231677,0.58768326,0.3661105,0.6776907
0.39270195,0.607298,0.42789283,0.6699414
0.46989444,0.53010553,0.46137655,0.6913334
0.50421166,0.49578837,0.5042756,0.6931117
0.42373693,0.57626307,0.37973133,0.68146956
0.6045173,0.39548275,0.54243904,0.6711375
0.5367031,0.46329692,0.5225001,0.69045055
0.54786366,0.45213634,0.51435065,0.6885583
0.36278144,0.6372186,0.45336097,0.65500176
0.31802177,0.6819782,0.36477408,0.6253693
0.5101735,0.48982647,0.5476135,0.6929402
0.55670214,0.4432979,0.59703743,0.6867031
0.20731628,0.79268366,0.2375418,0.5103792
0.4516454,0.54835457,0.46718773,0.68846357
0.40897396,0.591026,0.4118249,0.6764829
0.5549823,0.4450177,0.42098856,0.68708885
0.48930374,0.51069623,0.51255536,0.69291836
0.59845597,0.40154403,0.54215014,0.67363274
0.6085572,0.39144278,0.5176197,0.6693891
0.5763388,0.42366117,0.5547102,0.6814462
0.39005333,0.60994667,0.39845833,0.668772
0.5465869,0.45341316,0.52743375,0.6888002
0.36417615,0.63582385,0.34539443,0.6557832
0.4801941,0.5198059,0.47727004,0.6923624
0.35443237,0.6455676,0.36640978,0.6501473
0.3024203,0.69757974,0.33451954,0.6129011
0.43722746,0.5627726,0.43459705,0.6852456
0.5641531,0.4358469,0.53492695,0.68489325
0.36202133,0.6379786,0.35335153,0.65457237
0.58343863,0.4165614,0.43900368,0.6791578
0.5151281,0.48487198,0.48613265,0.6926894
0.36674526,0.63325477,0.394557,0.6572007
0.5592366,0.44076338,0.64644814,0.68611276
0.54108346,0.45891657,0.5806206,0.68976766
0.49882606,0.5011739,0.538508,0.69314444
0.22283626,0.7771637,0.29006043,0.53047436
0.34493622,0.65506375,0.3830395,0.6442555
0.27409068,0.72590935,0.34000942,0.58728516
0.3825925,0.61740756,0.40088913,0.66531897
0.5889468,0.41105324,0.54863465,0.6772396
0.53722477,0.46277523,0.5005544,0.6903733
0.4168083,0.58319175,0.43208602,0.6792408
0.47754234,0.5224577,0.47432703,0.6921381
0.27514583,0.7248542,0.32011977,0.5883101
0.39244187,0.60755813,0.47934404,0.6698278
0.21545216,0.78454787,0.25231096,0.5210913
0.35313028,0.6468697,0.35163173,0.6493629
0.39071995,0.60928005,0.47398904,0.66906905
0.48548776,0.51451224,0.5732424,0.6927259
0.45286497,0.54713506,0.43738258,0.6886971
0.40534672,0.59465337,0.45747852,0.67512006
0.32523403,0.67476594,0.37828052,0.63075197
0.3522194,0.6477806,0.3767379,0.64880973
0.3059207,0.6940793,0.30955955,0.61579776
0.6286239,0.3713761,0.54500747,0.659684
0.39961323,0.60038686,0.47971317,0.6728545
0.48156393,0.51843613,0.5477449,0.6924672
0.46510664,0.53489345,0.4555444,0.69071007
0.2616957,0.7383043,0.29191607,0.5748231
0.40583435,0.5941656,0.46164587,0.6753065
0.38873002,0.61127,0.4429719,0.66817665
0.3176326,0.68236744,0.39272642,0.62507206
0.116595484,0.8834045,0.14350204,0.36008644
0.44745928,0.5525408,0.41287178,0.6876159
0.42555514,0.57444483,0.474534,0.6820218
0.5382323,0.46176764,0.4308415,0.69022095
0.5735785,0.42642158,0.53478384,0.6822802
0.23107095,0.76892906,0.25079703,0.54056716
0.30227166,0.6977284,0.37584668,0.61277676
0.38534728,0.6146528,0.4523133,0.6666212
0.3751511,0.6248489,0.45295593,0.6616404
0.2150835,0.7849165,0.27496243,0.52061445
0.50684214,0.49315783,0.40582222,0.69305354
0.73011976,0.26988026,0.46502474,0.5831397
0.43161258,0.56838745,0.41277903,0.6837641
0.52140856,0.4785914,0.6113686,0.6922302
0.32798442,0.67201555,0.3662719,0.63274205
0.40376937,0.5962307,0.4454834,0.6745105
0.27439433,0.7256056,0.3515705,0.58758074
0.48351446,0.5164856,0.59355474,0.6926036
0.3273656,0.67263436,0.36209503,0.6322973
0.34786046,0.6521396,0.353206,0.6461121
0.5914752,0.40852484,0.57414794,0.6763171
0.4358564,0.56414366,0.47923145,0.68489563
0.22853719,0.7714628,0.28120738,0.53750277
0.15634698,0.8436531,0.16473202,0.43356234
0.23046131,0.76953864,0.30246663,0.5398332
0.3450982,0.65490174,0.45863453,0.64435935
0.63435835,0.36564165,0.55246335,0.6565953
0.59164804,0.40835196,0.4942326,0.6762531
0.43116897,0.568831,0.43955383,0.68364155
0.30927157,0.6907284,0.35243377,0.61851656
0.42032138,0.5796786,0.49341148,0.68039554
0.6202747,0.37972525,0.5059943,0.66392946
0.13920079,0.8607992,0.19394216,0.40351003
0.16206072,0.8379393,0.20023786,0.44307125
0.31688142,0.6831186,0.30064362,0.62449634
0.24992242,0.7500776,0.34091395,0.5622499
