prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
9.756328e-07,0.99999905,1.9613854e-06,1.2495122e-05
0.001163558,0.99883646,0.0014104047,0.007613776
0.0008215787,0.9991784,0.0006409059,0.0060170745
0.881307,0.118692994,0.14493214,0.21938063
2.3324179e-07,0.99999976,4.8279117e-07,3.3174072e-06
0.0076534445,0.9923466,0.012450002,0.03246622
0.00038942244,0.9996106,0.00048102625,0.0029655905
0.9999581,4.1902065e-05,6.039327e-05,0.000403888
0.037409134,0.9625909,0.061904393,0.09771655
1.0289232e-06,0.999999,1.8261908e-06,1.3372749e-05
0.7539365,0.24606347,0.22794035,0.33002862
0.10638782,0.8936122,0.13395463,0.20494126
9.414558e-06,0.9999906,1.6980477e-05,0.000101393984
1.832603e-05,0.9999817,2.7015383e-05,0.00019116844
6.8324653e-09,1.0,8.2035e-09,1.2015836e-07
0.0016770571,0.99832296,0.0007640254,0.011629197
5.8209594e-07,0.9999994,7.412955e-07,8.211588e-06
1.859864e-05,0.9999814,1.292392e-05,0.0002082567
7.2543815e-05,0.99992746,9.833218e-05,0.00066564226
1.7926066e-05,0.99998206,2.0606923e-05,0.00019325234
0.0005002506,0.99949974,0.00032229396,0.003979948
6.8053505e-06,0.9999932,1.1958822e-05,7.5804695e-05
0.9703013,0.02969873,0.044738516,0.088954836
0.11667438,0.88332564,0.2313014,0.12894475
0.0858783,0.9141217,0.12846765,0.16442892
0.2981025,0.7018975,0.32871097,0.28053695
0.5319051,0.4680949,0.2660358,0.42507416
0.037214797,0.9627852,0.05471374,0.10427557
0.08095493,0.9190451,0.1658802,0.11521524
0.0009838647,0.9990161,0.0010463805,0.0067493296
9.16541e-06,0.9999908,1.7089471e-05,9.840894e-05
0.0005548301,0.99944514,0.00029123016,0.004422953
0.0054946225,0.9945054,0.008224515,0.02584889
0.06259233,0.9374077,0.13020149,0.10384012
0.76905876,0.23094124,0.1919432,0.34846798
0.71237546,0.28762454,0.24674511,0.35326588
0.9999483,5.1677227e-05,8.553077e-05,0.00047622473
