prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
5.8684846e-10,1.0,9.981642e-10,1.13836975e-08
5.751275e-07,0.9999994,8.892248e-07,7.970541e-06
2.131164e-05,0.99997866,3.267324e-05,0.00021789837
0.9195052,0.08049482,0.12135929,0.15861696
2.0347688e-08,1.0,4.3813884e-08,3.1645e-07
0.36299586,0.63700414,0.27509168,0.38003078
0.00027830477,0.9997217,0.0002476517,0.0023090274
0.9955633,0.0044366717,0.01016509,0.018298952
0.17163557,0.82836443,0.19337621,0.26509395
3.5429358e-07,0.99999964,8.0268956e-07,4.8172105e-06
0.8599685,0.14003152,0.15022746,0.25479326
0.0006882519,0.99931175,0.0017393646,0.00396006
3.1747433e-05,0.99996823,4.1104155e-05,0.00031949487
0.00079369755,0.9992063,0.001353696,0.0051057385
1.4876077e-10,1.0,3.741656e-10,2.9156086e-09
9.150736e-05,0.9999085,6.988214e-05,0.00087254203
1.2635516e-09,1.0,1.944544e-09,2.3848553e-08
4.254613e-05,0.99995744,6.0085644e-05,0.00041069454
0.0870874,0.9129126,0.09720105,0.19854575
0.00038826864,0.99961174,0.0013081306,0.0021294479
1.8959155e-06,0.9999981,1.8286955e-06,2.5058773e-05
8.0975354e-08,0.99999994,9.978726e-08,1.2819738e-06
0.94407403,0.055925965,0.115174554,0.100432746
9.212649e-05,0.99990785,0.00022019568,0.00072802015
0.1030844,0.8969156,0.12114106,0.21066664
0.006958643,0.99304134,0.017765468,0.023737872
0.4225573,0.5774427,0.21567866,0.46542534
0.0023152947,0.9976847,0.0041066483,0.012255665
0.011732552,0.9882674,0.033074558,0.030744666
0.00020298717,0.999797,0.00076558127,0.0011632829
2.6971645e-07,0.9999997,3.2752223e-07,4.0501036e-06
1.3490424e-05,0.9999865,1.3473022e-05,0.00015127272
0.0017907504,0.99820924,0.0014104228,0.011705447
0.012176443,0.98782355,0.014921188,0.050857663
0.701989,0.298011,0.21803573,0.39113387
0.3119505,0.6880495,0.31302103,0.3076314
0.9947422,0.0052577853,0.004593268,0.028243769
9.223766e-06,0.99999076,1.04311475e-05,0.00010574526
9.716234e-07,0.99999905,2.3510102e-06,1.2054007e-05
0.9997528,0.00024718046,0.0003579253,0.0019421551
1.4365771e-12,1.0,7.641804e-13,3.2293737e-11
0.00023877973,0.9997612,0.0003398778,0.0018902854
1.0075739e-05,0.9999899,1.2740311e-05,0.00011325793
1.1238612e-10,1.0,2.0585222e-10,2.2972806e-09
7.811418e-06,0.9999922,7.62289e-06,9.2046874e-05
0.0007052555,0.99929476,0.00084165996,0.0049813376
0.15291496,0.84708506,0.24815015,0.17958207
1.5283461e-09,1.0,2.7676528e-09,2.8159501e-08
0.66082853,0.33917147,0.300978,0.33950633
0.041074205,0.9589258,0.062401265,0.10894187
0.00036483016,0.99963516,0.00057694316,0.0026758546
2.816536e-09,1.0,3.333799e-09,5.2019214e-08
0.0001326448,0.9998674,0.00042069226,0.00089615
2.4098231e-08,1.0,3.9303416e-08,3.8330697e-07
0.00045145294,0.99954855,0.0004207294,0.003508174
5.6726112e-05,0.99994326,7.87265e-05,0.00053264224
4.650324e-17,1.0,8.4703295e-22,1.0707759e-15
7.6995886e-05,0.999923,0.00025411823,0.00055217434
0.32199234,0.67800766,0.23354396,0.39481822
0.23000912,0.76999086,0.13594267,0.40334472
1.5191239e-06,0.9999985,1.6684207e-06,2.017387e-05
3.720796e-07,0.99999964,5.663819e-07,5.299471e-06
2.4234573e-06,0.99999756,4.829237e-06,2.8950517e-05
3.651585e-05,0.99996346,0.0001473923,0.00026225494
0.9757323,0.024267673,0.027763665,0.086449146
0.83990914,0.16009086,0.1531924,0.2866281
1.1196908e-06,0.99999887,1.6230097e-06,1.4851894e-05
0.043127235,0.95687276,0.056210518,0.12154788
0.99944216,0.00055783987,0.0015214884,0.0032152191
1.9944272e-07,0.9999998,3.0545334e-07,2.950211e-06
1.2463732e-05,0.99998754,1.4887541e-05,0.00013831869
0.010072252,0.98992777,0.013724808,0.04260845
5.509124e-06,0.9999945,1.1144155e-05,6.104992e-05
6.6341745e-06,0.9999934,6.6808716e-06,7.903622e-05
0.00077838195,0.9992216,0.0018172781,0.0045326822
0.00070583733,0.99929416,0.0006366777,0.0051905555
0.0008676093,0.9991324,0.0019148267,0.0050688474
1.5594092e-05,0.9999844,2.6776368e-05,0.0001614449
0.120282754,0.87971723,0.18706353,0.18042444
0.09241941,0.9075806,0.14014094,0.16795902
0.39416617,0.6058338,0.24998441,0.42059085
1.1693063e-06,0.9999988,3.4615896e-06,1.3702076e-05
0.08021855,0.91978145,0.12343581,0.15586703
5.799595e-06,0.9999942,6.1673345e-06,6.9544105e-05
3.033825e-09,1.0,4.945367e-09,5.4459992e-08
1.0071184e-06,0.999999,1.7500097e-06,1.316988e-05
0.242341,0.757659,0.23108107,0.32268226
0.00024104446,0.99975896,0.00015635416,0.0020926858
0.9759172,0.02408278,0.070383504,0.043145593
1.0287217e-06,0.999999,1.5484466e-06,1.3647917e-05
0.6792218,0.3207782,0.3026295,0.32482514
1.5189968e-05,0.9999848,3.3309116e-05,0.00015042064
1.1805343e-07,0.9999999,2.1330914e-07,1.7890035e-06
4.0047773e-05,0.99995995,7.089667e-05,0.00037465795
3.3725178e-09,1.0,6.1241927e-09,5.956701e-08
1.8993137e-06,0.9999981,4.0570267e-06,2.2871813e-05
1.741667e-07,0.9999998,4.972685e-07,2.3920459e-06
6.3490945e-05,0.9999365,9.3896524e-05,0.0005831957
4.825713e-09,1.0,7.47734e-09,8.483275e-08
9.526625e-08,0.9999999,1.927259e-07,1.4665138e-06
0.06336911,0.9366309,0.07038368,0.16575514
0.019177474,0.9808225,0.028269485,0.06655103
0.9835162,0.016483784,0.043455116,0.040564217
0.91764677,0.082353234,0.11872704,0.16575246
0.00017274191,0.99982727,0.00020841963,0.0014608859
0.17588212,0.8241179,0.34690094,0.11819057
1.0997994e-09,1.0,2.3851072e-09,2.0205993e-08
2.7733179e-06,0.9999972,3.8044636e-06,3.4482746e-05
3.722672e-10,1.0,8.7348706e-10,7.1203834e-09
8.642044e-08,0.99999994,1.626571e-07,1.3023933e-06
1.4375833e-09,1.0,2.911591e-09,2.6261365e-08
7.2936485e-17,1.0,2.1175824e-21,1.6794225e-15
0.8020933,0.19790667,0.17412919,0.32335758
0.07330548,0.9266945,0.17463836,0.087468125
1.5166968e-06,0.9999985,3.5358044e-06,1.8276392e-05
0.00059000246,0.99941,0.0021458638,0.0028308833
5.838633e-13,1.0,7.9039206e-14,1.3361511e-11
2.0107039e-07,0.9999998,4.6742275e-07,2.8117183e-06
5.850035e-07,0.9999994,8.311408e-07,8.16057e-06
5.1012128e-05,0.999949,3.497087e-05,0.000520225
5.615177e-06,0.9999944,1.0811556e-05,6.267887e-05
0.025734713,0.9742653,0.04621777,0.073369786
4.5562556e-05,0.99995446,6.5202476e-05,0.00043579697
2.9386752e-06,0.9999971,4.1694075e-06,3.6182642e-05
7.500624e-08,0.99999994,1.685479e-07,1.1214862e-06
2.076847e-05,0.99997926,3.948211e-05,0.00020518719
0.0010844056,0.9989156,0.0026737927,0.005812943
0.020162683,0.9798373,0.033237316,0.06543427
3.5601607e-07,0.99999964,7.2242983e-07,4.921328e-06
2.289301e-07,0.99999976,4.2397483e-07,3.3146505e-06
0.9599614,0.040038586,0.037586093,0.13048068
0.00015247718,0.99984753,0.00031386572,0.0011786362
8.718384e-08,0.99999994,2.3257314e-07,1.2441265e-06
1.2562893e-09,1.0,1.9904558e-09,2.3661105e-08
0.00023894291,0.99976104,0.00023460621,0.0019969335
7.899929e-24,1.0,0.0,1.8190259e-22
0.00034097052,0.999659,0.0007285066,0.0023346446
1.0506346e-06,0.9999989,2.3107423e-06,1.3225199e-05
0.20841485,0.79158515,0.19876868,0.31308025
0.003267297,0.9967327,0.0057676937,0.01619558
2.233397e-09,1.0,4.080661e-09,4.0310205e-08
0.9020366,0.09796339,0.19572146,0.12486343
1.0974926e-08,1.0,2.386011e-08,1.7718497e-07
0.0021299226,0.9978701,0.005199394,0.010030828
2.9894254e-13,1.0,1.6448214e-14,6.8660654e-12
2.5523848e-06,0.99999744,7.0532224e-06,2.8380517e-05
0.99391997,0.0060800314,0.013506841,0.023579523
0.02288694,0.97711307,0.056085702,0.052985597
0.8793898,0.12061018,0.15195608,0.21618289
4.9504187e-14,1.0,7.5536365e-16,1.1390962e-12
0.5972016,0.4027984,0.21876651,0.4553635
3.7009895e-06,0.9999963,6.136732e-06,4.3846594e-05
1.06571136e-07,0.9999999,1.3949591e-07,1.6905547e-06
6.2439435e-06,0.99999374,8.789764e-06,7.229539e-05
2.0620591e-06,0.9999979,2.9046278e-06,2.617751e-05
0.9986343,0.0013657212,0.0026726727,0.0077005117
2.7821887e-05,0.99997216,2.6251917e-05,0.00029342587
9.112867e-12,1.0,9.9912995e-12,1.9904546e-10
1.0100929e-11,1.0,1.5634646e-11,2.1597586e-10
3.586853e-05,0.9999641,4.6546862e-05,0.0003564721
2.2671256e-07,0.99999976,3.255459e-07,3.3813803e-06
0.023946064,0.97605395,0.053179465,0.0598431
0.4357835,0.5642165,0.31423396,0.37064284
0.054933034,0.945067,0.11953867,0.093253024
5.549504e-10,1.0,1.5363213e-09,1.0198916e-08
0.019135438,0.9808646,0.049865324,0.044789705
0.5265009,0.47349912,0.29081696,0.40092498
0.0003414334,0.9996586,0.00044836523,0.0026184353
5.2041063e-08,0.99999994,1.008118e-07,8.3148575e-07
1.434535e-07,0.9999999,1.5882779e-07,2.220715e-06
6.340586e-10,1.0,1.5257591e-09,1.1810036e-08
0.9474511,0.052548885,0.10297985,0.10297311
0.00087989203,0.9991201,0.0009462349,0.0061239284
4.15572e-10,1.0,8.7521723e-10,8.012099e-09
1.9536884e-07,0.9999998,2.9843e-07,2.8984152e-06
